alias_city,alias_address,urlReport
Arborio,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Arborio.pdf
Asigliano V.se,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Asigliano.pdf
Azeglio,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Azeglio.pdf
Balocco,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Balocco.pdf
Borgosesia,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Borgosesia.pdf
Borriana,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Borriana.pdf
Brusnengo,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Brusnengo.pdf
Buronzo,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Buronzo.pdf
Caresanablot,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Caresanablot.pdf
Carisio,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Carisio.pdf
Carisio Crocicchio,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Carisio_Crocicchio.pdf
Castelletto Cervo,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Castelletto_Cervo.pdf
Cerrione,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Cerrione.pdf
Collobiano,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Collobiano.pdf
Crescentino,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Crescentino.pdf
Curino,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Curino.pdf
Donato,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Donato.pdf
Fontanetto Po,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Fontanetto_Po.pdf
Formigliana,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Formigliana.pdf
Gattinara,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Gattinara.pdf
Gifflenga,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Gifflenga.pdf
Graglia,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Graglia.pdf
Greggio,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Greggio.pdf
Lignana,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Lignana.pdf
Livorno Ferraris,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Livorno_Ferraris.pdf
Lozzolo,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Lozzolo.pdf
Massazza,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Massazza.pdf
Masserano,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Masserano.pdf
Mongrando,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Mongrando.pdf
Mottalciata,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Mottalciata.pdf
Oldenico,Comune,https://www.siispa.it/siispa/LABORATORIO/qualità_dellacqua_fornita/Oldenico.pdf
