alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,ALBA - FR MADONNA DI COMO,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,ALBA - FR RICCA,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,CASTIGLIONE FALLETTO,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,DIANO D'ALBA,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,GRINZANE CAVOUR - CAPOLUOGO,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,RODDINO,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,SERRALUNGA D'ALBA,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,SINIO,<0.05,0.390,104,43.06,0.02,1.44,255,30/10/2017,12.4,0.007,4.52,7.35,1.8,<0.010,7.95,0.44,179,1.87,44.17
Comune,ALBA-CORSO LANGHE-FR. MORETTA,<0.05,0.520,190,63.81,,22.20,439,06/11/2017,20.0,0.076,8.68,0.09,8.7,<0.010,7.59,1.75,307,11.15,47.90
Comune,BARBARESCO,<0.05,0.520,190,63.81,,22.20,439,06/11/2017,20.0,0.076,8.68,0.09,8.7,<0.010,7.59,1.75,307,11.15,47.90
