alias_city,alias_address,georeferencingString,type
ALBA - FR MADONNA DI COMO,Comune,"ALBA -  MADONNA DI COMO, CN, Piemonte",POINT
ALBA - FR RICCA,Comune,"ALBA -  RICCA, CN, Piemonte",POINT
CASTIGLIONE FALLETTO,Comune,"CASTIGLIONE FALLETTO, CN, Piemonte",POINT
DIANO D'ALBA,Comune,"DIANO D'ALBA, CN, Piemonte",POINT
GRINZANE CAVOUR - CAPOLUOGO,Comune,"GRINZANE CAVOUR - CAPOLUOGO, CN, Piemonte",POINT
RODDINO,Comune,"RODDINO, CN, Piemonte",POINT
SERRALUNGA D'ALBA,Comune,"SERRALUNGA D'ALBA, CN, Piemonte",POINT
SINIO,Comune,"SINIO, CN, Piemonte",POINT
ALBA-CORSO LANGHE-FR. MORETTA,Comune,"ALBA-CORSO LANGHE-. MORETTA, CN, Piemonte",POINT
BARBARESCO,Comune,"BARBARESCO, CN, Piemonte",POINT
TREISO,Comune,"TREISO, CN, Piemonte",POINT
ALBA - FR MUSSOTTO,Comune,"ALBA -  MUSSOTTO, CN, Piemonte",POINT
CANALE,Comune,"CANALE, CN, Piemonte",POINT
GUARENE,Comune,"GUARENE, CN, Piemonte",POINT
MONTEU ROERO - FR. TRE RIVI,Comune,"MONTEU ROERO - . TRE RIVI, CN, Piemonte",POINT
ALBA FR PIANA BIGLINI,Comune,"ALBA  PIANA BIGLINI, CN, Piemonte",POINT
CORNELIANO D'ALBA,Comune,"CORNELIANO D'ALBA, CN, Piemonte",POINT
MONTICELLO D'ALBA,Comune,"MONTICELLO D'ALBA, CN, Piemonte",POINT
PIOBESI D'ALBA,Comune,"PIOBESI D'ALBA, CN, Piemonte",POINT
SOMMARIVA PERNO,Comune,"SOMMARIVA PERNO, CN, Piemonte",POINT
ALBA - FR SANTA ROSALIA,Comune,"ALBA -  SANTA ROSALIA, CN, Piemonte",POINT
BALDISSERO D'ALBA,Comune,"BALDISSERO D'ALBA, CN, Piemonte",POINT
CASTAGNITO,Comune,"CASTAGNITO, CN, Piemonte",POINT
CASTELLINALDO,Comune,"CASTELLINALDO, CN, Piemonte",POINT
GOVONE CAPOLUOGO,Comune,"GOVONE CAPOLUOGO, CN, Piemonte",POINT
MAGLIANO ALFIERI,Comune,"MAGLIANO ALFIERI, CN, Piemonte",POINT
MONTALDO ROERO,Comune,"MONTALDO ROERO, CN, Piemonte",POINT
MONTEU ROERO CAPOLUOGO,Comune,"MONTEU ROERO CAPOLUOGO, CN, Piemonte",POINT
PRIOCCA,Comune,"PRIOCCA, CN, Piemonte",POINT
SANTO STEFANO ROERO,Comune,"SANTO STEFANO ROERO, CN, Piemonte",POINT
VEZZA D'ALBA,Comune,"VEZZA D'ALBA, CN, Piemonte",POINT
BAROLO,Comune,"BAROLO, CN, Piemonte",POINT
LA MORRA,Comune,"LA MORRA, CN, Piemonte",POINT
NOVELLO,Comune,"NOVELLO, CN, Piemonte",POINT
TREZZO TINELLA,Comune,"TREZZO TINELLA, CN, Piemonte",POINT
VERDUNO,Comune,"VERDUNO, CN, Piemonte",POINT
BRA,Comune,"BRA, CN, Piemonte",POINT
MANGO - CAPOLUOGO,Comune,"MANGO - CAPOLUOGO, CN, Piemonte",POINT
CAMO,Comune,"CAMO, CN, Piemonte",POINT
NEVIGLIE,Comune,"NEVIGLIE, CN, Piemonte",POINT
CHERASCO - FR SAN GIOVANNI,Comune,"CHERASCO -  SAN GIOVANNI, CN, Piemonte",POINT
CHERASCO - FR SAN BARTOLOMEO,Comune,"CHERASCO -  SAN BARTOLOMEO, CN, Piemonte",POINT
CHERASCO - FR PICCHI,Comune,"CHERASCO -  PICCHI, CN, Piemonte",POINT
NARZOLE - FR VERGNE,Comune,"NARZOLE -  VERGNE, CN, Piemonte",POINT
NEIVE - ALTO,Comune,"NEIVE - ALTO, CN, Piemonte",POINT
CASTIGLIONE TINELLA,Comune,"CASTIGLIONE TINELLA, CN, Piemonte",POINT
CHERASCO - CAPOLUOGO,Comune,"CHERASCO - CAPOLUOGO, CN, Piemonte",POINT
CHERASCO FR RORETO,Comune,"CHERASCO  RORETO, CN, Piemonte",POINT
CHERASCO FR CAPPELLAZZO,Comune,"CHERASCO  CAPPELLAZZO, CN, Piemonte",POINT
CHERASCO FR BRICCO DE FAULE,Comune,"CHERASCO  BRICCO DE FAULE, CN, Piemonte",POINT
GOVONE - FR. CANOVE,Comune,"GOVONE - . CANOVE, CN, Piemonte",POINT
GRINZANE CAVOUR-FR GALLO,Comune,"GRINZANE CAVOUR- GALLO, CN, Piemonte",POINT
