alias_address,alias_city,ammoniaca,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,magnesio,manganese,nitrato,nitrito,ph,solfato
Pregasina,Riva del Garda,<0.04,65.5,0.12,1.5,402,05/05/2020,26.0,<15,22.6,<1.50,1.0,<0.03,8.08,8.3
Campi,Riva del Garda,<0.04,41.5,<0.01,0.5,189,05/05/2020,11.0,<15,2.4,<1.50,5.4,<0.03,8.03,2.0
Porto San Nicolò,Riva del Garda,<0.04,37.0,0.06,2.9,217,05/05/2020,13.0,<15,8.3,<1.50,4.8,<0.03,8.02,6.3
Piazza Cavour,Riva del Garda,<0.04,43.2,0.05,1.5,236,04/03/2020,14.0,22.1,8.4,<1.50,4.1,<0.03,7.94,4.6
Fangolino,Riva del Garda,<0.04,43.8,<0.01,0.6,214,05/05/2020,13.0,35,5.6,<1.50,4.6,<0.03,8.15,2.7
Via Virgilio,Riva del Garda,<0.04,43.6,<0.01,0.6,214,05/05/2020,13.0,34,5.6,<1.50,4.6,<0.03,7.98,2.7
Rione Degasperi,Riva del Garda,<0.04,44.9,0.04,0.6,245,04/03/2020,15.0,21.2,9.5,<1.50,4.0,<0.03,7.98,3.7
S. Alessandro,Riva del Garda,<0.04,39.8,0.09,2.6,212,04/03/2020,14.0,<15,9.8,<1.50,4.6,<0.03,8.00,6.1
Varone,Riva del Garda,<0.04,53.5,0.08,2.3,276,05/05/2020,16.0,<15,7.3,<1.50,5.4,<0.03,8.00,5.7
Roma,Riva del Garda,<0.04,42.6,0.03,1.5,235,04/03/2020,14.0,18.2,8.3,<1.50,4.2,<0.03,7.95,4.7
Piazza Catena,Riva del Garda,<0.04,37.0,0.04,2.9,214,05/05/2020,13.0,<15,8.3,<1.50,4.8,<0.03,8.04,6.3
Viale Damiano Chiesa,Riva del Garda,<0.04,37.7,0.04,2.2,216,04/03/2020,13.0,<15,8.2,<1.50,4.4,<0.03,7.95,5.6
Viale dei Tigli,Riva del Garda,<0.04,42.2,0.02,0.7,245,03/09/2019,15.0,<15,9.7,<0.50,3.6,<0.01,8.02,3.8
