alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Ala,Ala,<0.04,<0.5,210,42.7,0.09,1.5,290,27-01-2020,18.0,0.07,17.2,5.6,4.5,<0.01,7.97,0.4,186,1.0,4.9
Ala - Chizzola,Ala,<0.04,<0.5,250,76.1,0.07,7.9,396,18-11-2019,22.0,<0.05,7.2,1.2,11.5,<0.01,7.62,2.0,253.44,6.0,7.8
Ala - Marani,Ala,<0.04,<0.5,260,53.1,0.14,1.1,363,27-01-2020,23.0,<0.05,22.8,<1.50,6.6,0.02,7.94,0.4,232,0.8,4.6
Ala - Muravalle,Ala,<0.04,<0.5,220,47.9,0.03,2.8,341,25-11-2019,21.0,0.05,21.5,<1.50,7.1,<0.01,7.88,0.7,218.24,1.7,7.4
Ala - Pilcante,Ala,<0.04,<0.5,220,46.4,0.06,1.8,314,16-12-2019,19.0,0.07,17.9,<1.50,4.7,<0.01,7.84,0.5,200.96,1.2,4.7
Ala - Ronchi,Ala,<0.04,<0.5,170,36.1,0.12,0.8,260,16-12-2019,16.0,0.09,16.6,<1.50,4.6,<0.01,7.98,0.3,166.4,0.7,12.5
Ala - Santa Cecilia,Ala,<0.04,<0.5,260,74.0,0.09,8.3,402,02-03-2020,21.0,<0.05,7.2,<1.50,11.0,<0.01,7.63,2.1,257,6.2,7.8
Ala - Santa Margherita,Ala,<0.04,<0.5,220,46.3,<0.01,0.8,322,18-11-2019,20.0,<0.05,19.7,<1.50,7.2,<0.01,7.91,0.4,206.08,0.7,3.2
Ala - Sdruzzinà,Ala,<0.04,<0.5,210,41.8,0.06,1.5,290,27-01-2020,17.0,0.07,16.5,<1.50,4.5,<0.01,8.03,0.4,186,1.0,4.8
Ala - Serravalle,Ala,<0.04,<0.5,250,87.8,0.06,7.9,400,02-03-2020,26.0,<0.05,8.8,4.1,11.8,<0.01,7.59,2.5,256,7.3,8.2
Ala Sega (Boldera),Ala Sega (Boldera),<0.04,<0.5,220,75.8,0.08,0.9,295,02-03-2020,19.0,<0.05,0.7,<1.50,4.8,<0.02,7.90,0.5,189,1.1,2.1
Aldeno,Aldeno,<0.04,0.9,190,46.5,<0.01,2.3,266,09-03-2020,16.0,<0.05,10.7,<1.50,4.8,<0.01,8.14,0.5,170,2.0,6.3
Arco - Frazione - Linfano,Arco,<0.04,,,34.2,0.03,2.7,205,13-11-2019,12.0,,7.7,<0.50,4.3,<0.02,8.03,,131.2,,6.0
Arco - Frazione - Marcarie/San Giovanni,Arco,<0.04,,,64.7,<0.01,0.9,296,09-09-2019,17,,1.6,<0.50,5,<0.02,7.52,,189.44,,4.3
Arco - Frazione - Padaro,Arco,<0.04,,,94.2,<0.01,1.9,430,07-01-2020,24.0,<0.05,2.2,4.8,4.4,<0.02,7.38,,282.88,,4.7
Arco - Frazione - Pratosaiano,Arco,,,,,<0.01,,238,10-03-2020,,,,,,,8.01,,160,,
Arco - Frazione - Velo,Arco,,,,,0.03,,217,13-11-2019,,,,,,,8.02,,138.88,,
Arco - Rete 2,Arco,,,,53,0.08,3.6,320,07-01-2020,18,,10.6,,6.1,,7.78,,198.4,,9.3
Arco - Rete 2 - Utenza scuola materna,Arco,,,,52.2,0.03,3.5,363,10-03-2020,17,,10.7,<0.50,6,<0.02,7.58,,202.88,,9.5
Arco - Rete 3 - Bolognano,Arco,<0.04,0.5,,48.2,0.04,1,237,10-03-2020,13,<0.05,2.5,0.76,4.8,<0.02,7.98,0.43,144.64000000000001,1.1,3.4
Arco - Rete 3 - Massone,Arco,<0.04,,,46.1,0.05,1.1,231,11-02-2020,13,,2.5,<0.50,5,<0.02,8.01,,145.28,,3.5
Arco - Rete1,Arco,<0.04,,,79.5,0.09,1.6,372,10-03-2020,22,,4.7,<0.50,5.2,<0.02,7.56,,242.56,,5.8
Calliano,Calliano,<0.04,<0.5,230,56.7,0.02,6.6,334,09-03-2020,20.0,<0.05,14.2,<1.50,4.3,<0.01,7.87,0.9,214,3.8,5.5
Civezzano,Civezzano,<0.04,0.9,200,57.1,<0.01,16.0,389,20-02-2020,20.0,0.10,13.2,2.0,10.8,<0.01,7.73,2.2,249,10.4,38.9
Civezzano - Bosco,Civezzano,<0.04,<0.5,360,79.3,0.01,2.0,581,20-02-2020,39.0,0.08,46.5,3.3,4.5,<0.01,7.73,1.0,372,2.4,72.1
Civezzano - S.Agnese,Civezzano,<0.04,<0.5,350,80.9,<0.01,2.0,582,20-02-2020,39.0,0.09,46.8,<1.50,4.5,<0.01,7.77,1.0,373,2.4,72.7
Civezzano - Torchio,Civezzano,<0.04,1.0,190,57.0,<0.01,15.5,389,20-02-2020,20.0,0.07,13.5,1.8,10.5,<0.01,7.75,2.3,249,10.6,37.8
Fornace,Fornace,<0.04,1.1,150,39.5,<0.01,7.1,280,20-02-2020,15.0,0.11,11.4,1.8,10.8,<0.01,7.82,2.2,179,7.5,18.3
Mori,Mori,<0.04,<0.5,150,40.0,0.07,0.5,219,02-03-2020,16.0,<0.05,13.7,<1.50,2.3,<0.01,7.93,0.4,140,0.6,9.7
Mori - Loppio,Mori,<0.04,<0.5,270,92.4,0.12,5.3,420,02-03-2020,28.0,0.06,11.3,<1.50,10.7,<0.01,7.78,0.9,269,7.2,13.3
Mori - Manzano,Mori,<0.04,<0.5,220,67.4,0.13,1.5,382,27-01-2020,22.0,0.10,11.9,<1.50,3.4,<0.01,7.85,0.6,245,3.7,43.6
Mori - Nomesino,Mori,<0.04,<0.5,230,71.1,0.03,1.3,386,16-12-2019,23.0,0.11,11.6,<1.50,3.9,<0.01,7.78,0.6,247.04,3.4,40.4
Mori - Tierno,Mori,<0.04,<0.5,150,35.0,0.04,0.7,225,27-01-2020,14.0,0.06,11.8,1.5,2.2,<0.01,8.01,0.3,144,0.5,10.3
Mori - Valle San Felice,Mori,<0.10,<0.50,290,92.7,0.06,12.4,466,27-01-2020,25.0,<0.05,4.9,<1.50,7.4,<0.02,7.45,0.8,254.08,7.2,12.1
Mori Vecio (Giovo),Mori Vecio (Giovo),<0.04,<0.5,240,58.1,0.10,5.7,361,02-03-2020,17.0,<0.05,5.7,<1.50,6.6,<0.01,7.77,0.9,231,35.0,5.5
Nomi,Nomi,<0.04,<0.5,150,35.8,0.03,0.6,219,09-03-2020,14.0,0.05,11.3,4.4,2.3,<0.01,7.98,0.3,140.16,0.5,10.8
Rovereto - Borgo Sacco,Rovereto,<0.04,<0.5,150,40.2,0.16,0.5,218,09-03-2020,16.0,0.06,13.9,<1.50,2.3,<0.01,7.98,0.5,140,0.6,10.1
Rovereto - Centro,Rovereto,<0.04,<0.5,150,33.5,0.07,0.6,217,04-03-2020,13.0,0.05,10.7,<1.50,2.4,<0.01,7.95,0.3,139,0.4,10.8
Rovereto - Lizzana Alta,Rovereto,<0.04,<0.5,150,33.9,<0.01,0.6,219,18-02-2020,13.0,0.07,11.6,<1.50,2.3,<0.01,7.95,0.3,140,0.5,10.7
Rovereto - Marco,Rovereto,<0.04,0.5,210,45.4,0.03,5.2,325,09-03-2020,19.0,0.09,17.9,<1.50,3.6,<0.01,7.87,1.0,208,2.6,19.1
Rovereto - Moietto,Rovereto,<0.04,<0.5,180,58.0,0.05,2.9,255,09-03-2020,15.0,<0.05,1.9,<1.50,2.5,<0.01,8.11,0.4,163,1.6,3.3
Rovereto - Noriglio,Rovereto,<0.04,<0.5,170,51.5,0.19,2.0,255,20-01-2020,14.0,<0.05,1.8,29,2.5,<0.01,8.03,0.4,163,1.3,3.2
Rovereto - Noriglio Bassa,Rovereto,<0.04,<0.5,170,53.4,0.17,2.0,248,10-02-2020,14.0,<0.05,1.9,<1.50,2.5,<0.01,8.05,0.5,159,1.4,3.3
Trento - Baselga del Bondone,Trento,<0.04,<0.5,310,65.8,<0.01,3.0,419,26-02-2020,26.0,0.06,22.7,<1.50,5.7,<0.01,7.66,0.7,268,2.1,12.5
Trento - Cadine,Trento,<0.04,<0.5,210,54.1,<0.01,6.2,297,26-02-2020,16.0,<0.05,6.3,<1.50,3.5,<0.01,7.93,0.5,190,3.6,3.1
Trento - Candriai,Trento,<0.04,<0.5,200,53.0,0.03,14.0,295,26-02-2020,15.0,<0.05,3.7,<1.50,3.1,<0.01,8.07,0.6,189,7.0,2.5
Trento - Centro,Trento,<0.04,0.7,160,57.2,0.01,7.5,315,02-03-2020,20.0,0.11,12.7,<1.50,5.6,<0.01,7.92,1.2,202,5.9,38.5
Trento - Cognola,Trento,<0.04,6.7,210,55.1,0.01,14.3,385,26-02-2020,20.0,0.14,15.3,<1.50,7.4,<0.01,7.96,2.2,246,10.9,31.6
Trento - Cortesano,Trento,<0.04,0.5,160,56.4,0.01,6.0,363,11-02-2020,20.0,0.12,15.3,<1.50,5.5,<0.01,8.00,1.2,232,4.8,73.1
Trento - Gardolo di Mezzo,Trento,<0.04,0.7,140,53.3,<0.01,7.6,296,02-03-2020,18.0,0.14,11.6,<1.50,5.2,<0.01,8.04,1.5,189,6.2,46.4
Trento - Grotta/Villazzano,Trento,<0.04,3.8,200,71.0,<0.01,13.2,415,02-03-2020,26.0,<0.05,19.7,<1.50,10.0,<0.01,7.76,2.3,266,9.9,64.2
Trento - Martignano,Trento,<0.04,<0.5,210,55.9,<0.01,5.5,321,26-02-2020,18.0,<0.05,9.6,<1.50,3.8,<0.01,7.86,0.5,205,3.5,5.4
Trento - Mattarello Alta,Trento,<0.04,<0.5,220,43.5,0.02,1.3,296,02-03-2020,21.0,<0.05,24.8,2.4,4.2,<0.01,7.95,0.3,189,0.9,5.7
Trento - Mattarello Bassa,Trento,<0.10,<0.50,150,42.1,0.01,1.3,296,02-03-2020,20.0,0.08,24.0,<1.50,4.2,<0.01,7.90,0.3,191.36,0.8,5.8
Trento - Meano,Trento,<0.04,0.7,150,53.6,<0.01,8.5,297,02-03-2020,18.0,0.14,11.7,<1.50,4.3,<0.01,7.93,1.4,190,5.9,49.3
Trento - Monte Bondone,Trento,<0.04,<0.5,230,60.4,0.01,5.7,329,26-02-2020,19.0,<0.05,9.3,<1.50,4.9,<0.01,7.70,0.5,211,2.2,3.3
Trento - Montevaccino,Trento,<0.04,<0.5,280,64.3,0.01,2.6,453,02-03-2020,33.0,0.06,40.8,<1.50,9.8,<0.01,7.76,0.7,290,1.7,49.4
Trento - Nord,Trento,<0.04,6.1,210,55.1,<0.01,14.4,384,26-02-2020,20.0,0.14,15.3,<1.50,7.5,<0.01,8.02,2.3,246,10.8,31.8
Trento - Nord - Gardolo,Trento,<0.04,0.7,150,54.4,0.01,7.7,297,02-03-2020,18.0,0.11,11.7,<1.50,5.2,<0.01,7.90,1.4,190,6.2,46.5
Trento - Nord - San Lazzaro,Trento,<0.04,0.7,150,47.0,<0.01,5.5,295,02-12-2019,16.0,0.14,9.5,<1.50,4.5,<0.01,7.89,1.4,188.8,5.5,34.6
Trento - Oltrecastello,Trento,<0.04,<0.5,180,32.6,0.01,1.9,268,11-02-2020,17.0,0.07,20.6,<1.50,4.0,<0.01,8.07,0.5,172,1.1,13.9
Trento - Passo del Cimirlo,Trento,<0.04,<0.5,170,74.2,0.04,0.7,456,11-02-2020,28.0,0.08,22.8,<1.50,3.2,<0.01,8.10,0.6,292,0.6,131.0
Trento - Povo Centro,Trento,<0.04,<0.5,200,48.9,0.01,4.7,328,02-03-2020,23.0,0.05,27.1,<1.50,5.4,<0.01,8.01,0.5,210,1.8,24.2
Trento - Sardagna,Trento,<0.04,<0.5,280,90.8,0.02,23.6,466,19-02-2020,26.0,0.10,7.3,<1.50,1.9,<0.01,7.50,0.8,298,2.5,13.5
Trento - Sud,Trento,<0.10,1.2,210,45.1,0.01,6.5,290,19-02-2020,15.0,0.11,9.4,<1.50,4.6,<0.02,7.92,1.2,233.6,5.0,39.6
Trento - Sud - Ravina,Trento,<0.04,<0.5,230,52.3,0.01,3.2,318,19-02-2020,18.0,<0.05,12.9,<1.50,3.0,<0.01,7.70,0.4,204,1.5,2.8
