alias_address,alias_city,geocode,geometry,georeferencingString,type
Arco - Rete 2 - Utenza scuola materna,Arco,"Viale dei Capitelli 16, 38062, Arco, TN","{'type': 'Point', 'coordinates': [10.8799366398917, 45.919216360108315]}","Via Capitelli, 16, 38062 Arco TN",POINT
Arco - Frazione - Velo,Arco,"Via Monte Velo, 38060, Ronzo-Chienis, TN","{'type': 'Point', 'coordinates': [10.939034797318769, 45.89671206079112]}",Via Monte Velo 38060 Arco TN,POINT
Arco - Rete1,Arco,"Arco, TN","{'type': 'Point', 'coordinates': [10.88599000000005, 45.917940000000044]}","Arco, TN",POINT
Arco - Rete 2,Arco,"Arco, TN","{'type': 'Point', 'coordinates': [10.88599000000005, 45.917940000000044]}","Arco, TN",POINT
Arco - Rete 3 - Bolognano,Arco,"Bolognano-Vignole, Arco, TN","{'type': 'Point', 'coordinates': [10.903080000000045, 45.91321000000005]}","Bolognano, Arco, TN",POINT
Arco - Rete 3 - Massone,Arco,"Località Massone, 38062, Arco, TN","{'type': 'Point', 'coordinates': [10.900134055276252, 45.92435754946173]}","Massone, Arco, TN",POINT
Arco - Frazione - Marcarie/San Giovanni,Arco,"Località San Giovanni, 38062, Arco, TN","{'type': 'Point', 'coordinates': [10.886337229997073, 45.97281591899913]}","San Giovanni Arco, TN",POINT
Ala - Marani,Ala,"Località Marani, 38061, Ala, TN","{'type': 'Point', 'coordinates': [11.014942754348347, 45.779088412605745]}","Marani, Ala, TN",POINT
Rovereto - Lizzana Alta,Rovereto,"Località Lizzana, 38068, Rovereto, TN","{'type': 'Point', 'coordinates': [11.028459443465046, 45.86383924937039]}","Lizzana Alta, Rovereto, TN",POINT
Trento - Centro,Trento,"Trento, TN","{'type': 'Point', 'coordinates': [11.119260000000054, 46.07005000000004]}","Trento, TN",POINT
Volano - Rete Alta,Volano,"Volano, TN","{'type': 'Point', 'coordinates': [11.063570000000027, 45.91782000000006]}","Volano, TN",POINT
Ala,Ala,"Ala, TN","{'type': 'Point', 'coordinates': [11.000110000000063, 45.757690000000025]}","Ala, TN",POINT
Ala - Chizzola,Ala,"Chizzola, Ala, TN","{'type': 'Point', 'coordinates': [11.008620000000064, 45.80945000000003]}","Ala - Chizzola, TN",POINT
Ala - Muravalle,Ala,"Muravalle, 38061, Ala, Trento","{'type': 'Point', 'coordinates': [11.039466755743014, 45.74792698081624]}","Ala - Muravalle, TN",POINT
Ala - Pilcante,Ala,"Pilcante, Ala, TN","{'type': 'Point', 'coordinates': [11.001590000000022, 45.76807000000008]}","Ala - Pilcante, TN",POINT
Ala - Ronchi,Ala,"Ronchi, Ala, TN","{'type': 'Point', 'coordinates': [11.065620000000024, 45.73899000000006]}","Ala - Ronchi, TN",POINT
Ala - Santa Cecilia,Ala,"Via Santa Cecilia, 38061, Ala, Trento","{'type': 'Point', 'coordinates': [10.997963911973327, 45.82243722907464]}","Ala - Santa Cecilia, TN",POINT
Ala - Santa Margherita,Ala,"Santa Margherita, Ala, TN","{'type': 'Point', 'coordinates': [11.024940000000072, 45.79734000000008]}","Ala - Santa Margherita, TN",POINT
Ala - Sdruzzinà,Ala,"Viadotto Sdruzzina, 38061, Ala, Trento","{'type': 'Point', 'coordinates': [10.988264912726612, 45.75060414818105]}","Ala - Sdruzzinà, TN",POINT
Ala - Serravalle,Ala,"Viadotto Serravalle, 38061, Ala, Trento","{'type': 'Point', 'coordinates': [11.00416250700325, 45.82311820073871]}","Ala - Serravalle, TN",POINT
Ala Sega (Boldera),Ala Sega (Boldera),"Sega di Ala, Ala, TN","{'type': 'Point', 'coordinates': [10.975490000000036, 45.69584000000003]}","Ala Sega (Boldera), TN",POINT
Aldeno,Aldeno,"Aldeno, TN","{'type': 'Point', 'coordinates': [11.091160000000059, 45.97690000000006]}","Aldeno, TN",POINT
