alias_city,alias_address,georeferencingString,type
Ala,Ala,"Ala, TN",POINT
Ala,Ala - Chizzola,"Ala - Chizzola, TN",POINT
Ala,Ala - Marani,"Ala - Marani, TN",POINT
Ala,Ala - Muravalle,"Ala - Muravalle, TN",POINT
Ala,Ala - Pilcante,"Ala - Pilcante, TN",POINT
Ala,Ala - Ronchi,"Ala - Ronchi, TN",POINT
Ala,Ala - Santa Cecilia,"Ala - Santa Cecilia, TN",POINT
Ala,Ala - Santa Margherita,"Ala - Santa Margherita, TN",POINT
Ala,Ala - Sdruzzinà,"Ala - Sdruzzinà, TN",POINT
Ala,Ala - Serravalle,"Ala - Serravalle, TN",POINT
Ala Sega (Boldera),Ala Sega (Boldera),"Ala Sega (Boldera), TN",POINT
Aldeno,Aldeno,"Aldeno, TN",POINT
Arco,Arco - Frazione - Linfano,"Arco - Frazione - Linfano, TN",POINT
Arco,Arco - Frazione - Marcarie/San Giovanni,"Arco - Frazione - Marcarie/San Giovanni, TN",POINT
Arco,Arco - Frazione - Padaro,"Arco - Frazione - Padaro, TN",POINT
Arco,Arco - Frazione - Pratosaiano,"Arco - Frazione - Pratosaiano, TN",POINT
Arco,Arco - Frazione - Velo,"Arco - Frazione - Velo, TN",POINT
Arco,Arco - Rete 1 - Varignano,"Arco - Rete 1 - Varignano, TN",POINT
Arco,Arco - Rete 2,"Arco - Rete 2, TN",POINT
Arco,Arco - Rete 2 - Utenza scuola materna,"Arco - Rete 2 - Utenza scuola materna, TN",POINT
Arco,Arco - Rete 3 - Bolognano,"Arco - Rete 3 - Bolognano, TN",POINT
Arco,Arco - Rete 3 - Massone,"Arco - Rete 3 - Massone, TN",POINT
Arco,Arco - Rete1,"Arco - Rete1, TN",POINT
Calliano,Calliano,"Calliano, TN",POINT
Civezzano,Civezzano,"Civezzano, TN",POINT
Civezzano,Civezzano - Bosco,"Civezzano - Bosco, TN",POINT
Civezzano,Civezzano - S.Agnese,"Civezzano - S.Agnese, TN",POINT
Civezzano,Civezzano - Torchio,"Civezzano - Torchio, TN",POINT
Fornace,Fornace,"Fornace, TN",POINT
Mori,Mori,"Mori, TN",POINT
Mori,Mori - Loppio,"Mori - Loppio, TN",POINT
Mori,Mori - Manzano,"Mori - Manzano, TN",POINT
Mori,Mori - Nomesino,"Mori - Nomesino, TN",POINT
Mori,Mori - Tierno,"Mori - Tierno, TN",POINT
Mori,Mori - Valle San Felice,"Mori - Valle San Felice, TN",POINT
Mori Vecio (Giovo),Mori Vecio (Giovo),"Mori Vecio (Giovo), TN",POINT
Nomi,Nomi,"Nomi, TN",POINT
Rovereto,Rovereto - Borgo Sacco,"Rovereto - Borgo Sacco, TN",POINT
Rovereto,Rovereto - Centro,"Rovereto - Centro, TN",POINT
Rovereto,Rovereto - Lizzana Alta,"Rovereto - Lizzana Alta, TN",POINT
Rovereto,Rovereto - Marco,"Rovereto - Marco, TN",POINT
Rovereto,Rovereto - Moietto,"Rovereto - Moietto, TN",POINT
Rovereto,Rovereto - Noriglio,"Rovereto - Noriglio, TN",POINT
Rovereto,Rovereto - Noriglio Bassa,"Rovereto - Noriglio Bassa, TN",POINT
Trento,Trento - Baselga del Bondone,"Trento - Baselga del Bondone, TN",POINT
Trento,Trento - Cadine,"Trento - Cadine, TN",POINT
Trento,Trento - Candriai,"Trento - Candriai, TN",POINT
Trento,Trento - Centro,"Trento - Centro, TN",POINT
Trento,Trento - Cognola,"Trento - Cognola, TN",POINT
Trento,Trento - Cortesano,"Trento - Cortesano, TN",POINT
Trento,Trento - Gardolo di Mezzo,"Trento - Gardolo di Mezzo, TN",POINT
Trento,Trento - Grotta/Villazzano,"Trento - Grotta/Villazzano, TN",POINT
Trento,Trento - Martignano,"Trento - Martignano, TN",POINT
Trento,Trento - Mattarello Alta,"Trento - Mattarello Alta, TN",POINT
Trento,Trento - Mattarello Bassa,"Trento - Mattarello Bassa, TN",POINT
Trento,Trento - Meano,"Trento - Meano, TN",POINT
Trento,Trento - Monte Bondone,"Trento - Monte Bondone, TN",POINT
Trento,Trento - Montevaccino,"Trento - Montevaccino, TN",POINT
Trento,Trento - Nord,"Trento - Nord, TN",POINT
Trento,Trento - Nord - Gardolo,"Trento - Nord - Gardolo, TN",POINT
Trento,Trento - Nord - San Lazzaro,"Trento - Nord - San Lazzaro, TN",POINT
Trento,Trento - Oltrecastello,"Trento - Oltrecastello, TN",POINT
Trento,Trento - Passo del Cimirlo,"Trento - Passo del Cimirlo, TN",POINT
Trento,Trento - Povo,"Trento - Povo, TN",POINT
Trento,Trento - Povo Centro,"Trento - Povo Centro, TN",POINT
Trento,Trento - Sardagna,"Trento - Sardagna, TN",POINT
Trento,Trento - Sud,"Trento - Sud, TN",POINT
Trento,Trento - Sud - Ravina,"Trento - Sud - Ravina, TN",POINT
Trento,Trento - Sud - Romagnano,"Trento - Sud - Romagnano, TN",POINT
Trento,Trento - Valsorda,"Trento - Valsorda, TN",POINT
Trento,Trento - Vason,"Trento - Vason, TN",POINT
Trento,Trento - Vigo Meano,"Trento - Vigo Meano, TN",POINT
Trento,Trento - Vigolo Baselga,"Trento - Vigolo Baselga, TN",POINT
Trento,Trento - Villamontagna,"Trento - Villamontagna, TN",POINT
Trento,Trento - Villazzano,"Trento - Villazzano, TN",POINT
Trento,Trento - Zona Via Brescia,"Trento - Zona Via Brescia, TN",POINT
Trento,Trento - Zona via Asiago,"Trento - Zona via Asiago, TN",POINT
Volano,Volano - Rete Alta,"Volano - Rete Alta, TN",POINT
Volano,Volano - Rete Bassa,"Volano - Rete Bassa, TN",POINT
