alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Assizzi (bassa),Pergine Valsugana,0.17,9.50,319.74,55.40,0.06,1.55,168.00,1° semestre 2019,20.05,0.20,14.98,2.00,2.92,0.05,7.85,1.38,231.33,1.13,62.10
Masetti,Pergine Valsugana,0.17,9.50,319.74,55.40,0.06,1.55,168.00,1° semestre 2019,20.05,0.20,14.98,2.00,2.92,0.05,7.85,1.38,231.33,1.13,62.10
Valderban,Pergine Valsugana,0.17,9.50,319.74,55.40,0.06,1.55,168.00,1° semestre 2019,20.05,0.20,14.98,2.00,2.92,0.05,7.85,1.38,231.33,1.13,62.10
Telotti,Pergine Valsugana,0.17,9.50,319.74,55.40,0.06,1.55,168.00,1° semestre 2019,20.05,0.20,14.98,2.00,2.92,0.05,7.85,1.38,231.33,1.13,62.10
Colle del Tegazzo,Pergine Valsugana,0.17,9.50,319.74,55.40,0.06,1.55,168.00,1° semestre 2019,20.05,0.20,14.98,2.00,2.92,0.05,7.85,1.38,231.33,1.13,62.10
Pergine,Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Canezza,Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Cire',Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Serso,Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Zivignago (bassa),Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Sacchi,Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Maso San Pietro,Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Maso Osler,Pergine Valsugana,0.13,5.72,131.80,31.56,0.04,5.86,202.79,1° semestre 2019,9.29,0.73,3.34,2.00,5.15,0.06,7.62,2.22,172.60,3.10,15.83
Canale (alto),Pergine Valsugana,0.13,1.00,148.89,48.00,0.12,15.30,430.00,1° semestre 2019,14.60,0.58,6.10,13.10,9.52,0.05,7.50,2.56,194.00,8.90,25.50
Maso delle Rive,Pergine Valsugana,0.13,1.00,148.89,48.00,0.12,15.30,430.00,1° semestre 2019,14.60,0.58,6.10,13.10,9.52,0.05,7.50,2.56,194.00,8.90,25.50
Fontanele,Pergine Valsugana,0.13,1.00,148.89,48.00,0.12,15.30,430.00,1° semestre 2019,14.60,0.58,6.10,13.10,9.52,0.05,7.50,2.56,194.00,8.90,25.50
Zivignago (alta),Pergine Valsugana,0.13,6.65,123.26,46.75,0.00,5.44,232.00,1° semestre 2019,15.03,0.20,13.38,2.00,2.18,0.05,7.78,0.59,189.50,1.70,30.35
Ciomba,Pergine Valsugana,0.13,6.65,123.26,46.75,0.00,5.44,232.00,1° semestre 2019,15.03,0.20,13.38,2.00,2.18,0.05,7.78,0.59,189.50,1.70,30.35
Costasavina,Pergine Valsugana,0.32,1.00,234.32,82.50,0.05,1.29,722.67,1° semestre 2019,30.13,0.20,29.43,3.00,3.14,0.05,7.82,0.63,354.50,1.81,122.90
Canezza sinistra Fersina Maso Ferar,Pergine Valsugana,0.13,3.40,79.33,22.17,0.02,14.24,119.27,1° semestre 2019,7.10,0.69,4.55,3.10,5.41,0.05,7.73,2.46,133.00,9.90,14.01
Guarda,Pergine Valsugana,0.13,1.00,34.17,6.70,,1.52,21.80,1° semestre 2019,3.30,0.20,3.80,2.20,3.46,0.05,7.50,0.77,55.00,3.10,12.98
Riposo,Pergine Valsugana,0.13,1.00,34.17,6.70,,1.52,21.80,1° semestre 2019,3.30,0.20,3.80,2.20,3.46,0.05,7.50,0.77,55.00,3.10,12.98
Molino Sassi Grandi,Pergine Valsugana,0.13,1.00,34.17,6.70,,1.52,21.80,1° semestre 2019,3.30,0.20,3.80,2.20,3.46,0.05,7.50,0.77,55.00,3.10,12.98
Madrano,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Canzolino,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Pissol,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Brazzanighe,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Costa,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Vigalzano,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Villa Rosa,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Maso Grillo,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Casalino,Pergine Valsugana,0.15,1.78,118.38,42.40,0.03,6.88,206.55,1° semestre 2019,18.40,0.20,19.10,3.10,6.93,0.05,7.50,1.91,233.00,7.90,35.93
Maso Casot,Pergine Valsugana,0.13,1.00,30.51,3.80,0.02,0.43,67.00,1° semestre 2019,1.35,0.20,0.99,2.00,4.28,0.05,7.30,0.35,12.00,1.10,2.55
