alias_city,alias_address,aqueduct,urlPage,georeferencingString,type
Pergine Valsugana,Assizzi (bassa),"Assizzi, Masetti",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Assizzi (bassa), Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Masetti,"Assizzi, Masetti",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Masetti, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Valderban,"Assizzi, Masetti",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Valderban, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Telotti,"Assizzi, Masetti",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Telotti, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Colle del Tegazzo,"Assizzi, Masetti",https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Colle del Tegazzo, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Pergine,Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Pergine, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Canezza,Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Canezza, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Cire',Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Cire', Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Serso,Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Serso, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Zivignago (bassa),Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Zivignago (bassa), Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Sacchi,Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Sacchi, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso San Pietro,Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso San Pietro, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Maso Osler,Busneck,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Maso Osler, Pergine Valsugana, TN, Trentino",POINT
Pergine Valsugana,Canale (alto),Canale alto,https://www.stetspa.it/attivita/acquedotto/qualita-dellacqua/pergine-valsugana,"Canale (alto), Pergine Valsugana, TN, Trentino",POINT
