alias_address,alias_city,aqueduct,data_report,urlReport
Assizzi (bassa),Pergine Valsugana,"Assizzi, Masetti",1° semestre 2019,https://www.stetspa.it/sites/default/files/913903_10.pdf
Masetti,Pergine Valsugana,"Assizzi, Masetti",1° semestre 2019,https://www.stetspa.it/sites/default/files/913903_10.pdf
Valderban,Pergine Valsugana,"Assizzi, Masetti",1° semestre 2019,https://www.stetspa.it/sites/default/files/913903_10.pdf
Telotti,Pergine Valsugana,"Assizzi, Masetti",1° semestre 2019,https://www.stetspa.it/sites/default/files/913903_10.pdf
Colle del Tegazzo,Pergine Valsugana,"Assizzi, Masetti",1° semestre 2019,https://www.stetspa.it/sites/default/files/913903_10.pdf
Pergine,Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Canezza,Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Cire',Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Serso,Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Zivignago (bassa),Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Sacchi,Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Maso San Pietro,Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Maso Osler,Pergine Valsugana,Busneck,1° semestre 2019,https://www.stetspa.it/sites/default/files/913901_10.pdf
Canale (alto),Pergine Valsugana,Canale alto,1° semestre 2019,https://www.stetspa.it/sites/default/files/913918_10.pdf
Maso delle Rive,Pergine Valsugana,Canale alto,1° semestre 2019,https://www.stetspa.it/sites/default/files/913918_10.pdf
Fontanele,Pergine Valsugana,Canale alto,1° semestre 2019,https://www.stetspa.it/sites/default/files/913918_10.pdf
Zivignago (alta),Pergine Valsugana,"Ciomba, Zivignago alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913917_10.pdf
Ciomba,Pergine Valsugana,"Ciomba, Zivignago alta",1° semestre 2019,https://www.stetspa.it/sites/default/files/913917_10.pdf
Costasavina,Pergine Valsugana,Costasavina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913909_10.pdf
Canezza sinistra Fersina Maso Ferar,Pergine Valsugana,Ferar Canezza sinistra Fersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913923_10.pdf
Guarda,Pergine Valsugana,Guarda - Riposo,1° semestre 2019,https://www.stetspa.it/sites/default/files/913920_11.pdf
Riposo,Pergine Valsugana,Guarda - Riposo,1° semestre 2019,https://www.stetspa.it/sites/default/files/913920_11.pdf
Molino Sassi Grandi,Pergine Valsugana,Guarda - Riposo,1° semestre 2019,https://www.stetspa.it/sites/default/files/913920_11.pdf
Madrano,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Canzolino,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Pissol,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Brazzanighe,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Costa,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Vigalzano,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Villa Rosa,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Maso Grillo,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Casalino,Pergine Valsugana,Madrano Oltrefersina,1° semestre 2019,https://www.stetspa.it/sites/default/files/913912_10.pdf
Maso Casot,Pergine Valsugana,Maso Casot,1° semestre 2019,https://www.stetspa.it/sites/default/files/913922_10.pdf
Nogare',Pergine Valsugana,Nogare',1° semestre 2019,https://www.stetspa.it/sites/default/files/913911_10.pdf
Rifugio Panarotta,Pergine Valsugana,Panarotta,1° semestre 2019,https://www.stetspa.it/sites/default/files/913924_7.pdf
Roncogno,Pergine Valsugana,Roncogno,1° semestre 2019,https://www.stetspa.it/sites/default/files/913910_10.pdf
San Cristoforo,Pergine Valsugana,"San Cristoforo, Canale, Valcanover",1° semestre 2019,https://www.stetspa.it/sites/default/files/913905_10.pdf
Canale (bassa),Pergine Valsugana,"San Cristoforo, Canale, Valcanover",1° semestre 2019,https://www.stetspa.it/sites/default/files/913905_10.pdf
