alias_city,alias_address,georeferencingString,type
PADOVA,Comune,"Padova, Veneto, Italia",POINT
ABANO TERME,Comune,"Abano Terme,Padova, Veneto, Italia",POINT
CONA,Comune,"Cona, Venezia, Veneto, Italia",POINT
CORREZZOLA,Comune,"Correzzola, Padova, Veneto, Italia",POINT
PONTELONGO,Comune,"Pontelongo, Padova, Veneto, Italia",POINT
CODEVIGO,Comune,"Codevigo, Padova, Veneto, Italia",POINT
BRUGINE,Comune,"Brugine, Padova, Veneto, Italia",POINT
LEGNARO,Comune,"Legnaro, Padova, Veneto, Italia",POINT
PIOVE DI SACCO,Comune,"Piove di Sacco, Padova, Veneto, Italia",POINT
S. ANGELO DI PIOVE DI S.,Comune,"Sant'Angelo di Piove di Sacco, Padova, Veneto, Italia",POINT
POLVERARA,Comune,"Polverara, Padova, Veneto, Italia",POINT
ARZERGRANDE,Comune,"Arzergrande, Padova, Veneto, Italia",POINT
