alias_city,alias_address,urlReport,data_report
PADOVA,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_padova/Acqua_PD_2020_01_Gennaio_PFAS.1583157977.pdf,Gennaio 2020
ABANO TERME,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_padova/Acqua_PD_2020_01_Gennaio_PFAS.1583157977.pdf,Gennaio 2020
CONA,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Sud_4_trimestre_2019_PFAS.1579777117.pdf,4 trimestre 2019
CORREZZOLA,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Sud_4_trimestre_2019_PFAS.1579777117.pdf,4 trimestre 2019
PONTELONGO,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Sud_4_trimestre_2019_PFAS.1579777117.pdf,4 trimestre 2019
CODEVIGO,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Sud_4_trimestre_2019_PFAS.1579777117.pdf,4 trimestre 2019
BRUGINE,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Nord_4_trimestre_2019_PFAS.1579777073.pdf,4 trimestre 2019
LEGNARO,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Nord_4_trimestre_2019_PFAS.1579777073.pdf,4 trimestre 2019
PIOVE DI SACCO,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Nord_4_trimestre_2019_PFAS.1579777073.pdf,4 trimestre 2019
S. ANGELO DI PIOVE DI S.,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Nord_4_trimestre_2019_PFAS.1579777073.pdf,4 trimestre 2019
POLVERARA,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Saccisica_Nord_4_trimestre_2019_PFAS.1579777073.pdf,4 trimestre 2019
ARZERGRANDE,Comune,http://www.acegasapsamga.it/binary/hera_acegas/qualita_acqua_saccisica/Arzergrande_4_trimestre_2019_PFAS_BOSCOCHIARO.1579777161.pdf,4 trimestre 2019


