parametro,syn0,syn1,syn2,syn3,syn4,syn5,syn6,syn7,syn8,syn9
residuo_fisso,residuo fisso a 180° C
durezza,durezza totale in gradi francesi
ph,concentrazione ioni idrogeno
calcio,calcio
sodio,sodio
magnesio,magnesio
potassio,potassio
solfato,solfati
nitrato,nitrato (come NO3)
nitrito,nitrito (come NO2)
cloruro,cloruri
conducibilita,conduc. elettrica specifica a 20 °C
fluoruri,fluoruri
ammoniaca,ammonio
manganese,manganese
arsenico,arsenico
bicarbonato,bicarbonati
cloro_residuo,cloro residuo
ferro,ferro totale
cromo,cromo totale
