alias_address,alias_city,geocode,geometry,georeferencingString,type
Centrale di Corbola,Adria,"Adria, Rovigo, Veneto, 45011, Italia","{'type': 'Point', 'coordinates': [12.0612287, 45.0534089]}","Adria, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Agna,"Agna, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9603017, 45.1702381]}","Agna, Veneto, Italia",POINT
Acque Veronesi - Centrale Madonna di Lonigo,Agugliaro,"Agugliaro, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.584203, 45.325389]}","Agugliaro, Veneto, Italia",POINT
AcegasApsAmga,Albignasego,"Albignasego, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.867209, 45.347492]}","Albignasego, Veneto, Italia",POINT
Acque Veronesi - Centrale Madonna di Lonigo,Alonte,"Alonte, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.4273627, 45.3650367]}","Alonte, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Anguillara Veneta,"Anguillara Veneta, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8877456, 45.1393548]}","Anguillara Veneta, Veneto, Italia",POINT
Centrale di Corbola,Ariano nel Polesine,"Ariano nel Polesine, Rovigo, Veneto, 45012, Italia","{'type': 'Point', 'coordinates': [12.124922, 44.946084]}","Ariano nel Polesine, Veneto, Italia",POINT
Fonte Camazzole,Arquà Petrarca,"Arquà Petrarca, Padova, Veneto, 35032, Italia","{'type': 'Point', 'coordinates': [11.7165149, 45.2700441]}","Arquà Petrarca, Veneto, Italia",POINT
Centrale di Boara Polesine,Arquà Polesine,"Arquà Polesine, Rovigo, Veneto, 45031, Italia","{'type': 'Point', 'coordinates': [11.7231036, 45.0218412]}","Arquà Polesine, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Arre,"Arre, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.930495, 45.2163193]}","Arre, Veneto, Italia",POINT
Acque Veronesi - Centrale Madonna di Lonigo,Asigliano Veneto,"Asigliano Veneto, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.446266, 45.3045125]}","Asigliano Veneto, Veneto, Italia",POINT
Centrale di Badia Polesine,Badia Polesine,"Badia Polesine, Rovigo, Veneto, 45021, Italia","{'type': 'Point', 'coordinates': [11.4847652, 45.0944582]}","Badia Polesine, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Bagnoli di Sopra,"Bagnoli di Sopra, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8834864, 45.1848407]}","Bagnoli di Sopra, Veneto, Italia",POINT
Centrale di Badia Polesine,Bagnolo di Po,"Bagnolo di Po, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.5011924, 45.0160084]}","Bagnolo di Po, Veneto, Italia",POINT
Fonte Camazzole,Baone,"Baone, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6879458, 45.2438632]}","Baone, Veneto, Italia",POINT
Centrale di Vescovana,Barbona,"Barbona, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.682407, 45.1116811]}","Barbona, Veneto, Italia",POINT
Centrale di Castelnovo Bariano,Bergantino,"Bergantino, Rovigo, Veneto, 45032, Italia","{'type': 'Point', 'coordinates': [11.2529005, 45.0601694]}","Bergantino, Veneto, Italia",POINT
Centrale di Vescovana,Boara Pisani,"Boara Pisani, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.782711, 45.108085]}","Boara Pisani, Veneto, Italia",POINT
Fonte Camazzole,Borgo Veneto,"Borgo Veneto, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.5385628, 45.229109]}","Borgo Veneto, Veneto, Italia",POINT
Centrale di Boara Polesine,Bosaro,"Bosaro, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7667454, 45.001839]}","Bosaro, Veneto, Italia",POINT
AcegasApsAmga,Bovolenta,"Bovolenta, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9350857, 45.2703747]}","Bovolenta, Veneto, Italia",POINT
Centrale di Castelnovo Bariano,Calto,"Calto, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.3564707, 44.9914983]}","Calto, Veneto, Italia",POINT
Acque Veronesi - Centrale Madonna di Lonigo,Campiglia dei Berici,"Campiglia dei Berici, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.5394891, 45.3362423]}","Campiglia dei Berici, Veneto, Italia",POINT
Centrale di Occhiobello,Canaro,"Canaro, Rovigo, Veneto, 45034, Italia","{'type': 'Point', 'coordinates': [11.6767382, 44.9354725]}","Canaro, Veneto, Italia",POINT
Centrale di Badia Polesine,Canda,"Canda, Rovigo, Veneto, Italia","{'type': 'Point', 'coordinates': [11.5056475, 45.0343555]}","Canda, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Candiana,"Candiana, Padova, Veneto, 61010, Italia","{'type': 'Point', 'coordinates': [11.989114, 45.22109]}","Candiana, Veneto, Italia",POINT
Fonte Camazzole,Carceri,"Carceri, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6208414, 45.1950006]}","Carceri, Veneto, Italia",POINT
Centrale di Anguillara Veneta,Cartura,"Cartura, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.85681, 45.26839]}","Cartura, Veneto, Italia",POINT
Centrale di Piacenza d'Adige,Casale di Scodosia,"Casale di Scodosia, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.4686356, 45.1874943]}","Casale di Scodosia, Veneto, Italia",POINT
AcegasApsAmga,Casalserugo,"Casalserugo, Padova, Veneto, 35020, Italia","{'type': 'Point', 'coordinates': [11.9135453, 45.3162255]}","Casalserugo, Veneto, Italia",POINT
Centrale di Badia Polesine,Castagnaro,"Castagnaro, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [11.4107501, 45.1207552]}","Castagnaro, Veneto, Italia",POINT
Centrale di Piacenza d'Adige,Castelbaldo,"Castelbaldo, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.4535022, 45.1211715]}","Castelbaldo, Veneto, Italia",POINT
