alias_address,alias_city,georeferencingString
CORSO DEGLI ALPINI,AGORDO,"CORSO DEGLI ALPINI, AGORDO, Belluno, Veneto, Italia"
CORSO PATRIOTI,AGORDO,"CORSO PATRIOTI, AGORDO, Belluno, Veneto, Italia"
FRAZIONE BRUGNACH,AGORDO,"FRAZIONE BRUGNACH, AGORDO, Belluno, Veneto, Italia"
FRAZIONE COLVIGNAS,AGORDO,"FRAZIONE COLVIGNAS, AGORDO, Belluno, Veneto, Italia"
FRAZIONE CROSTOLIN,AGORDO,"FRAZIONE CROSTOLIN, AGORDO, Belluno, Veneto, Italia"
FRAZIONE FARENZENA,AGORDO,"FRAZIONE FARENZENA, AGORDO, Belluno, Veneto, Italia"
FRAZIONE GIOVE,AGORDO,"FRAZIONE GIOVE, AGORDO, Belluno, Veneto, Italia"
FRAZIONE PARECH,AGORDO,"FRAZIONE PARECH, AGORDO, Belluno, Veneto, Italia"
FRAZIONE PIASENT,AGORDO,"FRAZIONE PIASENT, AGORDO, Belluno, Veneto, Italia"
FRAZIONE RIF,AGORDO,"FRAZIONE RIF, AGORDO, Belluno, Veneto, Italia"
FRAZIONE TOCCOL,AGORDO,"FRAZIONE TOCCOL, AGORDO, Belluno, Veneto, Italia"
FRAZIONE VALCOZZENA,AGORDO,"FRAZIONE VALCOZZENA, AGORDO, Belluno, Veneto, Italia"
FRAZIONE VERAN,AGORDO,"FRAZIONE VERAN, AGORDO, Belluno, Veneto, Italia"
LOCALITA' CAMPON,AGORDO,"LOCALITA' CAMPON, AGORDO, Belluno, Veneto, Italia"
LOCALITA' CAMPREGANA,AGORDO,"LOCALITA' CAMPREGANA, AGORDO, Belluno, Veneto, Italia"
LOCALITA' CERAMASSE,AGORDO,"LOCALITA' CERAMASSE, AGORDO, Belluno, Veneto, Italia"
LOCALITA' FAION,AGORDO,"LOCALITA' FAION, AGORDO, Belluno, Veneto, Italia"
LOCALITA' FOCHE,AGORDO,"LOCALITA' FOCHE, AGORDO, Belluno, Veneto, Italia"
LOCALITA' GRAVE,AGORDO,"LOCALITA' GRAVE, AGORDO, Belluno, Veneto, Italia"
LOCALITA' MISSIAGA,AGORDO,"LOCALITA' MISSIAGA, AGORDO, Belluno, Veneto, Italia"
LOCALITA' MOGN,AGORDO,"LOCALITA' MOGN, AGORDO, Belluno, Veneto, Italia"
LOCALITA' MOLIN DEI COT,AGORDO,"LOCALITA' MOLIN DEI COT, AGORDO, Belluno, Veneto, Italia"
LOCALITA' MOZZACH,AGORDO,"LOCALITA' MOZZACH, AGORDO, Belluno, Veneto, Italia"
LOCALITA' NAGOL,AGORDO,"LOCALITA' NAGOL, AGORDO, Belluno, Veneto, Italia"
LOCALITA' PAS,AGORDO,"LOCALITA' PAS, AGORDO, Belluno, Veneto, Italia"
LOCALITA' PIANIZZE,AGORDO,"LOCALITA' PIANIZZE, AGORDO, Belluno, Veneto, Italia"
LOCALITA' POLANE,AGORDO,"LOCALITA' POLANE, AGORDO, Belluno, Veneto, Italia"
LOCALITA' PONTE ALTO,AGORDO,"LOCALITA' PONTE ALTO, AGORDO, Belluno, Veneto, Italia"
LOCALITA' VAL DI FRELA,AGORDO,"LOCALITA' VAL DI FRELA, AGORDO, Belluno, Veneto, Italia"
LOCALITA' VALCOZZENA,AGORDO,"LOCALITA' VALCOZZENA, AGORDO, Belluno, Veneto, Italia"
CORSO ITALIA,ALLEGHE,"CORSO ITALIA, ALLEGHE, Belluno, Veneto, Italia"
CORSO TRIESTE,ALLEGHE,"CORSO TRIESTE, ALLEGHE, Belluno, Veneto, Italia"
CORSO VENETO,ALLEGHE,"CORSO VENETO, ALLEGHE, Belluno, Veneto, Italia"
CORSO VENEZIA,ALLEGHE,"CORSO VENEZIA, ALLEGHE, Belluno, Veneto, Italia"
PIAZZA J.F. KENNEDY,ALLEGHE,"PIAZZA J.F. KENNEDY, ALLEGHE, Belluno, Veneto, Italia"
PIAZZA OTTAVIO DOGLIANI,ALLEGHE,"PIAZZA OTTAVIO DOGLIANI, ALLEGHE, Belluno, Veneto, Italia"
PIAZZA VECCHIA,ALLEGHE,"PIAZZA VECCHIA, ALLEGHE, Belluno, Veneto, Italia"
VIA A. DE GASPERI,ALLEGHE,"VIA A. DE GASPERI, ALLEGHE, Belluno, Veneto, Italia"
VIA ANTONIO STOPPANI,ALLEGHE,"VIA ANTONIO STOPPANI, ALLEGHE, Belluno, Veneto, Italia"
VIA BELVEDERE,ALLEGHE,"VIA BELVEDERE, ALLEGHE, Belluno, Veneto, Italia"
VIA CASARIL,ALLEGHE,"VIA CASARIL, ALLEGHE, Belluno, Veneto, Italia"
VIA COI,ALLEGHE,"VIA COI, ALLEGHE, Belluno, Veneto, Italia"
VIA COL DI LANA,ALLEGHE,"VIA COL DI LANA, ALLEGHE, Belluno, Veneto, Italia"
VIA COLDAI,ALLEGHE,"VIA COLDAI, ALLEGHE, Belluno, Veneto, Italia"
VIA COLDEFONTANA,ALLEGHE,"VIA COLDEFONTANA, ALLEGHE, Belluno, Veneto, Italia"
VIA COLDEMIES,ALLEGHE,"VIA COLDEMIES, ALLEGHE, Belluno, Veneto, Italia"
VIA CORDELLA,ALLEGHE,"VIA CORDELLA, ALLEGHE, Belluno, Veneto, Italia"
VIA DEGLI ALPINI,ALLEGHE,"VIA DEGLI ALPINI, ALLEGHE, Belluno, Veneto, Italia"
VIA DEI PINI,ALLEGHE,"VIA DEI PINI, ALLEGHE, Belluno, Veneto, Italia"
VIA DELLA PACE,ALLEGHE,"VIA DELLA PACE, ALLEGHE, Belluno, Veneto, Italia"
VIA DELLE SCUOLE,ALLEGHE,"VIA DELLE SCUOLE, ALLEGHE, Belluno, Veneto, Italia"
VIA EUROPA,ALLEGHE,"VIA EUROPA, ALLEGHE, Belluno, Veneto, Italia"
VIA FERNAZZA,ALLEGHE,"VIA FERNAZZA, ALLEGHE, Belluno, Veneto, Italia"
VIA G. CARDUCCI,ALLEGHE,"VIA G. CARDUCCI, ALLEGHE, Belluno, Veneto, Italia"
VIA G. PASCOLI,ALLEGHE,"VIA G. PASCOLI, ALLEGHE, Belluno, Veneto, Italia"
VIA LAGUSELLO,ALLEGHE,"VIA LAGUSELLO, ALLEGHE, Belluno, Veneto, Italia"
VIA LUNGOLAGO,ALLEGHE,"VIA LUNGOLAGO, ALLEGHE, Belluno, Veneto, Italia"
VIA MARMOLADA,ALLEGHE,"VIA MARMOLADA, ALLEGHE, Belluno, Veneto, Italia"
VIA MONTE CIVETTA,ALLEGHE,"VIA MONTE CIVETTA, ALLEGHE, Belluno, Veneto, Italia"
VIA MONTE FERTAZZA,ALLEGHE,"VIA MONTE FERTAZZA, ALLEGHE, Belluno, Veneto, Italia"
BORGO S. NICOLO' - GARNA,ALPAGO,"BORGO S. NICOLO' - GARNA, ALPAGO, Belluno, Veneto, Italia"
CORSO ALPINO,ALPAGO,"CORSO ALPINO, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE BASTIA,ALPAGO,"FRAZIONE BASTIA, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE S.CROCE,ALPAGO,"FRAZIONE S.CROCE, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE S.CROCE - LASTRA,ALPAGO,"FRAZIONE S.CROCE - LASTRA, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE SPERT,ALPAGO,"FRAZIONE SPERT, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE TORCH,ALPAGO,"FRAZIONE TORCH, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE TORRES,ALPAGO,"FRAZIONE TORRES, ALPAGO, Belluno, Veneto, Italia"
FRAZIONE VALZELLA,ALPAGO,"FRAZIONE VALZELLA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' BASSAN,ALPAGO,"LOCALITA' BASSAN, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' BERNARDET,ALPAGO,"LOCALITA' BERNARDET, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' BORGA,ALPAGO,"LOCALITA' BORGA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' BUTAZ,ALPAGO,"LOCALITA' BUTAZ, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' CAMPON,ALPAGO,"LOCALITA' CAMPON, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' CAROTA - PLOIS,ALPAGO,"LOCALITA' CAROTA - PLOIS, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' COL DE VI,ALPAGO,"LOCALITA' COL DE VI, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' CORDELE,ALPAGO,"LOCALITA' CORDELE, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' COSSOTAI,ALPAGO,"LOCALITA' COSSOTAI, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' COSTELLA,ALPAGO,"LOCALITA' COSTELLA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' FALISETTA,ALPAGO,"LOCALITA' FALISETTA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' FONTANA,ALPAGO,"LOCALITA' FONTANA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' FOSSA,ALPAGO,"LOCALITA' FOSSA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' GNOLA,ALPAGO,"LOCALITA' GNOLA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' I MAS,ALPAGO,"LOCALITA' I MAS, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' LA RIVA,ALPAGO,"LOCALITA' LA RIVA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' LA STORTA,ALPAGO,"LOCALITA' LA STORTA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' LONGARAZZA,ALPAGO,"LOCALITA' LONGARAZZA, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' MALOLT,ALPAGO,"LOCALITA' MALOLT, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' MEDELE,ALPAGO,"LOCALITA' MEDELE, ALPAGO, Belluno, Veneto, Italia"
LOCALITA' MONTAGNA,ALPAGO,"LOCALITA' MONTAGNA, ALPAGO, Belluno, Veneto, Italia"
BORGO SAN GIUSTO,ARSIE',"BORGO SAN GIUSTO, ARSIE', Belluno, Veneto, Italia"
BORGO SAN LORENZO,ARSIE',"BORGO SAN LORENZO, ARSIE', Belluno, Veneto, Italia"
LOC. FORNACI-MELLAME,ARSIE',"LOC. FORNACI-MELLAME, ARSIE', Belluno, Veneto, Italia"
LOCALITA' COL PERER,ARSIE',"LOCALITA' COL PERER, ARSIE', Belluno, Veneto, Italia"
LOCALITA' GAJOLE,ARSIE',"LOCALITA' GAJOLE, ARSIE', Belluno, Veneto, Italia"
PIAZZA CESCATO,ARSIE',"PIAZZA CESCATO, ARSIE', Belluno, Veneto, Italia"
PIAZZA G. MARCONI,ARSIE',"PIAZZA G. MARCONI, ARSIE', Belluno, Veneto, Italia"
PIAZZA MARTIRI,ARSIE',"PIAZZA MARTIRI, ARSIE', Belluno, Veneto, Italia"
PIAZZA S. MARCO,ARSIE',"PIAZZA S. MARCO, ARSIE', Belluno, Veneto, Italia"
PIAZZA SAN ANTONIO,ARSIE',"PIAZZA SAN ANTONIO, ARSIE', Belluno, Veneto, Italia"
PIAZZA SAN MARTINO,ARSIE',"PIAZZA SAN MARTINO, ARSIE', Belluno, Veneto, Italia"
PIAZZA SAN VITO,ARSIE',"PIAZZA SAN VITO, ARSIE', Belluno, Veneto, Italia"
PIAZZETTA D. ORSI,ARSIE',"PIAZZETTA D. ORSI, ARSIE', Belluno, Veneto, Italia"
VIA A. DIAZ,ARSIE',"VIA A. DIAZ, ARSIE', Belluno, Veneto, Italia"
VIA A. MANZONI,ARSIE',"VIA A. MANZONI, ARSIE', Belluno, Veneto, Italia"
VIA ANGELO ARBOIT,ARSIE',"VIA ANGELO ARBOIT, ARSIE', Belluno, Veneto, Italia"
VIA ANGOA,ARSIE',"VIA ANGOA, ARSIE', Belluno, Veneto, Italia"
VIA BARBARIGO,ARSIE',"VIA BARBARIGO, ARSIE', Belluno, Veneto, Italia"
VIA BELVEDERE,ARSIE',"VIA BELVEDERE, ARSIE', Belluno, Veneto, Italia"
VIA BERNARDI,ARSIE',"VIA BERNARDI, ARSIE', Belluno, Veneto, Italia"
VIA BORGOFORTE,ARSIE',"VIA BORGOFORTE, ARSIE', Belluno, Veneto, Italia"
VIA CADORNA,ARSIE',"VIA CADORNA, ARSIE', Belluno, Veneto, Italia"
VIA CAMPAGNA,ARSIE',"VIA CAMPAGNA, ARSIE', Belluno, Veneto, Italia"
VIA CANEVAL,ARSIE',"VIA CANEVAL, ARSIE', Belluno, Veneto, Italia"
VIA CANOVA,ARSIE',"VIA CANOVA, ARSIE', Belluno, Veneto, Italia"
VIA CARAZZAGNO,ARSIE',"VIA CARAZZAGNO, ARSIE', Belluno, Veneto, Italia"
VIA CASERE,ARSIE',"VIA CASERE, ARSIE', Belluno, Veneto, Italia"
VIA CASTELLIR,ARSIE',"VIA CASTELLIR, ARSIE', Belluno, Veneto, Italia"
VIA CAVOUR,ARSIE',"VIA CAVOUR, ARSIE', Belluno, Veneto, Italia"
VIA CESARE BATTISTI,ARSIE',"VIA CESARE BATTISTI, ARSIE', Belluno, Veneto, Italia"
BORGO RIO MURI,AURONZO DI CADORE,"BORGO RIO MURI, AURONZO DI CADORE, Belluno, Veneto, Italia"
BORGO ZANDEGIACOMO,AURONZO DI CADORE,"BORGO ZANDEGIACOMO, AURONZO DI CADORE, Belluno, Veneto, Italia"
LARGO TARIN,AURONZO DI CADORE,"LARGO TARIN, AURONZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' LA BOA,AURONZO DI CADORE,"LOCALITA' LA BOA, AURONZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' PALUS S. MARCO,AURONZO DI CADORE,"LOCALITA' PALUS S. MARCO, AURONZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' POSPIZZA,AURONZO DI CADORE,"LOCALITA' POSPIZZA, AURONZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' STABIZIANE,AURONZO DI CADORE,"LOCALITA' STABIZIANE, AURONZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' TORNEDE,AURONZO DI CADORE,"LOCALITA' TORNEDE, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZA REGINA PACIS,AURONZO DI CADORE,"PIAZZA REGINA PACIS, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZA RIZZARDI,AURONZO DI CADORE,"PIAZZA RIZZARDI, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZA SAN LUCANO,AURONZO DI CADORE,"PIAZZA SAN LUCANO, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZA SANTA GIUSTINA,AURONZO DI CADORE,"PIAZZA SANTA GIUSTINA, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZA VIGO,AURONZO DI CADORE,"PIAZZA VIGO, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZALE IV NOVEMBRE,AURONZO DI CADORE,"PIAZZALE IV NOVEMBRE, AURONZO DI CADORE, Belluno, Veneto, Italia"
PIAZZALE OSTERRA,AURONZO DI CADORE,"PIAZZALE OSTERRA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA AIARNOLA,AURONZO DI CADORE,"VIA AIARNOLA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA ALPINI,AURONZO DI CADORE,"VIA ALPINI, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA AMBATA,AURONZO DI CADORE,"VIA AMBATA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA ANSIEI,AURONZO DI CADORE,"VIA ANSIEI, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA ANTONIO BERTI,AURONZO DI CADORE,"VIA ANTONIO BERTI, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA CELLA,AURONZO DI CADORE,"VIA CELLA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA CIASTEL,AURONZO DI CADORE,"VIA CIASTEL, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA CIMA GOGNA,AURONZO DI CADORE,"VIA CIMA GOGNA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA COLLESIEI,AURONZO DI CADORE,"VIA COLLESIEI, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA CORTE,AURONZO DI CADORE,"VIA CORTE, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA DANTE,AURONZO DI CADORE,"VIA DANTE, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA DE FILIPPO,AURONZO DI CADORE,"VIA DE FILIPPO, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA DELLA GROTTA,AURONZO DI CADORE,"VIA DELLA GROTTA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA DELLA VELMA,AURONZO DI CADORE,"VIA DELLA VELMA, AURONZO DI CADORE, Belluno, Veneto, Italia"
VIA DELL'ANGELO,AURONZO DI CADORE,"VIA DELL'ANGELO, AURONZO DI CADORE, Belluno, Veneto, Italia"
LOCALITA' ANDREANE,BELLUNO,"LOCALITA' ANDREANE, BELLUNO, Belluno, Veneto, Italia"
LOCALITA' PONTE DOLOMITI,BELLUNO,"LOCALITA' PONTE DOLOMITI, BELLUNO, Belluno, Veneto, Italia"
PIAZZA A. DE LUCA,BELLUNO,"PIAZZA A. DE LUCA, BELLUNO, Belluno, Veneto, Italia"
PIAZZA CASTELLO,BELLUNO,"PIAZZA CASTELLO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA DEI MARTIRI,BELLUNO,"PIAZZA DEI MARTIRI, BELLUNO, Belluno, Veneto, Italia"
PIAZZA DUOMO,BELLUNO,"PIAZZA DUOMO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA FONTANA OGOL,BELLUNO,"PIAZZA FONTANA OGOL, BELLUNO, Belluno, Veneto, Italia"
PIAZZA G. MAZZINI,BELLUNO,"PIAZZA G. MAZZINI, BELLUNO, Belluno, Veneto, Italia"
PIAZZA G. PILONI,BELLUNO,"PIAZZA G. PILONI, BELLUNO, Belluno, Veneto, Italia"
PIAZZA L. LOLLINO,BELLUNO,"PIAZZA L. LOLLINO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA MERCATO,BELLUNO,"PIAZZA MERCATO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA OLTRARDO,BELLUNO,"PIAZZA OLTRARDO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA S.LUCANO BORGO PRA,BELLUNO,"PIAZZA S.LUCANO BORGO PRA, BELLUNO, Belluno, Veneto, Italia"
PIAZZA SAN GIOVANNI BOSCO,BELLUNO,"PIAZZA SAN GIOVANNI BOSCO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA SANTO STEFANO,BELLUNO,"PIAZZA SANTO STEFANO, BELLUNO, Belluno, Veneto, Italia"
PIAZZA VITTIME VIA FANI,BELLUNO,"PIAZZA VITTIME VIA FANI, BELLUNO, Belluno, Veneto, Italia"
PIAZZA VITTORIO EMANUELE,BELLUNO,"PIAZZA VITTORIO EMANUELE, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE C. BATTISTI,BELLUNO,"PIAZZALE C. BATTISTI, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE DELLA STAZIONE,BELLUNO,"PIAZZALE DELLA STAZIONE, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE G.MARCONI,BELLUNO,"PIAZZALE G.MARCONI, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE NEVEGAL,BELLUNO,"PIAZZALE NEVEGAL, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE RESISTENZA,BELLUNO,"PIAZZALE RESISTENZA, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE STAZIONE,BELLUNO,"PIAZZALE STAZIONE, BELLUNO, Belluno, Veneto, Italia"
PIAZZALE VITTIME DELLE FOIBE,BELLUNO,"PIAZZALE VITTIME DELLE FOIBE, BELLUNO, Belluno, Veneto, Italia"
PIAZZETTA SAN LUCANO,BELLUNO,"PIAZZETTA SAN LUCANO, BELLUNO, Belluno, Veneto, Italia"
PIAZZETTA SANTO STEFANO,BELLUNO,"PIAZZETTA SANTO STEFANO, BELLUNO, Belluno, Veneto, Italia"
VIA 10 MARZO 1945,BELLUNO,"VIA 10 MARZO 1945, BELLUNO, Belluno, Veneto, Italia"
VIA A. ALPAGO,BELLUNO,"VIA A. ALPAGO, BELLUNO, Belluno, Veneto, Italia"
VIA A. BETTIO,BELLUNO,"VIA A. BETTIO, BELLUNO, Belluno, Veneto, Italia"
VIA A. BOITO,BELLUNO,"VIA A. BOITO, BELLUNO, Belluno, Veneto, Italia"
FRAZIONE CORTE DI CADORE,BORCA DI CADORE,"FRAZIONE CORTE DI CADORE, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA ANTELAO,BORCA DI CADORE,"VIA ANTELAO, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA CAVOUR,BORCA DI CADORE,"VIA CAVOUR, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA CROERA,BORCA DI CADORE,"VIA CROERA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DEL CRISTO,BORCA DI CADORE,"VIA DEL CRISTO, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DELLA CHIESA,BORCA DI CADORE,"VIA DELLA CHIESA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON CARLO DE LUCA,BORCA DI CADORE,"VIA DON CARLO DE LUCA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON GIOVANNI DE LUCA,BORCA DI CADORE,"VIA DON GIOVANNI DE LUCA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON NATALE TALAMINI,BORCA DI CADORE,"VIA DON NATALE TALAMINI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA DON OSVALDO VARETTON,BORCA DI CADORE,"VIA DON OSVALDO VARETTON, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA ENRICO MATTEI,BORCA DI CADORE,"VIA ENRICO MATTEI, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA FERRANDINA,BORCA DI CADORE,"VIA FERRANDINA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA FRATE TOMMASO DE LUCA,BORCA DI CADORE,"VIA FRATE TOMMASO DE LUCA, BORCA DI CADORE, Belluno, Veneto, Italia"
VIA FUSINELES,BORCA DI CADORE,"VIA FUSINELES, BORCA DI CADORE, Belluno, Veneto, Italia"
