Alcalinità,Ammonio,Arsenico,Calcio,Cloruro,Conducibilità,Conta Clostridium perfringens (spore comprese),Conta Escherichia coli,Conta batteri coliformi,Durezza,Ferro,Fluoruro,Magnesio,Manganese,Nitrato,Nitrito,Potassio,Residuo secco a 180°C,Sodio,Solfato,alias_acqueduct,alias_city,data_report,pH,Nessun dato disponibile
75,0.02,< 1,51,36,446,0,0,0,19,< 20,0.07,11,< 5,11,< 0.05,2,269,12,45,Centrale di Corbola,Adria,06/11/2019,7.5,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Agna,06/11/2019,7.8,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Agugliaro,06/11/2019,7.5,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Albignasego,06/11/2019,7.5,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Alonte,06/11/2019,7.5,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Anguillara Veneta,06/11/2019,7.8,
75,0.02,< 1,51,36,446,0,0,0,19,< 20,0.07,11,< 5,11,< 0.05,2,269,12,45,Centrale di Corbola,Ariano nel Polesine,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Arquà Petrarca,06/11/2019,7.2,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Arquà Polesine,06/11/2019,7.6,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Arre,06/11/2019,7.8,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Asigliano Veneto,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Badia Polesine,06/11/2019,7.5,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Bagnoli di Sopra,06/11/2019,7.8,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Bagnolo di Po,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Baone,06/11/2019,7.2,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Barbona,06/11/2019,7.8,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Bergantino,06/11/2019,7.2,
50,< 0.02,< 1,35,12,317,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,132,5,41,Centrale di Vescovana,Boara Pisani,06/11/2019,7.8,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Borgo Veneto,06/11/2019,7.2,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Bosaro,06/11/2019,7.6,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Bovolenta,06/11/2019,7.5,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Calto,06/11/2019,7.2,
,< 0.02,1,,20,579,0,0,0,,< 20,0.05,,< 5,17,,,,,37,Acque Veronesi - Centrale Madonna di Lonigo,Campiglia dei Berici,06/11/2019,7.5,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Canaro,06/11/2019,7.4,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Canda,06/11/2019,7.5,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Candiana,06/11/2019,7.8,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Carceri,06/11/2019,7.2,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Cartura,06/11/2019,7.8,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Casale di Scodosia,06/11/2019,7.7,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Casalserugo,06/11/2019,7.5,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Castagnaro,06/11/2019,7.5,
50,< 0.02,< 1,35,16,328,0,0,0,13,< 20,0.14,9,< 5,4,< 0.05,2,104,5,42,Centrale di Piacenza d'Adige,Castelbaldo,06/11/2019,7.7,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Castelguglielmo,06/11/2019,7.5,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Castelmassa,06/11/2019,7.2,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Castelnovo Bariano,06/11/2019,7.2,
51,0.02,< 1,35,15,344,0,0,0,14,< 20,0.14,9,< 5,6,< 0.05,2,191,6,44,Centrale di Cavarzere,Cavarzere,06/11/2019,7.8,
142,0.02,2,65,16,484,0,0,0,27,< 20,0.11,18,< 5,3,< 0.05,2,326,12,44,Centrale di Castelnovo Bariano,Ceneselli,06/11/2019,7.2,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Ceregnano,06/11/2019,7.6,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Cinto Euganeo,06/11/2019,7.2,
51,< 0.02,< 1,35,13,327,0,0,0,13,< 20,0.14,9,< 5,5,< 0.05,2,173,5,42,Centrale di Anguillara Veneta,Conselve,06/11/2019,7.8,
75,0.02,< 1,51,36,446,0,0,0,19,< 20,0.07,11,< 5,11,< 0.05,2,269,12,45,Centrale di Corbola,Corbola,06/11/2019,7.5,
51,< 0.02,< 1,48,14,326,0,0,0,15,< 20,0.13,12,< 5,4,0.05,2,171,8,42,Centrale di Boara Polesine,Costa di Rovigo,06/11/2019,7.6,
73,0.03,< 1,51,34,442,0,0,0,19,< 20,0.08,11,< 5,11,< 0.05,2,246,13,45,Centrale di Canalnovo,Crespino,06/11/2019,7.5,
,< 0.02,< 1,,8,469,0,0,0,29,< 20,< 0.05,,< 5,17,< 0.05,,,,17,AcegasApsAmga,Due Carrare,06/11/2019,7.5,
,0.02,2,62,4,341,0,0,0,20,< 20,0.09,12.6,< 5,8,< 0.05,1.2,189,< 5,17,Fonte Camazzole,Este,06/11/2019,7.2,
53,0.03,1,47,13,329,0,0,0,15,< 20,0.13,12,< 5,5,< 0.05,2,169,8,41,Centrale di Badia Polesine,Ficarolo,06/11/2019,7.5,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Fiesso Umbertiano,06/11/2019,7.4,
135.42,0.03,1,74,194,985,0,0,0,30,< 20,0.15,24,< 5,6,< 0.05,3,692,92,20,Centrale di Occhiobello,Frassinelle Polesine,06/11/2019,7.4,
