alias_city,alias_address,georeferencingString,type
Albaredo d’Adige,VIA 25 APRILE,"VIA 25 APRILE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA ADIGE,"VIA ADIGE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA AMBROSI ANGELO,"VIA AMBROSI ANGELO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BA' GIUSEPPE,"VIA BA' GIUSEPPE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BAGNOLI,"VIA BAGNOLI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BELVEDERE,"VIA BELVEDERE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BERNARDINE SOPRA,"VIA BERNARDINE SOPRA, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BERNARDINE SOTTO,"VIA BERNARDINE SOTTO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BRENTA,"VIA BRENTA, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA BROLLO,"VIA BROLLO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA CADELSETTE,"VIA CADELSETTE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA CASOTTON,"VIA CASOTTON, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA CAV.DI VIT.VENETO,"VIA CAV.DI VIT.VENETO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA CENTENARO,"VIA CENTENARO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA CHIAVICHETTA,"VIA CHIAVICHETTA, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA CHIESA,"VIA CHIESA, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA COSENTINO LUCIO,"VIA COSENTINO LUCIO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA D'ACQUISTO,"VIA D'ACQUISTO, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DE GASPERI,"VIA DE GASPERI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEGLI ALPINI,"VIA DEGLI ALPINI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEI BARCARI,"VIA DEI BARCARI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEI CADUTI DI NASSIRIJA,"VIA DEI CADUTI DI NASSIRIJA, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEI GELSI,"VIA DEI GELSI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEI PIOPPI,"VIA DEI PIOPPI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEI TIGLI,"VIA DEI TIGLI, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Albaredo d’Adige,VIA DEL BERSAGLIERE,"VIA DEL BERSAGLIERE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
