Ammoniaca,Arsenico,Bicarbonati,Calcio,Cloro residuo,Cloruri,Conducibilità,Durezza,Fluoruri,Magnesio,Manganese,Nitrati,Nitriti,Potassio,Residuo fisso a 180&deg;C,Sodio,Solfati,alias_address,alias_city,data_report,pH
"<0,05",2,239,54,0.1,15,406,23,0.15,23,<5,<3,"<0,02",3,304,17,12,VIA A.VOLTA,Angiari,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",<1,257,73,0.2,21,577,29,"<0,05",27,<5,17,"<0,02",<1,432,21,38,VIA 13 MAGGIO,Arcole,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",<1,139,27,0.1,<2,210,12,"<0,05",14,<5,4,"<0,02",<1,158,<1,<3,VIA ALESSANDRO MINAZZI,Badia Calavena,Periodo: 2° SEMESTRE 2019,8.2
"<0,05",<1,261,75,0.1,22,581,30,"<0,05",28,<5,19,"<0,02",<1,436,20,40,VIA 1 MAGGIO,Bevilacqua,Periodo: 2° SEMESTRE 2019,7.7
"<0,05",<1,259,75,0.1,24,487,30,"<0,05",27,<5,19,"<0,02",1,365,21,43,VIA 1 MAGGIO,Bonavigo,Periodo: 2° SEMESTRE 2019,7.7
"<0,05",<1,252,75,0.1,24,549,30,0.08,26,<5,17,"<0,02",<1,412,21,37,VIA ALIGHIERI,Boschi Sant’Anna,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",1,220,67,Assente,7,378,23,0.1,15,<5,12,"<0,02",1,284,4,24,VIA ALEARDI DI BOSCO,Boscochiesanuova,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",1,219,67,0.1,16,424,26,0.15,23,<5,12,"<0,02",3,318,9,34,VIA 2 GIUGNO,Bussolengo,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",2,255,69,0.1,12,495,29,0.12,29,<5,23,"<0,02",3,371,10,35,VIA ADIGE,Buttapietra,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,241,91,0.1,18,421,39,0.07,38,<5,25,"<0,02",3,316,10,38,VIA A. CAMPETTI,Caldiero,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",1,284,74,Assente,18,509,31,0.11,31,<5,33,"<0,02",4,382,12,37,VIA ALFIERI VITTORIO,Castel d’Azzano,Periodo: 2° SEMESTRE 2019,7.6
"<0,05",<1,244,71,0.1,4,410,27,0.06,21,<5,17,"<0,02",<1,308,2,11,VIA ANGELO SPADA,Cazzano di Tramigna,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",2,248,53,0.1,14,382,23,0.14,24,<5,<3,"<0,02",4,287,18,11,VIA A. BOITO,Cerea,Periodo: 2° SEMESTRE 2019,8
"<0,05",<1,251,78,Assente,7,433,25,0.05,13,<5,15,"<0,02",1,325,4,14,VIA ALBRIGI,Cerro Veronese,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",<1,257,76,0.1,20,574,30,"<0,05",27,<5,17,"<0,02",<1,430,20,38,VIA ANTI,Cologna Veneta,Periodo: 2° SEMESTRE 2019,7.7
"<0,05",<1,221,67,0.1,6,403,25,0.14,19,<5,22,"<0,02",1,303,3,16,VIA 21 APRILE,Colognola ai Colli,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",2,239,54,0.1,15,406,23,0.15,23,<5,<3,"<0,02",3,304,17,12,VIA A.VOLTA,Concamarise,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",<1,201,71,0.1,<2,267,18,"<0,05",<2,<5,7,"<0,02",<1,200,<1,<3,VIA CAMPIONIVA,Erbezzo,Periodo: 2° SEMESTRE 2019,8.1
"<0,05",4,217,46,0.1,20,364,19,0.16,19,7,<3,"<0,02",3,273,16,17,VIA ALDO MORO,Erbè,Periodo: 2° SEMESTRE 2019,8
"<0,05",<1,235,82,0.1,7,458,24,0.12,10,<5,17,"<0,02",<1,344,3,13,VIA ALDO MORO,Fumane,Periodo: 2° SEMESTRE 2019,8
"<0,05",<1,257,105,0.1,12,509,30,"<0,05",10,<5,32,"<0,02",1,382,6,21,VIA ANGIOLINA,Grezzana,Periodo: 2° SEMESTRE 2019,7.7
"<0,05",<1,166,32,0.1,<2,216,13,"<0,05",13,<5,5,"<0,02",<1,162,<1,<3,INT.LATO VIA CASALETTI,Illasi,Periodo: 2° SEMESTRE 2019,8.2
"<0,05",2,239,54,0.1,15,406,23,0.15,23,<5,<3,"<0,02",3,304,17,12,VIA ADIGE,Isola Rizza,Periodo: 2° SEMESTRE 2019,7.9
"<0,05",2,192,51,"<0,1",23,423,22,0.13,22,<5,8,"<0,02",3,317,19,31,VIA A. DE GASPERI,Isola della Scala,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",<1,249,99,"<0,1",9,531,32,"<0,05",16,<5,30,"<0,02",1,399,4,10,VIA A. DALLOCA BIANCA,Lavagno,Periodo: 2° SEMESTRE 2019,7.5
"<0,05",<1,259,75,0.1,24,487,30,"<0,05",27,<5,19,"<0,02",1,365,21,43,VIA 1 MAGGIO,Legnago,Periodo: 2° SEMESTRE 2019,7.7
"<0,05",<1,268,97,0.1,9,466,28,0.16,8,<5,25,"<0,02",2,349,6,24,VIA AGNELLA,Marano di Valpolicella,Periodo: 2° SEMESTRE 2019,7.8
"<0,05",<1,284,106,0.1,10,573,33,0.1,15,<5,30,"<0,02",1,430,4,21,VIA A. DE GASPERI,Mezzane di Sotto,Periodo: 2° SEMESTRE 2019,7.5
"<0,05",<1,253,73,0.1,21,541,29,0.12,27,<5,18,"<0,02",1,406,22,40,VIA ALIGHIERI,Minerbe,Periodo: 2° SEMESTRE 2019,7.7
