alias_city,alias_address,georeferencingString,type
Albaredo d’Adige,VIA 25 APRILE,"VIA 25 APRILE, Albaredo d’Adige, Verona, Veneto, Italia",POINT
Angiari,VIA A.VOLTA,"VIA A.VOLTA, Angiari, Verona, Veneto, Italia",POINT
Arcole,VIA 13 MAGGIO,"VIA 13 MAGGIO, Arcole, Verona, Veneto, Italia",POINT
Badia Calavena,VIA ALESSANDRO MINAZZI,"VIA ALESSANDRO MINAZZI, Badia Calavena, Verona, Veneto, Italia",POINT
Bevilacqua,VIA 1 MAGGIO,"VIA 1 MAGGIO, Bevilacqua, Verona, Veneto, Italia",POINT
Bonavigo,VIA 1 MAGGIO,"VIA 1 MAGGIO, Bonavigo, Verona, Veneto, Italia",POINT
Boschi Sant’Anna,VIA ALIGHIERI,"VIA ALIGHIERI, Boschi Sant’Anna, Verona, Veneto, Italia",POINT
Boscochiesanuova,VIA ALEARDI DI BOSCO,"VIA ALEARDI DI BOSCO, Boscochiesanuova, Verona, Veneto, Italia",POINT
Bovolone,VIA 72° GRUPPO IT,"VIA 72° GRUPPO IT, Bovolone, Verona, Veneto, Italia",POINT
Bussolengo,VIA 2 GIUGNO,"VIA 2 GIUGNO, Bussolengo, Verona, Veneto, Italia",POINT
Buttapietra,VIA ADIGE,"VIA ADIGE, Buttapietra, Verona, Veneto, Italia",POINT
Caldiero,VIA A. CAMPETTI,"VIA A. CAMPETTI, Caldiero, Verona, Veneto, Italia",POINT
Casaleone,VIA A. DE GASPERI,"VIA A. DE GASPERI, Casaleone, Verona, Veneto, Italia",POINT
Castel d’Azzano,VIA ALFIERI VITTORIO,"VIA ALFIERI VITTORIO, Castel d’Azzano, Verona, Veneto, Italia",POINT
Cazzano di Tramigna,VIA ANGELO SPADA,"VIA ANGELO SPADA, Cazzano di Tramigna, Verona, Veneto, Italia",POINT
Cerea,VIA A. BOITO,"VIA A. BOITO, Cerea, Verona, Veneto, Italia",POINT
Cerro Veronese,VIA ALBRIGI,"VIA ALBRIGI, Cerro Veronese, Verona, Veneto, Italia",POINT
Cologna Veneta,VIA ANTI,"VIA ANTI, Cologna Veneta, Verona, Veneto, Italia",POINT
Colognola ai Colli,VIA 21 APRILE,"VIA 21 APRILE, Colognola ai Colli, Verona, Veneto, Italia",POINT
Concamarise,VIA A.VOLTA,"VIA A.VOLTA, Concamarise, Verona, Veneto, Italia",POINT
Erbezzo,VIA CAMPIONIVA,"VIA CAMPIONIVA, Erbezzo, Verona, Veneto, Italia",POINT
Erbè,VIA ALDO MORO,"VIA ALDO MORO, Erbè, Verona, Veneto, Italia",POINT
Fumane,VIA ALDO MORO,"VIA ALDO MORO, Fumane, Verona, Veneto, Italia",POINT
Grezzana,VIA ANGIOLINA,"VIA ANGIOLINA, Grezzana, Verona, Veneto, Italia",POINT
Illasi,INT.LATO VIA CASALETTI,"INT.LATO VIA CASALETTI, Illasi, Verona, Veneto, Italia",POINT
Isola Rizza,VIA ADIGE,"VIA ADIGE, Isola Rizza, Verona, Veneto, Italia",POINT
Isola della Scala,VIA A. DE GASPERI,"VIA A. DE GASPERI, Isola della Scala, Verona, Veneto, Italia",POINT
Lavagno,VIA A. DALLOCA BIANCA,"VIA A. DALLOCA BIANCA, Lavagno, Verona, Veneto, Italia",POINT
Legnago,VIA 1 MAGGIO,"VIA 1 MAGGIO, Legnago, Verona, Veneto, Italia",POINT
Marano di Valpolicella,VIA AGNELLA,"VIA AGNELLA, Marano di Valpolicella, Verona, Veneto, Italia",POINT
