alias_address,alias_city,geocode,geometry,georeferencingString
Capoluogo,Fonte</strong> <br />,"Fonte, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8797317, 45.7889908]}",Fonte TV
Villa d\'Asolo,Asolo</strong> <br />,"Asolo, 9, Via Castellana, Sant'Apollinare, Cà Giupponi, Asolo, Treviso, Veneto, 31011, Italia",,Asolo  Villa d\'Asolo
Zona San Pio X,Treviso</strong> <br />,"Collegio Vescovile ""Pio X"", 40, Borgo Cavour, Area Appiani, Borgo Mestre, Treviso, Veneto, 31100, Italia",,Treviso   San Pio X
Saletto e San Bartolomeo,Breda di Piave</strong> <br />,Breda di Piave  Saletto e San Bartolomeo,,Breda di Piave  Saletto e San Bartolomeo
Fornea,Caerano di San Marco</strong> <br />,Caerano di San Marco  Fornea,,Caerano di San Marco  Fornea
Zona industriale,Caerano di San Marco</strong> <br />,Caerano di San Marco   industriale,,Caerano di San Marco   industriale
Baratti,Crespano del Grappa</strong> <br />,Crespano del Grappa  Baratti,,Crespano del Grappa  Baratti
Santa Lucia,Crespano del Grappa</strong> <br />,,,Crespano del Grappa  Santa Lucia
Moriago della Batt.,Moriago della Battaglia</strong> <br />,,,Moriago della Battaglia  Moriago della Batt.
San Liberale,Paderno del Grappa</strong> <br />,,,Paderno del Grappa  San Liberale
Refrontolo (intero territorio),Refrontolo</strong> <br />,,,Refrontolo  Refrontolo (intero territorio)
Milies & Stramare,Segusino</strong> <br />,,,Segusino  Milies & Stramare
San Pelajo,Treviso</strong> <br />,,,Treviso  San Pelajo
Onè,Fonte</strong> <br />,"Onè di Fonte, Treviso, Veneto, 31011, Italia","{'type': 'Point', 'coordinates': [11.8683553, 45.7850915]}", Onè di Fonte TV
Quero,Quero,"Quero, Belluno, Veneto, 32038, Italia","{'type': 'Point', 'coordinates': [11.9307956, 45.9210286]}",Quero BL
Capoluogo,Vidor</strong> <br />,"Vidor, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0387488, 45.8616409]}",Vidor TV
