alias_address,alias_city,georeferencingString
,Alano di Piave</strong> <br />,Alano di Piave
Zona Campo,Alano di Piave</strong> <br />,Alano di Piave   Campo
Zona Colmirano,Alano di Piave</strong> <br />,Alano di Piave   Colmirano
Zona Fener,Alano di Piave</strong> <br />,Alano di Piave   Fener
,Altivole</strong> <br />,Altivole
Caselle,Altivole</strong> <br />,Altivole  Caselle
Edificio,Altivole</strong> <br />,Altivole  Edificio
San Vito,Altivole</strong> <br />,Altivole  San Vito
,Arcade</strong> <br />,Arcade
Fonfa,Arcade</strong> <br />,Arcade  Fonfa
,Asolo</strong> <br />,Asolo
Casella,Asolo</strong> <br />,Asolo  Casella
Pagnano,Asolo</strong> <br />,Asolo  Pagnano
Villa d\'Asolo,Asolo</strong> <br />,Asolo  Villa d\'Asolo
Villaraspa,Asolo</strong> <br />,Asolo  Villaraspa
Borso,Borso del Grappa</strong> <br />,Borso del Grappa  Borso
Cassanego,Borso del Grappa</strong> <br />,Borso del Grappa  Cassanego
Sant\'Eulalia,Borso del Grappa</strong> <br />,Borso del Grappa  Sant\'Eulalia
Semonzo,Borso del Grappa</strong> <br />,Borso del Grappa  Semonzo
Breda Centro,Breda di Piave</strong> <br />,Breda di Piave  Breda Centro
Pero,Breda di Piave</strong> <br />,Breda di Piave  Pero
Saletto e San Bartolomeo,Breda di Piave</strong> <br />,Breda di Piave  Saletto e San Bartolomeo
Vacil,Breda di Piave</strong> <br />,Breda di Piave  Vacil
Caerano,Caerano di San Marco</strong> <br />,Caerano di San Marco  Caerano
Fornea,Caerano di San Marco</strong> <br />,Caerano di San Marco  Fornea
Zona industriale,Caerano di San Marco</strong> <br />,Caerano di San Marco   industriale
,Carbonera</strong> <br />,Carbonera
,Castelcucco</strong> <br />,Castelcucco
Castelfranco,Castelfranco Veneto</strong> <br />,Castelfranco Veneto  Castelfranco
Salvarosa,Castelfranco Veneto</strong> <br />,Castelfranco Veneto  Salvarosa
Salvatronda,Castelfranco Veneto</strong> <br />,Castelfranco Veneto  Salvatronda
San Floriano,Castelfranco Veneto</strong> <br />,Castelfranco Veneto  San Floriano
Treville,Castelfranco Veneto</strong> <br />,Castelfranco Veneto  Treville
,Castello di Godego</strong> <br />,Castello di Godego
Castelcies,Cavaso del Tomba</strong> <br />,Cavaso del Tomba  Castelcies
,Cavaso del Tomba</strong> <br />,Cavaso del Tomba
Pieve,Cavaso del Tomba</strong> <br />,Cavaso del Tomba  Pieve
Cison,Cison di Valmarino</strong> <br />,Cison di Valmarino  Cison
Tovena,Cison di Valmarino</strong> <br />,Cison di Valmarino  Tovena
Zuè di Qua,Cison di Valmarino</strong> <br />,Cison di Valmarino  Zuè di Qua
,Cornuda</strong> <br />,Cornuda
Fornaci Fagarè,Cornuda</strong> <br />,Cornuda  Fornaci Fagarè
Villaraspa,Cornuda</strong> <br />,Cornuda  Villaraspa
Baratti,Crespano del Grappa</strong> <br />,Crespano del Grappa  Baratti
,Crespano del Grappa</strong> <br />,Crespano del Grappa
Madonna del Covolo,Crespano del Grappa</strong> <br />,Crespano del Grappa  Madonna del Covolo
Santa Lucia,Crespano del Grappa</strong> <br />,Crespano del Grappa  Santa Lucia
Ciano,Crocetta del Montello</strong> <br />,Crocetta del Montello  Ciano
Nogarè,Crocetta del Montello</strong> <br />,Crocetta del Montello  Nogarè
Crocetta del Montello,Crocetta del Montello </strong> <br />,Crocetta del Montello   Crocetta del Montello
Borgo Grotta,Farra di Soligo</strong> <br />,Farra di Soligo  Borgo Grotta
Col San Martino,Farra di Soligo</strong> <br />,Farra di Soligo  Col San Martino
,Farra di Soligo</strong> <br />,Farra di Soligo
Soligo,Farra di Soligo</strong> <br />,Farra di Soligo  Soligo
