alias_address,alias_city,geocode,geometry,georeferencingString
CORSO DEGLI ALPINI,AGORDO,"Corso degli Alpini, Crostolin, Colvignàs, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0350418, 46.2821909]}",AGORDO CORSO DEGLI ALPINI
CORSO PATRIOTI,AGORDO,"Corso Patrioti, Crostolin, Colvignàs, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0344056, 46.2815144]}",AGORDO CORSO PATRIOTI
FRAZIONE BRUGNACH,AGORDO,"Agordo, SP347, Corone, Voltago Agordino, Belluno, Veneto, 32027, Italia","{'type': 'Point', 'coordinates': [12.02132, 46.28424]}",AGORDO  BRUGNACH
FRAZIONE COLVIGNAS,AGORDO,"Colvignàs, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0381432, 46.2899373]}",AGORDO  COLVIGNAS
FRAZIONE CROSTOLIN,AGORDO,"Crostolin, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0516042, 46.2757537]}",AGORDO  CROSTOLIN
FRAZIONE FARENZENA,AGORDO,"Farenzena, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0318236, 46.2922762]}",AGORDO  FARENZENA
FRAZIONE GIOVE,AGORDO,"Giove, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0272715, 46.2734231]}",AGORDO  GIOVE
FRAZIONE PIASENT,AGORDO,"Piasent, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0516334, 46.2893974]}",AGORDO  PIASENT
FRAZIONE RIF,AGORDO,"Rif, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0464562, 46.2850166]}",AGORDO  RIF
FRAZIONE TOCCOL,AGORDO,"Toccol, Agordo, Belluno, Veneto, 32027, Italia","{'type': 'Point', 'coordinates': [12.0270695, 46.2905861]}",AGORDO  TOCCOL
FRAZIONE VALCOZZENA,AGORDO,"Valcozzena, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0232645, 46.2802901]}",AGORDO  VALCOZZENA
FRAZIONE VERAN,AGORDO,"Veran, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0457977, 46.2794341]}",AGORDO  VERAN
LOCALITA' CAMPREGANA,AGORDO,"Rio Campregana, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0348236, 46.2913859]}",AGORDO  CAMPREGANA
LOCALITA' FAION,AGORDO,"Località Faion, Crostolin, Veran, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0423005, 46.2773484]}",AGORDO  FAION
LOCALITA' GRAVE,AGORDO,"Località Grave, Crostolin, Veran, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0445588, 46.281031]}",AGORDO  GRAVE
LOCALITA' MOLIN DEI COT,AGORDO,"Località Molin dei Col, Crostolin, Veran, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0446821, 46.2818623]}",AGORDO  MOLIN DEI COT
LOCALITA' MOZZACH,AGORDO,"Via Mozzach, Crostolin, Veran, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0399516, 46.2785853]}",AGORDO  MOZZACH
LOCALITA' PAS,AGORDO,"Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.034981, 46.2821471]}",AGORDO  PAS
LOCALITA' POLANE,AGORDO,"Polane, Variante di Agordo, Crostolin, Giove, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.033855310733244, 46.272579300000004]}",AGORDO  POLANE
LOCALITA' VAL DI FRELA,AGORDO,"Val di Frela, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0351135, 46.2942062]}",AGORDO  VAL DI FRELA
LOCALITA' VALCOZZENA,AGORDO,"Valcozzena, Agordo, Belluno, Veneto, 32021, Italia","{'type': 'Point', 'coordinates': [12.0232645, 46.2802901]}",AGORDO  VALCOZZENA
CORSO ITALIA,ALLEGHE,"Corso Italia, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0205269, 46.4064987]}",ALLEGHE CORSO ITALIA
CORSO VENETO,ALLEGHE,"Corso Veneto, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [11.9940309, 46.4383229]}",ALLEGHE CORSO VENETO
CORSO VENEZIA,ALLEGHE,"Corso Venezia, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0179369, 46.4026005]}",ALLEGHE CORSO VENEZIA
VIA BELVEDERE,ALLEGHE,"Ristoro Belvedere, Via Monte Civetta, Coi, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.045760817310295, 46.42314655]}",ALLEGHE VIA BELVEDERE
VIA COI,ALLEGHE,"Coi, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.036883, 46.4127434]}",ALLEGHE VIA COI
VIA COLDAI,ALLEGHE,"Via Coldai, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0216239, 46.4062237]}",ALLEGHE VIA COLDAI
VIA COLDEMIES,ALLEGHE,"Coldemies, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0255834, 46.4105156]}",ALLEGHE VIA COLDEMIES
VIA CORDELLA,ALLEGHE,"Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0201018, 46.4095332]}",ALLEGHE VIA CORDELLA
VIA DEGLI ALPINI,ALLEGHE,"Via degli Alpini, Coldemies, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0282925, 46.4069144]}",ALLEGHE VIA DEGLI ALPINI
VIA DEI PINI,ALLEGHE,"Via dei Pini, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0149719, 46.3979231]}",ALLEGHE VIA DEI PINI
VIA EUROPA,ALLEGHE,"Via Europa, Cordella, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0191704, 46.4065106]}",ALLEGHE VIA EUROPA
VIA FERNAZZA,ALLEGHE,"Fernazza, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0359916, 46.4155914]}",ALLEGHE VIA FERNAZZA
VIA MONTE CIVETTA,ALLEGHE,"Via Monte Civetta, Coi, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.029277, 46.4109001]}",ALLEGHE VIA MONTE CIVETTA
VIA MONTE FERTAZZA,ALLEGHE,"Fertazza, Via Monte Civetta, Coi, Alleghe, Belluno, Veneto, 32022, Italia","{'type': 'Point', 'coordinates': [12.0455845, 46.4236344]}",ALLEGHE VIA MONTE FERTAZZA
CORSO ALPINO,ALPAGO,"Corso Alpino, Farra d'Alpago, Alpago, Belluno, Veneto, 32016, Italia","{'type': 'Point', 'coordinates': [12.361772, 46.1177631]}",ALPAGO CORSO ALPINO
FRAZIONE BASTIA,ALPAGO,"Bastia, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.3357893, 46.1332022]}",ALPAGO  BASTIA
FRAZIONE S.CROCE,ALPAGO,"Lago di Santa Croce, Via Filippo Turati, Puos d'Alpago, Alpago, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.340668809557474, 46.1101272]}",ALPAGO  S.CROCE
FRAZIONE SPERT,ALPAGO,"Spert, Alpago, Belluno, Veneto, 32016, Italia","{'type': 'Point', 'coordinates': [12.4016862, 46.1137645]}",ALPAGO  SPERT
FRAZIONE TORCH,ALPAGO,"Torch, Alpago, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.3646902, 46.1524823]}",ALPAGO  TORCH
FRAZIONE TORRES,ALPAGO,"Torres, Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.3611072, 46.1673086]}",ALPAGO  TORRES
FRAZIONE VALZELLA,ALPAGO,"Valzella, Alpago, Belluno, Veneto, 32015, Italia","{'type': 'Point', 'coordinates': [12.3566859, 46.147709]}",ALPAGO  VALZELLA
LOCALITA' CAMPON,ALPAGO,"Località Campon, Pieve d'Alpago, Alpago, Belluno, Veneto, 32010, Italia","{'type': 'Point', 'coordinates': [12.3567547, 46.176688]}",ALPAGO  CAMPON
LOCALITA' FONTANA,ALPAGO,"Fontana di Poiatte, Via Poiatte, Farra d'Alpago, Alpago, Belluno, Veneto, 32016, Italia","{'type': 'Point', 'coordinates': [12.3550298, 46.1065076]}",ALPAGO  FONTANA
LOCALITA' MONTAGNA,ALPAGO,"Via Montagna, Farra d'Alpago, Tambre, Belluno, Veneto, Italia","{'type': 'Point', 'coordinates': [12.4158605, 46.1144053]}",ALPAGO  MONTAGNA
