alias_address,alias_city,georeferencingString
CORSO DEGLI ALPINI,AGORDO,AGORDO CORSO DEGLI ALPINI
CORSO PATRIOTI,AGORDO,AGORDO CORSO PATRIOTI
FRAZIONE BRUGNACH,AGORDO,AGORDO FRAZIONE BRUGNACH
FRAZIONE COLVIGNAS,AGORDO,AGORDO FRAZIONE COLVIGNAS
FRAZIONE CROSTOLIN,AGORDO,AGORDO FRAZIONE CROSTOLIN
FRAZIONE FARENZENA,AGORDO,AGORDO FRAZIONE FARENZENA
FRAZIONE GIOVE,AGORDO,AGORDO FRAZIONE GIOVE
FRAZIONE PARECH,AGORDO,AGORDO FRAZIONE PARECH
FRAZIONE PIASENT,AGORDO,AGORDO FRAZIONE PIASENT
FRAZIONE RIF,AGORDO,AGORDO FRAZIONE RIF
FRAZIONE TOCCOL,AGORDO,AGORDO FRAZIONE TOCCOL
FRAZIONE VALCOZZENA,AGORDO,AGORDO FRAZIONE VALCOZZENA
FRAZIONE VERAN,AGORDO,AGORDO FRAZIONE VERAN
LOCALITA' CAMPON,AGORDO,AGORDO LOCALITA' CAMPON
LOCALITA' CAMPREGANA,AGORDO,AGORDO LOCALITA' CAMPREGANA
LOCALITA' CERAMASSE,AGORDO,AGORDO LOCALITA' CERAMASSE
LOCALITA' FAION,AGORDO,AGORDO LOCALITA' FAION
LOCALITA' FOCHE,AGORDO,AGORDO LOCALITA' FOCHE
LOCALITA' GRAVE,AGORDO,AGORDO LOCALITA' GRAVE
LOCALITA' MISSIAGA,AGORDO,AGORDO LOCALITA' MISSIAGA
LOCALITA' MOGN,AGORDO,AGORDO LOCALITA' MOGN
LOCALITA' MOLIN DEI COT,AGORDO,AGORDO LOCALITA' MOLIN DEI COT
LOCALITA' MOZZACH,AGORDO,AGORDO LOCALITA' MOZZACH
LOCALITA' NAGOL,AGORDO,AGORDO LOCALITA' NAGOL
LOCALITA' PAS,AGORDO,AGORDO LOCALITA' PAS
LOCALITA' PIANIZZE,AGORDO,AGORDO LOCALITA' PIANIZZE
LOCALITA' POLANE,AGORDO,AGORDO LOCALITA' POLANE
LOCALITA' PONTE ALTO,AGORDO,AGORDO LOCALITA' PONTE ALTO
LOCALITA' VAL DI FRELA,AGORDO,AGORDO LOCALITA' VAL DI FRELA
LOCALITA' VALCOZZENA,AGORDO,AGORDO LOCALITA' VALCOZZENA
CORSO ITALIA,ALLEGHE,ALLEGHE CORSO ITALIA
CORSO TRIESTE,ALLEGHE,ALLEGHE CORSO TRIESTE
CORSO VENETO,ALLEGHE,ALLEGHE CORSO VENETO
CORSO VENEZIA,ALLEGHE,ALLEGHE CORSO VENEZIA
PIAZZA J.F. KENNEDY,ALLEGHE,ALLEGHE PIAZZA J.F. KENNEDY
PIAZZA OTTAVIO DOGLIANI,ALLEGHE,ALLEGHE PIAZZA OTTAVIO DOGLIANI
PIAZZA VECCHIA,ALLEGHE,ALLEGHE PIAZZA VECCHIA
VIA A. DE GASPERI,ALLEGHE,ALLEGHE VIA A. DE GASPERI
VIA ANTONIO STOPPANI,ALLEGHE,ALLEGHE VIA ANTONIO STOPPANI
VIA BELVEDERE,ALLEGHE,ALLEGHE VIA BELVEDERE
VIA CASARIL,ALLEGHE,ALLEGHE VIA CASARIL
VIA COI,ALLEGHE,ALLEGHE VIA COI
VIA COL DI LANA,ALLEGHE,ALLEGHE VIA COL DI LANA
VIA COLDAI,ALLEGHE,ALLEGHE VIA COLDAI
VIA COLDEFONTANA,ALLEGHE,ALLEGHE VIA COLDEFONTANA
VIA COLDEMIES,ALLEGHE,ALLEGHE VIA COLDEMIES
VIA CORDELLA,ALLEGHE,ALLEGHE VIA CORDELLA
VIA DEGLI ALPINI,ALLEGHE,ALLEGHE VIA DEGLI ALPINI
VIA DEI PINI,ALLEGHE,ALLEGHE VIA DEI PINI
VIA DELLA PACE,ALLEGHE,ALLEGHE VIA DELLA PACE
VIA DELLE SCUOLE,ALLEGHE,ALLEGHE VIA DELLE SCUOLE
VIA EUROPA,ALLEGHE,ALLEGHE VIA EUROPA
VIA FERNAZZA,ALLEGHE,ALLEGHE VIA FERNAZZA
VIA G. CARDUCCI,ALLEGHE,ALLEGHE VIA G. CARDUCCI
VIA G. PASCOLI,ALLEGHE,ALLEGHE VIA G. PASCOLI
VIA LAGUSELLO,ALLEGHE,ALLEGHE VIA LAGUSELLO
VIA LUNGOLAGO,ALLEGHE,ALLEGHE VIA LUNGOLAGO
VIA MARMOLADA,ALLEGHE,ALLEGHE VIA MARMOLADA
VIA MONTE CIVETTA,ALLEGHE,ALLEGHE VIA MONTE CIVETTA
VIA MONTE FERTAZZA,ALLEGHE,ALLEGHE VIA MONTE FERTAZZA
BORGO S. NICOLO' - GARNA,ALPAGO,ALPAGO BORGO S. NICOLO' - GARNA
CORSO ALPINO,ALPAGO,ALPAGO CORSO ALPINO
FRAZIONE BASTIA,ALPAGO,ALPAGO FRAZIONE BASTIA
FRAZIONE S.CROCE,ALPAGO,ALPAGO FRAZIONE S.CROCE
FRAZIONE S.CROCE - LASTRA,ALPAGO,ALPAGO FRAZIONE S.CROCE - LASTRA
FRAZIONE SPERT,ALPAGO,ALPAGO FRAZIONE SPERT
FRAZIONE TORCH,ALPAGO,ALPAGO FRAZIONE TORCH
FRAZIONE TORRES,ALPAGO,ALPAGO FRAZIONE TORRES
FRAZIONE VALZELLA,ALPAGO,ALPAGO FRAZIONE VALZELLA
LOCALITA' BASSAN,ALPAGO,ALPAGO LOCALITA' BASSAN
LOCALITA' BERNARDET,ALPAGO,ALPAGO LOCALITA' BERNARDET
LOCALITA' BORGA,ALPAGO,ALPAGO LOCALITA' BORGA
LOCALITA' BUTAZ,ALPAGO,ALPAGO LOCALITA' BUTAZ
LOCALITA' CAMPON,ALPAGO,ALPAGO LOCALITA' CAMPON
LOCALITA' CAROTA - PLOIS,ALPAGO,ALPAGO LOCALITA' CAROTA - PLOIS
LOCALITA' COL DE VI,ALPAGO,ALPAGO LOCALITA' COL DE VI
LOCALITA' CORDELE,ALPAGO,ALPAGO LOCALITA' CORDELE
LOCALITA' COSSOTAI,ALPAGO,ALPAGO LOCALITA' COSSOTAI
LOCALITA' COSTELLA,ALPAGO,ALPAGO LOCALITA' COSTELLA
LOCALITA' FALISETTA,ALPAGO,ALPAGO LOCALITA' FALISETTA
LOCALITA' FONTANA,ALPAGO,ALPAGO LOCALITA' FONTANA
LOCALITA' FOSSA,ALPAGO,ALPAGO LOCALITA' FOSSA
