alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,SAN NAZARIO - COMUNE DI VALBRENTA,"San Nazario, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.690567, 45.8400339]}","SAN NAZARIO VALBRENTA, Veneto, Italia",POINT
Comune,VALSTAGNA - COMUNE DI VALBRENTA,"Valstagna, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6583473, 45.8599717]}","VALSTAGNA VALBRENTA, Veneto, Italia",POINT
Comune,CAMPOLONGO - COMUNE DI VALBRENTA,"Campolongo sul Brenta, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7002226, 45.828396]}","CAMPOLONGO DI VALBRENTA, Veneto, Italia",POINT
Comune,CISMON - COMUNE DI VALBRENTA,"Cismon del Grappa, Vicenza, Veneto, 36052, Italia","{'type': 'Point', 'coordinates': [11.7295426, 45.9196911]}","CISMON VALBRENTA, Veneto, Italia",POINT
Comune,CONCO - COMUNE DI LUSIANA CONCO,"Conco, Vicenza, Veneto, 36046, Italia","{'type': 'Point', 'coordinates': [11.6059638, 45.7992456]}","CONCO LUSIANA CONCO, Veneto, Italia",POINT
Comune,LUSIANA - COMUNE DI LUSIANA CONCO,"Lusiana, Vicenza, Veneto, 36046, Italia","{'type': 'Point', 'coordinates': [11.576369, 45.7851934]}","LUSIANA LUSIANA CONCO, Veneto, Italia",POINT
Comune,MASON VICENTINO - COMUNE DI COLCERESA,"Mason Vicentino, Vicenza, Veneto, 36064, Italia","{'type': 'Point', 'coordinates': [11.606797, 45.718599]}","MASON VICENTINO COLCERESA, Veneto, Italia",POINT
Comune,MOLVENA - COMUNE DI COLCERESA,"Molvena, Vicenza, Veneto, 36064, Italia","{'type': 'Point', 'coordinates': [11.6141474, 45.7441762]}","MOLVENA COLCERESA, Veneto, Italia",POINT
Comune,ASIAGO,"Asiago, Vicenza, Veneto, 36012, Italia","{'type': 'Point', 'coordinates': [11.5106998, 45.8753771]}","ASIAGO, Veneto, Italia",POINT
Comune,BASSANO DEL GRAPPA,"Bassano del Grappa, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7343469, 45.7669109]}","BASSANO DEL GRAPPA, Veneto, Italia",POINT
Comune,BATTAGLIA TERME,"Battaglia Terme, Padova, Veneto, 35041, Italia","{'type': 'Point', 'coordinates': [11.7817426, 45.2880903]}","BATTAGLIA TERME, Veneto, Italia",POINT
Comune,BORGORICCO,"Borgoricco, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9658789, 45.5335614]}","BORGORICCO, Veneto, Italia",POINT
Comune,CADONEGHE,"Cadoneghe, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9201748, 45.4586481]}","CADONEGHE, Veneto, Italia",POINT
Comune,CAMPO SAN MARTINO,"Campo San Martino, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.810404, 45.544396]}","CAMPO SAN MARTINO, Veneto, Italia",POINT
Comune,CAMPODARSEGO,"Campodarsego, Padova, Veneto, 35011, Italia","{'type': 'Point', 'coordinates': [11.9074958, 45.502855]}","CAMPODARSEGO, Veneto, Italia",POINT
Comune,CAMPODORO,"Campodoro, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.752004, 45.490294]}","CAMPODORO, Veneto, Italia",POINT
Comune,CAMPOSAMPIERO,"Camposampiero, Padova, Veneto, 35012, Italia","{'type': 'Point', 'coordinates': [11.9319294, 45.57176]}","CAMPOSAMPIERO, Veneto, Italia",POINT
Comune,CARMIGNANO DI BRENTA,"Carmignano di Brenta, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6998606, 45.6287707]}","CARMIGNANO DI BRENTA, Veneto, Italia",POINT
Comune,CARTIGLIANO,"Cartigliano, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6940642, 45.7130543]}","CARTIGLIANO, Veneto, Italia",POINT
Comune,CASSOLA,"Cassola, Vicenza, Veneto, 36022, Italia","{'type': 'Point', 'coordinates': [11.7942558, 45.7324069]}","CASSOLA, Veneto, Italia",POINT
Comune,CERVARESE SANTA CROCE,"Cervarese Santa Croce, Padova, Veneto, 35135, Italia","{'type': 'Point', 'coordinates': [11.687904, 45.424392]}","CERVARESE SANTA CROCE, Veneto, Italia",POINT
Comune,CITTADELLA,"Cittadella, Padova, Veneto, 35013, Italia","{'type': 'Point', 'coordinates': [11.7835801, 45.6487941]}","CITTADELLA, Veneto, Italia",POINT
Comune,CURTAROLO,"Curtarolo, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.832017, 45.5222551]}","CURTAROLO, Veneto, Italia",POINT
Comune,ENEGO,"Enego, Vicenza, Veneto, 36052, Italia","{'type': 'Point', 'coordinates': [11.7096122, 45.9404927]}","ENEGO, Veneto, Italia",POINT
Comune,FONTANIVA,"Fontaniva, Padova, Veneto, 35014, Italia","{'type': 'Point', 'coordinates': [11.7521976, 45.6376293]}","FONTANIVA, Veneto, Italia",POINT
Comune,FOZA,"Foza, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6307256, 45.8962656]}","FOZA, Veneto, Italia",POINT
Comune,GALLIERA VENETA,"Galliera Veneta, Padova, Veneto, 35015, Italia","{'type': 'Point', 'coordinates': [11.8284875, 45.6628395]}","GALLIERA VENETA, Veneto, Italia",POINT
Comune,GALLIO,"Gallio, Vicenza, Veneto, 36032, Italia","{'type': 'Point', 'coordinates': [11.5471016, 45.8926258]}","GALLIO, Veneto, Italia",POINT
Comune,GALZIGNANO TERME,"Galzignano Terme, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7339679, 45.3068076]}","GALZIGNANO TERME, Veneto, Italia",POINT
Comune,GAZZO,"Gazzo, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7065481, 45.5810003]}","GAZZO, Veneto, Italia",POINT
Comune,GRANTORTO,"Grantorto, Padova, Veneto, 35010, Italia","{'type': 'Point', 'coordinates': [11.731602, 45.600897]}","GRANTORTO, Veneto, Italia",POINT
Comune,LIMENA,"Limena, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.8449327, 45.4743763]}","LIMENA, Veneto, Italia",POINT
Comune,LOREGGIA,"Loreggia, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9446117, 45.594524]}","LOREGGIA, Veneto, Italia",POINT
Comune,MAROSTICA,"Marostica, Vicenza, Veneto, 36063, Italia","{'type': 'Point', 'coordinates': [11.6568938, 45.7453924]}","MAROSTICA, Veneto, Italia",POINT
Comune,MASSANZAGO,"Massanzago, Padova, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0074344, 45.5555115]}","MASSANZAGO, Veneto, Italia",POINT
Comune,MESTRINO,"Mestrino, Padova, Veneto, 35035, Italia","{'type': 'Point', 'coordinates': [11.7582537, 45.4427579]}","MESTRINO, Veneto, Italia",POINT
Comune,MONTEGROTTO TERME,"Montegrotto Terme, Padova, Veneto, 35036, Italia","{'type': 'Point', 'coordinates': [11.791208, 45.331491]}","MONTEGROTTO TERME, Veneto, Italia",POINT
Comune,MUSSOLENTE,"Mussolente, Vicenza, Veneto, 36065, Italia","{'type': 'Point', 'coordinates': [11.8012715, 45.7789522]}","MUSSOLENTE, Veneto, Italia",POINT
Comune,NOVE,"Nove, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6800583, 45.7256753]}","NOVE, Veneto, Italia",POINT
Comune,NOVENTA PADOVANA,"Noventa Padovana, Padova, Veneto, 35027, Italia","{'type': 'Point', 'coordinates': [11.9510037, 45.4143019]}","NOVENTA PADOVANA, Veneto, Italia",POINT
Comune,PIANEZZE,"Pianezze, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6267466, 45.7399971]}","PIANEZZE, Veneto, Italia",POINT
Comune,PIAZZOLA SUL BRENTA,"Piazzola sul Brenta, Padova, Veneto, 35016, Italia","{'type': 'Point', 'coordinates': [11.784404, 45.541496]}","PIAZZOLA SUL BRENTA, Veneto, Italia",POINT
Comune,PIOMBINO DESE,"Piombino Dese, Padova, Veneto, 35017, Italia","{'type': 'Point', 'coordinates': [11.9994148, 45.6075204]}","PIOMBINO DESE, Veneto, Italia",POINT
Comune,POVE DEL GRAPPA,"Pove del Grappa, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7291016, 45.7991169]}","POVE DEL GRAPPA, Veneto, Italia",POINT
Comune,POZZOLEONE,"Pozzoleone, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6790903, 45.6489562]}","POZZOLEONE, Veneto, Italia",POINT
Comune,RESANA,"Resana, Treviso, Veneto, 31023, Italia","{'type': 'Point', 'coordinates': [11.9552929, 45.6340237]}","RESANA, Veneto, Italia",POINT
Comune,ROANA,"Roana, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.4626871, 45.875619]}","ROANA, Veneto, Italia",POINT
Comune,ROMANO D'EZZELINO,"Romano d'Ezzelino, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.7583907, 45.7962374]}","ROMANO D'EZZELINO, Veneto, Italia",POINT
Comune,ROSÀ,"Rosà, Vicenza, Veneto, 36027, Italia","{'type': 'Point', 'coordinates': [11.7626859, 45.7244163]}","ROSÀ, Veneto, Italia",POINT
