alias_city,alias_address,georeferencingString,type
ASIAGO,Comune,"ASIAGO, Veneto, Italia",POINT
BASSANO DEL GRAPPA,Comune,"BASSANO DEL GRAPPA, Veneto, Italia",POINT
BATTAGLIA TERME,Comune,"BATTAGLIA TERME, Veneto, Italia",POINT
BORGORICCO,Comune,"BORGORICCO, Veneto, Italia",POINT
CADONEGHE,Comune,"CADONEGHE, Veneto, Italia",POINT
CAMPO SAN MARTINO,Comune,"CAMPO SAN MARTINO, Veneto, Italia",POINT
CAMPODARSEGO,Comune,"CAMPODARSEGO, Veneto, Italia",POINT
CAMPODORO,Comune,"CAMPODORO, Veneto, Italia",POINT
CAMPOLONGO - COMUNE DI VALBRENTA,Comune,"CAMPOLONGO - COMUNE DI VALBRENTA, Veneto, Italia",POINT
CAMPOSAMPIERO,Comune,"CAMPOSAMPIERO, Veneto, Italia",POINT
CARMIGNANO DI BRENTA,Comune,"CARMIGNANO DI BRENTA, Veneto, Italia",POINT
CARTIGLIANO,Comune,"CARTIGLIANO, Veneto, Italia",POINT
CASSOLA,Comune,"CASSOLA, Veneto, Italia",POINT
CERVARESE SANTA CROCE,Comune,"CERVARESE SANTA CROCE, Veneto, Italia",POINT
CISMON - COMUNE DI VALBRENTA,Comune,"CISMON - COMUNE DI VALBRENTA, Veneto, Italia",POINT
CITTADELLA,Comune,"CITTADELLA, Veneto, Italia",POINT
CONCO - COMUNE DI LUSIANA CONCO,Comune,"CONCO - COMUNE DI LUSIANA CONCO, Veneto, Italia",POINT
CURTAROLO,Comune,"CURTAROLO, Veneto, Italia",POINT
ENEGO,Comune,"ENEGO, Veneto, Italia",POINT
FONTANIVA,Comune,"FONTANIVA, Veneto, Italia",POINT
FOZA,Comune,"FOZA, Veneto, Italia",POINT
GALLIERA VENETA,Comune,"GALLIERA VENETA, Veneto, Italia",POINT
GALLIO,Comune,"GALLIO, Veneto, Italia",POINT
GALZIGNANO TERME,Comune,"GALZIGNANO TERME, Veneto, Italia",POINT
GAZZO,Comune,"GAZZO, Veneto, Italia",POINT
GRANTORTO,Comune,"GRANTORTO, Veneto, Italia",POINT
LIMENA,Comune,"LIMENA, Veneto, Italia",POINT
LOREGGIA,Comune,"LOREGGIA, Veneto, Italia",POINT
LUSIANA - COMUNE DI LUSIANA CONCO,Comune,"LUSIANA - COMUNE DI LUSIANA CONCO, Veneto, Italia",POINT
MAROSTICA,Comune,"MAROSTICA, Veneto, Italia",POINT
MASON VICENTINO - COMUNE DI COLCERESA,Comune,"MASON VICENTINO - COMUNE DI COLCERESA, Veneto, Italia",POINT
MASSANZAGO,Comune,"MASSANZAGO, Veneto, Italia",POINT
MESTRINO,Comune,"MESTRINO, Veneto, Italia",POINT
MOLVENA - COMUNE DI COLCERESA,Comune,"MOLVENA - COMUNE DI COLCERESA, Veneto, Italia",POINT
MONTEGROTTO TERME,Comune,"MONTEGROTTO TERME, Veneto, Italia",POINT
MUSSOLENTE,Comune,"MUSSOLENTE, Veneto, Italia",POINT
NOVE,Comune,"NOVE, Veneto, Italia",POINT
NOVENTA PADOVANA,Comune,"NOVENTA PADOVANA, Veneto, Italia",POINT
PIANEZZE,Comune,"PIANEZZE, Veneto, Italia",POINT
PIAZZOLA SUL BRENTA,Comune,"PIAZZOLA SUL BRENTA, Veneto, Italia",POINT
PIOMBINO DESE,Comune,"PIOMBINO DESE, Veneto, Italia",POINT
POVE DEL GRAPPA,Comune,"POVE DEL GRAPPA, Veneto, Italia",POINT
POZZOLEONE,Comune,"POZZOLEONE, Veneto, Italia",POINT
RESANA,Comune,"RESANA, Veneto, Italia",POINT
ROANA,Comune,"ROANA, Veneto, Italia",POINT
ROMANO D'EZZELINO,Comune,"ROMANO D'EZZELINO, Veneto, Italia",POINT
ROSÀ,Comune,"ROSÀ, Veneto, Italia",POINT
ROSSANO VENETO,Comune,"ROSSANO VENETO, Veneto, Italia",POINT
ROTZO,Comune,"ROTZO, Veneto, Italia",POINT
ROVOLON,Comune,"ROVOLON, Veneto, Italia",POINT
RUBANO,Comune,"RUBANO, Veneto, Italia",POINT
SACCOLONGO,Comune,"SACCOLONGO, Veneto, Italia",POINT
SAN GIORGIO DELLE PERTICHE,Comune,"SAN GIORGIO DELLE PERTICHE, Veneto, Italia",POINT
SAN GIORGIO IN BOSCO,Comune,"SAN GIORGIO IN BOSCO, Veneto, Italia",POINT
SAN MARTINO DI LUPARI,Comune,"SAN MARTINO DI LUPARI, Veneto, Italia",POINT
SAN NAZARIO - COMUNE DI VALBRENTA,Comune,"SAN NAZARIO - COMUNE DI VALBRENTA, Veneto, Italia",POINT
SAN PIETRO IN GU,Comune,"SAN PIETRO IN GU, Veneto, Italia",POINT
SANTA GIUSTINA IN COLLE,Comune,"SANTA GIUSTINA IN COLLE, Veneto, Italia",POINT
SAONARA,Comune,"SAONARA, Veneto, Italia",POINT
SCHIAVON,Comune,"SCHIAVON, Veneto, Italia",POINT
SELVAZZANO DENTRO,Comune,"SELVAZZANO DENTRO, Veneto, Italia",POINT
SOLAGNA,Comune,"SOLAGNA, Veneto, Italia",POINT
TEOLO,Comune,"TEOLO, Veneto, Italia",POINT
TEZZE SUL BRENTA,Comune,"TEZZE SUL BRENTA, Veneto, Italia",POINT
TOMBOLO,Comune,"TOMBOLO, Veneto, Italia",POINT
TORREGLIA,Comune,"TORREGLIA, Veneto, Italia",POINT
TREBASELEGHE,Comune,"TREBASELEGHE, Veneto, Italia",POINT
VALSTAGNA - COMUNE DI VALBRENTA,Comune,"VALSTAGNA - COMUNE DI VALBRENTA, Veneto, Italia",POINT
VEGGIANO,Comune,"VEGGIANO, Veneto, Italia",POINT
VIGODARZERE,Comune,"VIGODARZERE, Veneto, Italia",POINT
VIGONZA,Comune,"VIGONZA, Veneto, Italia",POINT
VILLA DEL CONTE,Comune,"VILLA DEL CONTE, Veneto, Italia",POINT
VILLAFRANCA PADOVANA,Comune,"VILLAFRANCA PADOVANA, Veneto, Italia",POINT
VILLANOVA DI CAMPOSAMPIERO,Comune,"VILLANOVA DI CAMPOSAMPIERO, Veneto, Italia",POINT
