alias_address,alias_city,geocode,geometry,georeferencingString
Comune,Affi,"Affi, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.7764241, 45.5540914]}","Affi, Verona, Veneto, Italia"
Comune,Bardolino,"Bardolino, Verona, Veneto, 37011, Italia","{'type': 'Point', 'coordinates': [10.7242145, 45.5475595]}","Bardolino, Verona, Veneto, Italia"
Comune,Brentino Belluno,"Brentino Belluno, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.8814186, 45.6679407]}","Brentino Belluno, Verona, Veneto, Italia"
Comune,Brenzone,"Brenzone, 30, Via Venti Settembre, Boccino, Brenzone sul Garda, Verona, Veneto, 37010, Italia",,"Brenzone, Verona, Veneto, Italia"
Comune,Caprino Veronese,"Caprino Veronese, Verona, Veneto, 37013, Italia","{'type': 'Point', 'coordinates': [10.7951325, 45.6059385]}","Caprino Veronese, Verona, Veneto, Italia"
Comune,Castelnuovo del Garda,"Castelnuovo del Garda, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.7604791, 45.4383996]}","Castelnuovo del Garda, Verona, Veneto, Italia"
Comune,Cavaion Veronese,"Cavaion Veronese, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.7701873, 45.5402927]}","Cavaion Veronese, Verona, Veneto, Italia"
Comune,Costermano,"Costermano sul Garda, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.7399739, 45.5856638]}","Costermano, Verona, Veneto, Italia"
Comune,Dolcè,"Dolcè, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.852482, 45.600689]}","Dolcè, Verona, Veneto, Italia"
Comune,Ferrara di Monte Baldo,"Ferrara di Monte Baldo, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.8543397, 45.6769155]}","Ferrara di Monte Baldo, Verona, Veneto, Italia"
Comune,Garda,"Garda, Verona, Veneto, 37016, Italia","{'type': 'Point', 'coordinates': [10.7085298, 45.5756512]}","Garda, Verona, Veneto, Italia"
Comune,Lazise,"Lazise, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.7330245, 45.5052005]}","Lazise, Verona, Veneto, Italia"
Comune,Malcesine,"Malcesine, Verona, Veneto, 37018, Italia","{'type': 'Point', 'coordinates': [10.8100598, 45.7643442]}","Malcesine, Verona, Veneto, Italia"
Comune,Pastrengo,"Pastrengo, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.7997129, 45.492457]}","Pastrengo, Verona, Veneto, Italia"
Comune,Peschiera del Garda,"Peschiera del Garda, Verona, Veneto, 37019, Italia","{'type': 'Point', 'coordinates': [10.6920171, 45.4389454]}","Peschiera del Garda, Verona, Veneto, Italia"
Comune,Rivoli Veronese,"Rivoli Veronese, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.8117614, 45.5719818]}","Rivoli Veronese, Verona, Veneto, Italia"
Comune,San Zeno di Montagna,"San Zeno di Montagna, Verona, Veneto, 37010, Italia","{'type': 'Point', 'coordinates': [10.7254491, 45.6314451]}","San Zeno di Montagna, Verona, Veneto, Italia"
Comune,Sant'Ambrogio di Valpolicella,"Sant'Ambrogio di Valpolicella, Verona, Veneto, 37015, Italia","{'type': 'Point', 'coordinates': [10.8344426, 45.5221126]}","Sant'Ambrogio di Valpolicella, Verona, Veneto, Italia"
Comune,Torri del Benaco,"Torri del Benaco, Verona, Veneto, Italia","{'type': 'Point', 'coordinates': [10.6873869, 45.6094493]}","Torri del Benaco, Verona, Veneto, Italia"
Comune,Valeggio sul Mincio,"Valeggio sul Mincio, Verona, Veneto, 37067, Italia","{'type': 'Point', 'coordinates': [10.734546, 45.3537509]}","Valeggio sul Mincio, Verona, Veneto, Italia"
