alias_address,alias_city,urlReport
Comune,Affi,DataSource//analisi_acqua_Affi.pdf.pdf
Comune,Bardolino,DataSource//analisi_acqua_Bardolino.pdf.pdf
Comune,Brentino Belluno,DataSource//analisi_acqua_Brentino_Belluno.pdf.pdf
Comune,Brenzone,DataSource//analisi_acqua_Brenzone.pdf.pdf
Comune,Caprino Veronese,DataSource//analisi_acqua_Caprino_Veronese.pdf.pdf
Comune,Castelnuovo del Garda,DataSource//analisi_acqua_Castelnuovo_del_Garda.pdf.pdf
Comune,Cavaion Veronese,DataSource//analisi_acqua_Cavaion_Veronese.pdf.pdf
Comune,Costermano,DataSource//analisi_acqua_Costermano.pdf.pdf
Comune,Dolcè,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Dolc%E8%2Epdf&SaveName=analisi_acqua_Dolcè.pdf
Comune,Ferrara di Monte Baldo,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Ferrara+di+Monte+Baldo%2Epdf&SaveName=analisi_acqua_Ferrara_di_Monte_Baldo.pdf
Comune,Garda,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Garda%2Epdf&SaveName=analisi_acqua_Garda.pdf
Comune,Lazise,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Lazise%2Epdf&SaveName=analisi_acqua_Lazise.pdf
Comune,Malcesine,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Malcesine%2Epdf&SaveName=analisi_acqua_Malcesine.pdf
Comune,Pastrengo,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Pastrengo%2Epdf&SaveName=analisi_acqua_Pastrengo.pdf
Comune,Peschiera del Garda,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Peschiera+del+Garda%2Epdf&SaveName=analisi_acqua_Peschiera_del_Garda.pdf
Comune,Rivoli Veronese,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Rivoli%2Epdf&SaveName=analisi_acqua_Rivoli_Veronese.pdf
Comune,San Zeno di Montagna,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+San+Zeno+di+Montagna%2Epdf&SaveName=analisi_acqua_San_Zeno_di_Montagna.pdf
Comune,Sant'Ambrogio di Valpolicella,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+S%2E+Ambrogio+di+Valpolicella%2Epdf&SaveName=analisi_acqua_Sant'Ambrogio_di_Valpolicella.pdf
Comune,Torri del Benaco,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Torri+del+Benaco%2Epdf&SaveName=analisi_acqua_Torri_del_Benaco.pdf
Comune,Valeggio sul Mincio,http://www.ags.vr.it/scaricapdf.asp?filename=comuni%2F2+sem+19+%2D+Valeggio+sul+Mincio%2Epdf&SaveName=analisi_acqua_Valeggio_sul_Mincio.pdf
