alias_address,alias_city,url
BORGO AQUILEIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
BORGO CIVIDALE,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
BORGO PIAVE,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
BORGO UDINE,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA BARBARO,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
CONTRADA CAPPELLO,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA COLLALTO,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA CONTARIN,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
CONTRADA CONTARINI,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA DEL MONTE,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA DONATO,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA FOSCARINI,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA GARZONI,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA GIUSEPPE GARIBALDI,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA GRIMANI,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA SAVORGNAN,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA VENEZIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA VILLACHIARA,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
CONTRADA XX SETTEMBRE,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
C.P. 32 UFF. POST. PALMANOVA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA COLLALTO,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA GARIBALDI C/O CASA DI RIPOSO,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA GIUSEPPE GARIBALDI,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA GRANDE,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
PIAZZA ROMA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA UNIONE,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA VENEZIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZA XX SETTEMBRE,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZALE IV GENOVA CAVALLERIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PIAZZETTA DELLA VITTORIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
PORTA UDINE,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
STRADA MILITARE,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
STRADA PROVINCIALE DEL TAGLIO,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
VIA ALESSANDRO MANZONI,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
VIA ANTONIO BURI,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
VIA AQUILEIA,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
VIA ARTURO MALIGNANI,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
VIA BANDIERA MORO,PALMANOVA,https://www.cafcspa.com/solud/analisi/8101.pdf
VIA BASSA DI MERETO,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
VIA BASSA DI PRIVANO,PALMANOVA,https://www.cafcspa.com/solud/analisi/2401.pdf
