alias_address,alias_city,geocode,geometry,georeferencingString,type
Fiume Veneto - mini acquedotto Via della Piantalonga / Via Matteotti / Via Barbaro / Via Saba / Via Carducci / Via Mazzini,Fiume Veneto ,"Via della Piantalonga, Tavella, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, 33082, Italia","{'type': 'Point', 'coordinates': [12.7026919, 45.9124097]}",Fiume Veneto   Via della Piantalonga,POINT
Frisanco - Fontana Piazza XX settembre Pofabbro,Frisanco ,"Poffabro, Frisanco, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7075083, 46.216656]}",Frisanco Poffabro,POINT
Tramonti di Sopra - fontana Redona,Tramonti di Sopra ,"Tramonti di Sopra, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.788497, 46.3088622]}",Tramonti di Sopra,POINT
Tramonti di Sotto - Fontana Piazza Cantù,Tramonti di Sotto ,"Tramonti di Sotto, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7956464, 46.2849303]}",Tramonti di Sotto,POINT
Vivaro - Basaldella fontana,Vivaro ,"Basaldella, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33099, Italia","{'type': 'Point', 'coordinates': [12.7900318, 46.0878854]}",Vivaro  Basaldella,POINT
Fiume Veneto - mini acquedotto Via Chiesiole - dei Pinali loc. Cimpello,Fiume Veneto ,"Via Chiesiole, Cinque Strade, Azzano Decimo, UTI Sile e Meduna, Friuli Venezia Giulia, 33082, Italia","{'type': 'Point', 'coordinates': [12.6805701, 45.9145372]}",Fiume Veneto   Via Chiesiole,POINT
Cordenons - serbatoio S. Giovanni,Cordenons ,"San Giovanni, Cordenons, UTI del Noncello, Friuli Venezia Giulia, 33084, Italia","{'type': 'Point', 'coordinates': [12.7005222, 46.0068214]}",Cordenons  S. Giovanni,POINT
Fanna - Fontana Pian delle Merie,Fanna ,"Fanna, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7530826, 46.1871178]}",Fanna,POINT
Fossalta di Portogruaro - Piazza Bornancin,Fossalta di Portogruaro ,"Fossalta di Portogruaro, Venezia, Veneto, 30025, Italia","{'type': 'Point', 'coordinates': [12.9090234, 45.7917474]}",Fossalta di Portogruaro,POINT
Gruaro - Via M. Serao,Gruaro ,"Via Matilde Serao, Boldara, Gruaro, Venezia, Veneto, 33079, Italia","{'type': 'Point', 'coordinates': [12.8446037, 45.8321535]}",Gruaro  Via Serao,POINT
Meduna di Livenza - Via G. Verdi,Meduna di Livenza ,"Via Giuseppe Verdi, Brische, Meduna di Livenza, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.6124222, 45.8071899]}",Meduna di Livenza  Via Verdi,POINT
Meduno - Via Andreuzzi - Navarons,Meduno ,"Navarons, Meduno, UTI delle Valli e delle Dolomiti Friulane, Friuli Venezia Giulia, 33092, Italia","{'type': 'Point', 'coordinates': [12.7551677, 46.2239594]}",Meduno  Via  Navarons,POINT
Portogruaro - Via Canaletto / Viale Trieste,Portogruaro ,"Via Canaletto, Cà Longa, Portogruaro, Venezia, Veneto, 30026, Italia","{'type': 'Point', 'coordinates': [12.8694497, 45.778521]}",Portogruaro  Via Canaletto,POINT
San Martino al Tagliamento - Centrale principale,San Martino al Tagliamento ,"San Martino al Tagliamento, UTI del Tagliamento, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.863761, 46.0208288]}",San Martino al Tagliamento,POINT
"Fiume Veneto - mini acquedotto Vie Braida, Bosco, Dei Roveri, Verdi, Suor S. Gregoris",Fiume Veneto ,"Via Braida, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7391038, 45.931234]}",Fiume Veneto   Vie Braida,POINT
Fiume Veneto - mini acquedotto Via Chino Ermacora - Via Liut,Fiume Veneto ,"Viale Chino Ermacora, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7358197, 45.9250185]}",Fiume Veneto   Via Chino,POINT
Fiume Veneto - mini acquedotto Vie Praderoni - Delle Querce - Degli Olmi,Fiume Veneto ,"Via Praderoni, Fiume Piccolo, Palazzine di Sotto, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7440846, 45.9295653]}",Fiume Veneto   Vie Praderoni,POINT
Fiume Veneto - mini acquedotto Via Bartolomeo Aprilis - loc. Bannia,Fiume Veneto ,"Via Bartolomeo Aprilis, Maglio, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7599847, 45.919021]}",Fiume Veneto   Via Bartolomeo,POINT
Fiume Veneto - mini acquedotto Via Damiano Chiesa loc. Bannia,Fiume Veneto ,"Via Damiano Chiesa, Maglio, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7633841, 45.9220922]}",Fiume Veneto   Via Damiano Chiesa,POINT
Fiume Veneto - mini acquedotto Via Strada dei Conti loc. Bannia,Fiume Veneto ,"Via Strada dei Conti, Maglio, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7578444, 45.9205566]}",Fiume Veneto   Via Strada dei Conti,POINT
Fiume Veneto - mini acquedotto Via dei Tigli loc. Bannia,Fiume Veneto ,"Via dei Tigli, Maglio, Fiume Veneto, UTI Sile e Meduna, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.7597237, 45.9178515]}",Fiume Veneto   Via dei Tigli,POINT
Annone Veneto - Viale Venezia,Annone Veneto ,"Viale Venezia, Spadacenta, Annone Veneto, Venezia, Veneto, 33076, Italia","{'type': 'Point', 'coordinates': [12.6827859, 45.7932452]}",Annone Veneto  Viale Venezia,POINT
Azzano Decimo - Via Pradat,Azzano Decimo ,"Via Pradat, Borgo Facca, Azzano Decimo, UTI Sile e Meduna, Friuli Venezia Giulia, 33082, Italia","{'type': 'Point', 'coordinates': [12.7032551, 45.8756783]}",Azzano Decimo  Via Pradat,POINT
Brugnera - Via Talmasson,Brugnera ,"Via Talmasson, Brugnera, UTI Livenza - Cansiglio - Cavallo, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [12.5384841, 45.865117]}",Brugnera  Via Talmasson,POINT
Caorle - loc. Castello di Brussa Via Strada Brussa,Caorle ,"Strada Brussa, Castello di Brussa, Caorle, Venezia, Veneto, Italia","{'type': 'Point', 'coordinates': [12.9530088, 45.7073539]}",Caorle   Castello di Brussa Via Strada Brussa,POINT
Casarsa della Delizia - Via Vittorio Veneto,Casarsa della Delizia ,"Via Vittorio Veneto, Località Turridetta, Località Boscat, Casarsa della Delizia, UTI del Tagliamento, Friuli Venezia Giulia, 33072, Italia","{'type': 'Point', 'coordinates': [12.8364261, 45.9525786]}",Casarsa della Delizia  Via Vittorio Veneto,POINT
