alias_city,alias_address,type,georeferencingString
Annone Veneto ,Annone Veneto - Viale Venezia,POINT,Annone Veneto  Viale Venezia
Azzano Decimo ,Azzano Decimo - loc. Tiezzo Via Piave,POINT,Azzano Decimo   Tiezzo Via Piave
Azzano Decimo ,Azzano Decimo - loc. Fagnigola Via Geresina,POINT,Azzano Decimo   Fagnigola Via Geresina
Brugnera ,Brugnera - Via Trieste,POINT,Brugnera  Via Trieste
Caorle ,Caorle - loc. Castello di Brussa Via Strada Brussa,POINT,Caorle   Castello di Brussa Via Strada Brussa
Casarsa della Delizia ,Casarsa della Delizia - Via I° Maggio,POINT,Casarsa della Delizia  Via I° Maggio
Cavasso Nuovo ,Cavasso Nuovo - Via Vittorio Veneto,POINT,Cavasso Nuovo  Via Vittorio Veneto
Chions ,Chions - loc. Basedo Via Venezia,POINT,Chions   Basedo Via Venezia
Cinto Caomaggiore ,Cinto Caomaggiore - Via Piave,POINT,Cinto Caomaggiore  Via Piave
Cordovado ,Cordovado - Via Rivis,POINT,Cordovado  Via Rivis
Concordia Sagittaria ,Concordia Sagittaria - Via Claudia,POINT,Concordia Sagittaria  Via Claudia
Concordia Sagittaria ,Concordia Sagittaria - Via Giovane Italia,POINT,Concordia Sagittaria  Via Giovane Italia
Cordenons ,Cordenons - Via del Tramit,POINT,Cordenons  Via del Tramit
Cordenons ,Cordenons - serbatoio S. Giovanni,POINT,Cordenons  serbatoio S. Giovanni
Fanna ,Fanna - Fontana Pian delle Merie,POINT,Fanna  Fontana Pian delle Merie
Fontanafredda ,Fontanafredda - Via G. Carducci,POINT,Fontanafredda  Via G. Carducci
Fossalta di Portogruaro ,Fossalta di Portogruaro - Piazza Bornancin,POINT,Fossalta di Portogruaro  Piazza Bornancin
Frisanco ,Frisanco - Fontana Piazza XX settembre Pofabbro,POINT,Frisanco  Fontana Piazza XX settembre Pofabbro
Gruaro ,Gruaro - Via M. Serao,POINT,Gruaro  Via M. Serao
Maniago ,Maniago - Via Spilimbergo,POINT,Maniago  Via Spilimbergo
Meduna di Livenza ,Meduna di Livenza - Via G. Verdi,POINT,Meduna di Livenza  Via G. Verdi
Meduno ,Meduno - Piazza Miani,POINT,Meduno  Piazza Miani
Pasiano di Pordenone ,Pasiano di Pordenone - loc. Azzanello Via Celledoni,POINT,Pasiano di Pordenone   Azzanello Via Celledoni
Pasiano di Pordenone ,Pasiano di Pordenone - loc. S. Andrea Via Tavella,POINT,Pasiano di Pordenone   S. Andrea Via Tavella
Pasiano di Pordenone ,Pasiano di Pordenone - loc. Visinale Via Passo,POINT,Pasiano di Pordenone   Visinale Via Passo
Portogruaro ,Portogruaro - Via Canaletto,POINT,Portogruaro  Via Canaletto
Portogruaro ,Portogruaro - loc. Pradipozzo Via Fornace,POINT,Portogruaro   Pradipozzo Via Fornace
Portogruaro ,Portogruaro - Via M. Lovisa,POINT,Portogruaro  Via M. Lovisa
Portogruaro ,Portogruaro - Via Ronchi,POINT,Portogruaro  Via Ronchi
Portogruaro ,Portogruaro - loc. Summaga Via Masata,POINT,Portogruaro   Summaga Via Masata
Portogruaro ,Portogruaro - Viale Venezia,POINT,Portogruaro  Viale Venezia
Porcia ,Porcia - Via Cappellari,POINT,Porcia  Via Cappellari
Pramaggiore ,Pramaggiore - Via Callalta,POINT,Pramaggiore  Via Callalta
Prata di Pordenone ,Prata di Pordenone - Casali Villanova,POINT,Prata di Pordenone  Casali Villanova
Pravisdomini ,Pravisdomini - Via Roma,POINT,Pravisdomini  Via Roma
Pravisdomini ,Pravisdomini - loc. Frattina Strada della Meduna,POINT,Pravisdomini   Frattina Strada della Meduna
Sacile ,Sacile - Via Geromina,POINT,Sacile  Via Geromina
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Provesano Via Boschetto,POINT,San Giorgio della Richinvelda   Provesano Via Boschetto
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Rauscedo Via Poligono,POINT,San Giorgio della Richinvelda   Rauscedo Via Poligono
San Martino al Tagliamento ,San Martino al Tagliamento - Centrale principale,POINT,San Martino al Tagliamento  Centrale principale
San Michele al Tagliamento ,San Michele al Tagliamento - Corso del Popolo,POINT,San Michele al Tagliamento  Corso del Popolo
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via dei Lauri,POINT,San Michele al Tagliamento  Bibione  Via dei Lauri
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via Nettuno,POINT,San Michele al Tagliamento  Bibione  Via Nettuno
