alias_city,alias_address
Annone Veneto ,Annone Veneto - Viale Venezia
Azzano Decimo ,Azzano Decimo - loc. Tiezzo Via Piave
Azzano Decimo ,Azzano Decimo - loc. Fagnigola Via Geresina
Brugnera ,Brugnera - Via Trieste
Caorle ,Caorle - loc. Castello di Brussa Via Strada Brussa
Casarsa della Delizia ,Casarsa della Delizia - Via I° Maggio
Cavasso Nuovo ,Cavasso Nuovo - Via Vittorio Veneto
Chions ,Chions - loc. Basedo Via Venezia
Cinto Caomaggiore ,Cinto Caomaggiore - Via Piave
Cordovado ,Cordovado - Via Rivis
Concordia Sagittaria ,Concordia Sagittaria - Via Claudia
Concordia Sagittaria ,Concordia Sagittaria - Via Giovane Italia
Cordenons ,Cordenons - Via del Tramit
Cordenons ,Cordenons - serbatoio S. Giovanni
Fanna ,Fanna - Fontana Pian delle Merie
Fontanafredda ,Fontanafredda - Via G. Carducci
Fossalta di Portogruaro ,Fossalta di Portogruaro - Piazza Bornancin
Frisanco ,Frisanco - Fontana Piazza XX settembre Pofabbro
Gruaro ,Gruaro - Via M. Serao
Maniago ,Maniago - Via Spilimbergo
Meduna di Livenza ,Meduna di Livenza - Via G. Verdi
Meduno ,Meduno - Piazza Miani
Pasiano di Pordenone ,Pasiano di Pordenone - loc. Azzanello Via Celledoni
Pasiano di Pordenone ,Pasiano di Pordenone - loc. S. Andrea Via Tavella
Pasiano di Pordenone ,Pasiano di Pordenone - loc. Visinale Via Passo
Portogruaro ,Portogruaro - Via Canaletto
Portogruaro ,Portogruaro - loc. Pradipozzo Via Fornace
Portogruaro ,Portogruaro - Via M. Lovisa
Portogruaro ,Portogruaro - Via Ronchi
Portogruaro ,Portogruaro - loc. Summaga Via Masata
Portogruaro ,Portogruaro - Viale Venezia
Porcia ,Porcia - Via Cappellari
Pramaggiore ,Pramaggiore - Via Callalta
Prata di Pordenone ,Prata di Pordenone - Casali Villanova
Pravisdomini ,Pravisdomini - Via Roma
Pravisdomini ,Pravisdomini - loc. Frattina Strada della Meduna
Sacile ,Sacile - Via Geromina
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Provesano Via Boschetto
San Giorgio della Richinvelda ,San Giorgio della Richinvelda - loc. Rauscedo Via Poligono
San Martino al Tagliamento ,San Martino al Tagliamento - Centrale principale
San Michele al Tagliamento ,San Michele al Tagliamento - Corso del Popolo
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via dei Lauri
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via Nettuno
San Michele al Tagliamento loc. Bibione ,San Michele al Tagliamento loc. Bibione - Via Pirano
San Quirino ,San Quirino - Serbatoio Via S. Foca
San Quirino ,San Quirino - Via della Chiesa - Sedrano
San Stino di Livenza ,San Stino di Livenza - Via Riviera Corbolone
San Stino di Livenza ,San Stino di Livenza - Via G. Leopardi
San Vito al Tagliamento ,San Vito al Tagliamento - Via Ciliti
Sesto al Reghena ,Sesto al Reghena - Via delle Buse
Sesto al Reghena ,Sesto al Reghena - Via Marignana
Teglio Veneto ,Teglio Veneto - Via Parz
Tramonti di Sopra ,Tramonti di Sopra - c/o campeggio
Tramonti di Sotto ,Tramonti di Sotto - c/o Fontana Piazza Cantù
Vaiont ,Vaiont - Via Piancuert
Valvasone Arzene ,Valvasone Arzene - Valvasone Via Grava
Valvasone Arzene ,Valvasone Arzene - Arzene Via Casarsa
Vivaro ,Vivaro - Piazza Umberto I
Zoppola ,Zoppola - Via Ferrovia / Pac Rio
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Beato Odorico
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bevorchia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Borgo Venezia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bosco dell'Arneret
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Marco Polo
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Padre Marco d'Aviano
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Zol
Fiume Veneto ,"Fiume Veneto - mini acquedotto Vie Braida, Bosco, Dei Roveri, Verdi, Suor S. Gregoris"
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Chino Ermacora - Via Liut
Fiume Veneto ,Fiume Veneto - mini acquedotto Vie Praderoni - Delle Querce - Degli Olmi
Fiume Veneto ,Fiume Veneto - mini acquedotto Via delle Rive
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Bartolomeo Aprilis - loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Damiano Chiesa loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Strada dei Conti loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via dei Tigli loc. Bannia
Fiume Veneto ,Fiume Veneto - mini acquedotto Via Chiesiole - dei Pinali loc. Cimpello
Fiume Veneto ,Fiume Veneto - mini acquedotto Via della Piantalonga / Via Matteotti / Via Barbaro / Via Saba / Via Carducci / Via Mazzini
