Data,18/12/2018,ora,10.00
Prova,,U.d.M.,Valore
Sapore,*,-,Insapore
Rapporti ISTISAN 2007/31 pag 85 Met ISS BKA 028,,,
Carbonio Organico Totale (TOC),,mg/l,"<0,3"
UNI EN 1484 : 1999,,,
ANIONI,*,,
Metodo Interno PTPr55  rev.00 del 04/01/10,,,
Clorito,*,μg/l,< 5
Clorato,*,mg/l,"0,03"
Bromato,*,μg/l,< 3
ANIONI,*,,
Rapporti ISTISAN 2007/31 pag 115 Met ISS CBB 037,,,
Fluoruro,*,mg/l,"0,08"
Cloruro,*,mg/l,16
Nitrito (come NO2),*,mg/l,"< 0,01"
Bromuro,*,mg/l,"< 0,01"
Nitrato (come NO3),*,mg/l,18
Fosfato,*,mg/l,"< 0,1"
Solfato,*,mg/l,24
Conducibilità,,μs/cm a 20°C,554
APAT CNR IRSA 2030 Man 29 2003,,,
Torbidità,,NTU,"0,18"
APAT CNR IRSA 2110 Man 29 2003,,,
pH,,Unità di pH,"7,71"
APAT CNR IRSA 2060 Man 29 2003,,,
Durezza totale,*,°F,"26,5"
Metodo Interno PTPr54  rev.00 del 04/01/10,,,
Calcio,*,mg/l,"67,0"
Metodo Interno PTPr58  rev.00 del 04/01/10,,,
Magnesio,*,mg/l,"23,7"
Metodo Interno PTPr58  rev.00 del 04/01/10,,,
Sodio,,mg/l,11
UNI EN ISO 17294-2 2016,,,
Potassio,,mg/l,"0,50"
UNI EN ISO 17294-2 2016,,,
Ammonio,*,mg/l NH4,"< 0,05"
EPA-103-A,,,
Cianuri totali,*,μg/l,< 10
Metodo Interno PTPr56  rev.00 del 04/01/10,,,
Arsenico,,μg/l,< 1
UNI EN ISO 17294-2 2016,,,
Antimonio,,μg/l,"< 0,2"
UNI EN ISO 17294-2 2016,,,
Boro,,mg/l,"0,015"
UNI EN ISO 17294-2 2016,,,
Cadmio,,μg/l,"< 0,1"
UNI EN ISO 17294-2 2016,,,
Cromo,,μg/l,"1,8"
UNI EN ISO 17294-2 2016,,,
Ferro,,μg/l,12
UNI EN ISO 17294-2 2016,,,
Manganese,,μg/l,< 1
UNI EN ISO 17294-2 2016,,,
Alluminio,,μg/l,<1
UNI EN ISO 17294-2 2016,,,
Mercurio,,μg/l,"< 0,1"
UNI EN ISO 17294-2 2016,,,
Nichel,,μg/l,"5,4"
UNI EN ISO 17294-2 2016,,,
Piombo,,μg/l,< 1
UNI EN ISO 17294-2 2016,,,
Rame,,mg/l,"< 0,001"
UNI EN ISO 17294-2 2016,,,
Vanadio,,μg/l,"1,3"
UNI EN ISO 17294-2 2016,,,
Zinco,,μg/l,15
UNI EN ISO 17294-2 2016,,,
TRIALOMETANI,,,
EPA 5030C 2003 + EPA 8260D 2018,,,
Cloroformio,,μg/l,"<0,1"
Diclorobromometano,,μg/l,"<0,1"
Dibromoclorometano,,μg/l,"0,19"
Bromoformio,,μg/l,"0,33"
Sommatoria Trialometani,,μg/l,"0,52"
TRICLOROETILENE+TETRACLOROETILENE,,,
EPA 5030C 2003 + EPA 8260D 2018,,,
Tricloroetilene,,μg/l,"<0,1"
Tetracloroetilene,,μg/l,"1,60"
Tricloroetilene+Tetracloroetilene,,μg/l,"1,60"
ALTRI COMPOSTI ORGANICI VOLATILI,*,,
UNI EN ISO 15680 : 2005,,,
"1,1,1,2-tetracloroetano",*,μg/l,"< 0,1"
"1,1,2,2-tetracloroetano",*,μg/l,"< 0,05"
"1,1,2-tricloroetano",*,μg/l,"< 0,1"
"1,1,2-trifluorotricloroetano",*,μg/l,"< 0,1"
"1,1-dicloroetano",*,μg/l,"< 0,1"
"1,1-dicloropropene",*,μg/l,"< 0,1"
"1,2,3-tricloropropano",*,μg/l,"< 0,1"
"1,2,3-trimetilbenzene",*,μg/l,"< 0,1"
"1,2,4-trimetilbenzene",*,μg/l,"< 0,1"
"1,2-dibromo-3-cloropropano",*,μg/l,"< 0,1"
"1,2-dibromoetano",*,μg/l,"< 0,1"
"1,2-dicloropropano",*,μg/l,"< 0,1"
"1,3,5-trimetilbenzene",*,μg/l,"< 0,1"
"1,3-butadiene",*,μg/l,< 1
"1,3-dicloropropano",*,μg/l,"< 0,1"
"2,2-dicloropropano",*,μg/l,"< 0,1"
