alias_city,alias_address,acquedotto
Cappella Maggiore,Comune,zona nord
Codognè,Comune,zona nord
Colle Umberto,Comune,zona nord
Cordignano,Villa di Villa,zona nord
Cordignano,Via Piave,zona nord
Gaiarine,Comune,zona nord
Godega di Sant’Urbano,Comune,zona nord
Mareno di Piave,Comune,zona nord
Orsago,Comune,zona nord
Sarmede,Comune,zona nord
San Fior,Comune,zona nord
San Vendemiano,Comune,zona nord
Vazzola,Comune,zona nord
Chiarano,Comune,zona sud
Fontanelle,Comune,zona sud
Gorgo al Monticano,Comune,zona sud
Mansuè,Comune,zona sud
Motta di Livenza,Comune,zona sud
Oderzo,Comune,zona sud
Ormelle,Comune,zona sud
Portobuffolè,Comune,zona sud
Ponte di Piave,Comune,zona sud
Salgareda,Comune,zona sud
San Polo di Piave,Comune,zona sud
Casale sul Sile,Comune,zona destra Piave
Casier,Comune,zona destra Piave
Marcon,Comune,zona destra Piave
Meolo,Comune,zona destra Piave
Monastier di Treviso,Comune,zona destra Piave
Quarto d’Altino,Comune,zona destra Piave
Roncade,Comune,zona destra Piave
San Biagio di Callalta,Comune,zona destra Piave
Silea,Comune,zona destra Piave
Cimadolmo,Comune,Comune di Cimadolmo
Conegliano,Centro,Comune di Conegliano
Conegliano,Via Lourdes,Comune di Conegliano
Conegliano,Parè,Comune di Conegliano
Conegliano,Via Cettolini,Comune di Conegliano
Conegliano,Costa Alta,Comune di Conegliano
Conegliano,Monticella,Comune di Conegliano
Conegliano,Campolongo,Comune di Conegliano
Conegliano,Ogliano,Comune di Conegliano
Conegliano,Scomigo,Comune di Conegliano
Fregona,Borgo Luca,Comune di Fregona
Fregona,Sonego,Comune di Fregona
Fregona,Mezzavilla,Comune di Fregona
Fregona,Breda,Comune di Fregona
Fregona,Caglieron,Comune di Fregona
Fregona,Osigo,Comune di Fregona
Fregona,Crosetta,Comune di Fregona
Fregona,Valsalega,Comune di Fregona
San Pietro di Feletto,Comune,Comune di San Pietro di Feletto
San Pietro di Feletto,Crevada,Comune di San Pietro di Feletto
San Pietro di Feletto,San Michele di Feletto,Comune di San Pietro di Feletto
San Pietro di Feletto,Santa Maria di Feletto,Comune di San Pietro di Feletto
San Pietro di Feletto,Bagnolo,Comune di San Pietro di Feletto
Santa Lucia di Piave,Comune,Comune di Santa Lucia di Piave
Mareno di Piave,Santa Maria del Piave,frazione di Santa Maria del Piave
Susegana,Crevada,Comune di Susegana
Susegana,Comune,Comune di Susegana
Susegana,Ponte della Priula,Comune di Susegana
Susegana,Colfosco,Comune di Susegana
Susegana,Collalto,Comune di Susegana
Vittorio Veneto,via Dalmazia,Comune di Vittorio Veneto
Vittorio Veneto,San Giacomo di Veglia,Comune di Vittorio Veneto
Vittorio Veneto,Fadalto Basso,Comune di Vittorio Veneto
Vittorio Veneto,Nove,Comune di Vittorio Veneto
Vittorio Veneto,Maren,Comune di Vittorio Veneto
Vittorio Veneto,Forcal,Comune di Vittorio Veneto
Vittorio Veneto,Longhere,Comune di Vittorio Veneto
Vittorio Veneto,Bibanel,Comune di Vittorio Veneto
Cappella Maggiore,Borgo Masotto,Comune di Vittorio Veneto




