alias_city,alias_address,acquedotto,georeferencingString,type
Cappella Maggiore,Comune,zona nord,", Cappella Maggiore, TV, Veneto",POINT
Codognè,Comune,zona nord,", Codognè, TV, Veneto",POINT
Colle Umberto,Comune,zona nord,", Colle Umberto, TV, Veneto",POINT
Cordignano,Villa di Villa,zona nord,"Villa di Villa, Cordignano, TV, Veneto",POINT
Cordignano,Via Piave,zona nord,"Via Piave, Cordignano, TV, Veneto",POINT
Gaiarine,Comune,zona nord,", Gaiarine, TV, Veneto",POINT
Godega di Sant’Urbano,Comune,zona nord,", Godega di Sant’Urbano, TV, Veneto",POINT
Mareno di Piave,Comune,zona nord,", Mareno di Piave, TV, Veneto",POINT
Orsago,Comune,zona nord,", Orsago, TV, Veneto",POINT
Sarmede,Comune,zona nord,", Sarmede, TV, Veneto",POINT
San Fior,Comune,zona nord,", San Fior, TV, Veneto",POINT
San Vendemiano,Comune,zona nord,", San Vendemiano, TV, Veneto",POINT
Vazzola,Comune,zona nord,", Vazzola, TV, Veneto",POINT
Chiarano,Comune,zona sud,", Chiarano, TV, Veneto",POINT
Fontanelle,Comune,zona sud,", Fontanelle, TV, Veneto",POINT
Gorgo al Monticano,Comune,zona sud,", Gorgo al Monticano, TV, Veneto",POINT
Mansuè,Comune,zona sud,", Mansuè, TV, Veneto",POINT
Motta di Livenza,Comune,zona sud,", Motta di Livenza, TV, Veneto",POINT
Oderzo,Comune,zona sud,", Oderzo, TV, Veneto",POINT
Ormelle,Comune,zona sud,", Ormelle, TV, Veneto",POINT
Portobuffolè,Comune,zona sud,", Portobuffolè, TV, Veneto",POINT
Ponte di Piave,Comune,zona sud,", Ponte di Piave, TV, Veneto",POINT
Salgareda,Comune,zona sud,", Salgareda, TV, Veneto",POINT
San Polo di Piave,Comune,zona sud,", San Polo di Piave, TV, Veneto",POINT
Casale sul Sile,Comune,zona destra Piave,", Casale sul Sile, TV, Veneto",POINT
Casier,Comune,zona destra Piave,", Casier, TV, Veneto",POINT
Marcon,Comune,zona destra Piave,", Marcon, TV, Veneto",POINT
Meolo,Comune,zona destra Piave,", Meolo, TV, Veneto",POINT
Monastier di Treviso,Comune,zona destra Piave,", Monastier di Treviso, TV, Veneto",POINT
Quarto d’Altino,Comune,zona destra Piave,", Quarto d’Altino, TV, Veneto",POINT
Roncade,Comune,zona destra Piave,", Roncade, TV, Veneto",POINT
San Biagio di Callalta,Comune,zona destra Piave,", San Biagio di Callalta, TV, Veneto",POINT
Silea,Comune,zona destra Piave,", Silea, TV, Veneto",POINT
Cimadolmo,Comune,Comune di Cimadolmo,", Cimadolmo, TV, Veneto",POINT
Conegliano,Centro,Comune di Conegliano,"Centro, Conegliano, TV, Veneto",POINT
Conegliano,Via Lourdes,Comune di Conegliano,"Via Lourdes, Conegliano, TV, Veneto",POINT
Conegliano,Parè,Comune di Conegliano,"Parè, Conegliano, TV, Veneto",POINT
Conegliano,Via Cettolini,Comune di Conegliano,"Via Cettolini, Conegliano, TV, Veneto",POINT
Conegliano,Costa Alta,Comune di Conegliano,"Costa Alta, Conegliano, TV, Veneto",POINT
Conegliano,Monticella,Comune di Conegliano,"Monticella, Conegliano, TV, Veneto",POINT
Conegliano,Campolongo,Comune di Conegliano,"Campolongo, Conegliano, TV, Veneto",POINT
Conegliano,Ogliano,Comune di Conegliano,"Ogliano, Conegliano, TV, Veneto",POINT
Conegliano,Scomigo,Comune di Conegliano,"Scomigo, Conegliano, TV, Veneto",POINT
Fregona,Borgo Luca,Comune di Fregona,"Borgo Luca, Fregona, TV, Veneto",POINT
Fregona,Sonego,Comune di Fregona,"Sonego, Fregona, TV, Veneto",POINT
Fregona,Mezzavilla,Comune di Fregona,"Mezzavilla, Fregona, TV, Veneto",POINT
Fregona,Breda,Comune di Fregona,"Breda, Fregona, TV, Veneto",POINT
Fregona,Caglieron,Comune di Fregona,"Caglieron, Fregona, TV, Veneto",POINT
Fregona,Osigo,Comune di Fregona,"Osigo, Fregona, TV, Veneto",POINT
Fregona,Crosetta,Comune di Fregona,"Crosetta, Fregona, TV, Veneto",POINT
Fregona,Valsalega,Comune di Fregona,"Valsalega, Fregona, TV, Veneto",POINT
San Pietro di Feletto,Comune,Comune di San Pietro di Feletto,", San Pietro di Feletto, TV, Veneto",POINT
San Pietro di Feletto,Crevada,Comune di San Pietro di Feletto,"Crevada, San Pietro di Feletto, TV, Veneto",POINT
San Pietro di Feletto,San Michele di Feletto,Comune di San Pietro di Feletto,"San Michele di Feletto, San Pietro di Feletto, TV, Veneto",POINT
San Pietro di Feletto,Santa Maria di Feletto,Comune di San Pietro di Feletto,"Santa Maria di Feletto, San Pietro di Feletto, TV, Veneto",POINT
San Pietro di Feletto,Bagnolo,Comune di San Pietro di Feletto,"Bagnolo, San Pietro di Feletto, TV, Veneto",POINT
Santa Lucia di Piave,Comune,Comune di Santa Lucia di Piave,", Santa Lucia di Piave, TV, Veneto",POINT
Mareno di Piave,Santa Maria del Piave,frazione di Santa Maria del Piave,"Santa Maria del Piave, Mareno di Piave, TV, Veneto",POINT
Susegana,Crevada,Comune di Susegana,"Crevada, Susegana, TV, Veneto",POINT
Susegana,Comune,Comune di Susegana,", Susegana, TV, Veneto",POINT
Susegana,Ponte della Priula,Comune di Susegana,"Ponte della Priula, Susegana, TV, Veneto",POINT
Susegana,Colfosco,Comune di Susegana,"Colfosco, Susegana, TV, Veneto",POINT
