alias_city,alias_address,acquedotto,urlReport
Cappella Maggiore,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Codognè,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Colle Umberto,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Cordignano,Villa di Villa,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Cordignano,Via Piave,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Gaiarine,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Godega di Sant’Urbano,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Mareno di Piave,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Orsago,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Sarmede,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
San Fior,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
San Vendemiano,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Vazzola,Comune,zona nord,https://www.piaveservizi.eu/dam/jcr:c4f65cf3-9ac6-44c9-88a9-d593a510ecaf/zona%20nord.pdf
Chiarano,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Fontanelle,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Gorgo al Monticano,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Mansuè,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Motta di Livenza,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Oderzo,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Ormelle,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Portobuffolè,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Ponte di Piave,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Salgareda,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
San Polo di Piave,Comune,zona sud,https://www.piaveservizi.eu/dam/jcr:d7b59ebf-af8b-438b-9bfa-76b887cabeaf/zona%20sud.pdf
Casale sul Sile,Comune,zona destra Piave,https://www.piaveservizi.eu/dam/jcr:b0573379-796c-475e-bcbd-6e048e5ce5e3/zona%20destra%20Piave.pdf
Casier,Comune,zona destra Piave,https://www.piaveservizi.eu/dam/jcr:b0573379-796c-475e-bcbd-6e048e5ce5e3/zona%20destra%20Piave.pdf
Marcon,Comune,zona destra Piave,https://www.piaveservizi.eu/dam/jcr:b0573379-796c-475e-bcbd-6e048e5ce5e3/zona%20destra%20Piave.pdf
Meolo,Comune,zona destra Piave,https://www.piaveservizi.eu/dam/jcr:b0573379-796c-475e-bcbd-6e048e5ce5e3/zona%20destra%20Piave.pdf
