alias_city,alias_address,georeferencingString,type
Campagna Lupia,Territorio,"Campagna Lupia, Venezia, Veneto, Italia",POINT
Campolongo Maggiore,Territorio,"Campolongo Maggiore, Venezia, Veneto, Italia",POINT
Camponogara,Territorio,"Camponogara, Venezia, Veneto, Italia",POINT
Caorle,Territorio,"Caorle, Venezia, Veneto, Italia",POINT
Cavallino Treporti,Territorio,"Cavallino Treporti, Venezia, Veneto, Italia",POINT
Ceggia,Territorio,"Ceggia, Venezia, Veneto, Italia",POINT
Cessalto,Territorio,"Cessalto, Venezia, Veneto, Italia",POINT
Chioggia,Territorio,"Chioggia, Venezia, Veneto, Italia",POINT
Dolo,Territorio,"Dolo, Venezia, Veneto, Italia",POINT
Eraclea,Territorio,"Eraclea, Venezia, Veneto, Italia",POINT
Fiesso d'Artico,Territorio,"Fiesso d'Artico, Venezia, Veneto, Italia",POINT
Fossalta di Piave,Territorio,"Fossalta di Piave, Venezia, Veneto, Italia",POINT
Fossò,Territorio,"Fossò, Venezia, Veneto, Italia",POINT
Jesolo,Territorio,"Jesolo, Venezia, Veneto, Italia",POINT
Martellago,Territorio,"Martellago, Venezia, Veneto, Italia",POINT
Mira,Territorio,"Mira, Venezia, Veneto, Italia",POINT
Mirano,Territorio,"Mirano, Venezia, Veneto, Italia",POINT
Mogliano Veneto,Territorio,"Mogliano Veneto, Venezia, Veneto, Italia",POINT
Musile di Piave,Territorio,"Musile di Piave, Venezia, Veneto, Italia",POINT
Noale,Territorio,"Noale, Venezia, Veneto, Italia",POINT
Noventa di Piave,Territorio,"Noventa di Piave, Venezia, Veneto, Italia",POINT
Pianiga,Territorio,"Pianiga, Venezia, Veneto, Italia",POINT
Preganziol,Territorio,"Preganziol, Venezia, Veneto, Italia",POINT
Quinto di Treviso,Territorio,"Quinto di Treviso, Venezia, Veneto, Italia",POINT
Salzano,Territorio,"Salzano, Venezia, Veneto, Italia",POINT
San Donà di Piave,Territorio,"San Donà di Piave, Venezia, Veneto, Italia",POINT
Santa Maria di Sala,Territorio,"Santa Maria di Sala, Venezia, Veneto, Italia",POINT
Scorzè,Territorio,"Scorzè, Venezia, Veneto, Italia",POINT
Spinea,Territorio,"Spinea, Venezia, Veneto, Italia",POINT
Stra,Territorio,"Stra, Venezia, Veneto, Italia",POINT
Torre di Mosto,Territorio,"Torre di Mosto, Venezia, Veneto, Italia",POINT
Venezia centro storico e isole,Territorio,"Venezia centro storico e isole, Venezia, Veneto, Italia",POINT
Lido di Venezia e Pellestrina,Territorio,"Lido di Venezia e Pellestrina, Venezia, Veneto, Italia",POINT
Terraferma di Venezia,Territorio,"Terraferma di Venezia, Venezia, Veneto, Italia",POINT
Vigonovo,Territorio,"Vigonovo, Venezia, Veneto, Italia",POINT
Zenson di Piave,Territorio,"Zenson di Piave, Venezia, Veneto, Italia",POINT
