alias_address,alias_city,geocode,geometry,georeferencingString,type
PIAZZA UMBERTO I,Albettone,"Piazza Umberto I, Ramin, Albettone, Vicenza, Veneto, 36021, Italia","{'type': 'Point', 'coordinates': [11.5803583, 45.3578316]}","PIAZZA UMBERTO I, Albettone, Veneto, Italia",POINT
VIA ALCIDE DE GASPERI,Albettone,"Via Alcide de Gasperi, Albettone, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6085419, 45.3806817]}","VIA ALCIDE DE GASPERI, Albettone, Veneto, Italia",POINT
VIA ANTONIO PIGAFETTA,Albettone,"Via Antonio Pigafetta, Ponti Nuovi, Albettone, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6051429, 45.3454803]}","VIA ANTONIO PIGAFETTA, Albettone, Veneto, Italia",POINT
VIA BOLDRIN,Albettone,"Strada Boldrin, Ponti Nuovi, Albettone, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.6073673, 45.3532385]}","VIA BOLDRIN, Albettone, Veneto, Italia",POINT
PIAZZA DELLA LIBERTA',Altavilla Vicentina,"Piazza della Libertà, Altavilla Vicentina, Vicenza, Veneto, 36077, Italia","{'type': 'Point', 'coordinates': [11.4650614, 45.5124664]}","PIAZZA DELLA LIBERTA', Altavilla Vicentina, Veneto, Italia",POINT
PIAZZA MARIANO RUMOR,Arcugnano,"Piazza Mariano Rumor, Palù, Arcugnano, Vicenza, Veneto, Italia","{'type': 'Point', 'coordinates': [11.551170960578087, 45.4958929]}","PIAZZA MARIANO RUMOR, Arcugnano, Veneto, Italia",POINT
STRADA DEL TORMENO,Arcugnano,"Strada del Tormeno, Palù, Arcugnano, Vicenza, Veneto, 46057, Italia","{'type': 'Point', 'coordinates': [11.5531178, 45.4963681]}","STRADA DEL TORMENO, Arcugnano, Veneto, Italia",POINT
CONTRÀ DEI MUNARI,Barbarano Mossano,"collegamento fra contrà dei Munari e via giuseppe Garibaldi in Mossano, Mossano, Sammartin, Barbarano Mossano, Vicenza, Veneto, 36024, Italia","{'type': 'Point', 'coordinates': [11.5522433, 45.4191749]}","CONTRÀ DEI MUNARI, Barbarano Mossano, Veneto, Italia",POINT
PIAZZA ROMA,Bolzano Vicentino,"Piazza Roma, Camatte, Bolzano Vicentino, Vicenza, Veneto, 36050, Italia","{'type': 'Point', 'coordinates': [11.6227972, 45.6026787]}","PIAZZA ROMA, Bolzano Vicentino, Veneto, Italia",POINT
VIA ACQUE,Bolzano Vicentino,"Via Acque, Camatte, Bolzano Vicentino, Vicenza, Veneto, 36020, Italia","{'type': 'Point', 'coordinates': [11.6060272, 45.5801405]}","VIA ACQUE, Bolzano Vicentino, Veneto, Italia",POINT
BORGO PIO X,Breganze,"Borgo Pio X, Crosara di Breganze, Breganze, Vicenza, Veneto, 36042, Italia","{'type': 'Point', 'coordinates': [11.558517, 45.7062808]}","BORGO PIO X, Breganze, Veneto, Italia",POINT
PIAZZA DEGLI AUTIERI,Breganze,"Piazza degli Autieri, Crosara di Breganze, Breganze, Vicenza, Veneto, 36042, Italia","{'type': 'Point', 'coordinates': [11.5627493, 45.7074541]}","PIAZZA DEGLI AUTIERI, Breganze, Veneto, Italia",POINT
CONTRA' GIUDEA,Bressanvido,"Contrà Giudea, Croxaròn, Bressanvido, Vicenza, Veneto, 36066, Italia","{'type': 'Point', 'coordinates': [11.6324015, 45.6430664]}","CONTRA' GIUDEA, Bressanvido, Veneto, Italia",POINT
PIAZZA GUGLIELMO MARCONI,Bressanvido,"Piazza Guglielmo Marconi, Bressanvido, Vicenza, Veneto, 36050, Italia","{'type': 'Point', 'coordinates': [11.6251662, 45.6317735]}","PIAZZA GUGLIELMO MARCONI, Bressanvido, Veneto, Italia",POINT
STRADA LUPIA,Bressanvido,"Strada Lupia, Bressanvido, Vicenza, Veneto, 36066, Italia","{'type': 'Point', 'coordinates': [11.6285398, 45.6440647]}","STRADA LUPIA, Bressanvido, Veneto, Italia",POINT
PIAZZA ROMA,Brogliano,"Piazza Roma, Carlassara I, Brogliano, Comunità Montana Agno-Chiampo, Vicenza, Veneto, 36073, Italia","{'type': 'Point', 'coordinates': [11.3649646, 45.5887515]}","PIAZZA ROMA, Brogliano, Veneto, Italia",POINT
VIA 25 APRILE,Brogliano,"Via 25 Aprile, Brogliano, Comunità Montana Agno-Chiampo, Vicenza, Veneto, 36073, Italia","{'type': 'Point', 'coordinates': [11.3711921, 45.591827]}","VIA 25 APRILE, Brogliano, Veneto, Italia",POINT
VIA BOLEO,Brogliano,"Via Boleo, Rigon, Brogliano, Comunità Montana Agno-Chiampo, Vicenza, Veneto, 36073, Italia","{'type': 'Point', 'coordinates': [11.3430022, 45.5871815]}","VIA BOLEO, Brogliano, Veneto, Italia",POINT
VIA BORGOLOCO,Brogliano,"Via Borgoloco, Brogliano, Comunità Montana Agno-Chiampo, Vicenza, Veneto, 36073, Italia","{'type': 'Point', 'coordinates': [11.3634962, 45.5886573]}","VIA BORGOLOCO, Brogliano, Veneto, Italia",POINT
