alias_city,alias_address,georeferencingString,type
Albettone,PIAZZA UMBERTO I,"PIAZZA UMBERTO I, Albettone, Veneto, Italia",POINT
Albettone,VIA ALCIDE DE GASPERI,"VIA ALCIDE DE GASPERI, Albettone, Veneto, Italia",POINT
Albettone,VIA ANTONIO PIGAFETTA,"VIA ANTONIO PIGAFETTA, Albettone, Veneto, Italia",POINT
Albettone,VIA BOLDRIN,"VIA BOLDRIN, Albettone, Veneto, Italia",POINT
Altavilla Vicentina,MILANO VENEZIA AUTOSTARDA,"MILANO VENEZIA AUTOSTARDA, Altavilla Vicentina, Veneto, Italia",POINT
Altavilla Vicentina,PIAZZA A. DE GASPERI,"PIAZZA A. DE GASPERI, Altavilla Vicentina, Veneto, Italia",POINT
Altavilla Vicentina,PIAZZA DELLA LIBERTA',"PIAZZA DELLA LIBERTA', Altavilla Vicentina, Veneto, Italia",POINT
Altavilla Vicentina,PIAZZA VENEZIA,"PIAZZA VENEZIA, Altavilla Vicentina, Veneto, Italia",POINT
Arcugnano,PIAZZA MARIANO RUMOR,"PIAZZA MARIANO RUMOR, Arcugnano, Veneto, Italia",POINT
Arcugnano,PIAZZETTA PADRE TULLIO MARUZZO,"PIAZZETTA PADRE TULLIO MARUZZO, Arcugnano, Veneto, Italia",POINT
Arcugnano,STRADA DEL TORMENO,"STRADA DEL TORMENO, Arcugnano, Veneto, Italia",POINT
Arcugnano,STRADA SECONDINA,"STRADA SECONDINA, Arcugnano, Veneto, Italia",POINT
Arsiero,CONTRA' COSTABRONZARA,"CONTRA' COSTABRONZARA, Arsiero, Veneto, Italia",POINT
Arsiero,CONTRA' FACCI A.,"CONTRA' FACCI A., Arsiero, Veneto, Italia",POINT
Arsiero,CONTRA' GARIONI,"CONTRA' GARIONI, Arsiero, Veneto, Italia",POINT
Arsiero,CONTRA' GROTTE,"CONTRA' GROTTE, Arsiero, Veneto, Italia",POINT
Barbarano Mossano,ALTA VIA DEI BERICI,"ALTA VIA DEI BERICI, Barbarano Mossano, Veneto, Italia",POINT
Barbarano Mossano,CONTRÀ DEI MUNARI,"CONTRÀ DEI MUNARI, Barbarano Mossano, Veneto, Italia",POINT
Barbarano Mossano,PANORAMICA SAN FRANCESCO,"PANORAMICA SAN FRANCESCO, Barbarano Mossano, Veneto, Italia",POINT
Barbarano Mossano,PIAZZA BREGANZATO,"PIAZZA BREGANZATO, Barbarano Mossano, Veneto, Italia",POINT
Bolzano Vicentino,PIAZZA ROMA,"PIAZZA ROMA, Bolzano Vicentino, Veneto, Italia",POINT
Bolzano Vicentino,PIAZZA SCREMIN,"PIAZZA SCREMIN, Bolzano Vicentino, Veneto, Italia",POINT
Bolzano Vicentino,PIAZZALE OPPI,"PIAZZALE OPPI, Bolzano Vicentino, Veneto, Italia",POINT
Bolzano Vicentino,VIA ACQUE,"VIA ACQUE, Bolzano Vicentino, Veneto, Italia",POINT
Breganze,BORGO PIO X,"BORGO PIO X, Breganze, Veneto, Italia",POINT
Breganze,BORGO S. MARIA,"BORGO S. MARIA, Breganze, Veneto, Italia",POINT
Breganze,PIAZZA DEGLI AUTIERI,"PIAZZA DEGLI AUTIERI, Breganze, Veneto, Italia",POINT
Breganze,PIAZZA MAZZINI,"PIAZZA MAZZINI, Breganze, Veneto, Italia",POINT
Bressanvido,CONTRA' GIUDEA,"CONTRA' GIUDEA, Bressanvido, Veneto, Italia",POINT
Bressanvido,PIAZZA 4 NOVEMBRE,"PIAZZA 4 NOVEMBRE, Bressanvido, Veneto, Italia",POINT
Bressanvido,PIAZZA GUGLIELMO MARCONI,"PIAZZA GUGLIELMO MARCONI, Bressanvido, Veneto, Italia",POINT
Bressanvido,STRADA LUPIA,"STRADA LUPIA, Bressanvido, Veneto, Italia",POINT
Brogliano,PIAZZA ROMA,"PIAZZA ROMA, Brogliano, Veneto, Italia",POINT
Brogliano,VIA 25 APRILE,"VIA 25 APRILE, Brogliano, Veneto, Italia",POINT
Brogliano,VIA BOLEO,"VIA BOLEO, Brogliano, Veneto, Italia",POINT
Brogliano,VIA BORGOLOCO,"VIA BORGOLOCO, Brogliano, Veneto, Italia",POINT
Caldogno,CIRO MENOTTI,"CIRO MENOTTI, Caldogno, Veneto, Italia",POINT
Caldogno,PIAZZA BRUNO VIOLA,"PIAZZA BRUNO VIOLA, Caldogno, Veneto, Italia",POINT
Caldogno,PIAZZA CHIESA,"PIAZZA CHIESA, Caldogno, Veneto, Italia",POINT
Caldogno,PIAZZA EUROPA,"PIAZZA EUROPA, Caldogno, Veneto, Italia",POINT
Caltrano,PIAZZA DANTE,"PIAZZA DANTE, Caltrano, Veneto, Italia",POINT
Caltrano,PIAZZA MADONNA SALUTE,"PIAZZA MADONNA SALUTE, Caltrano, Veneto, Italia",POINT
Caltrano,PIAZZA S. MARCO,"PIAZZA S. MARCO, Caltrano, Veneto, Italia",POINT
Caltrano,VIA 25 APRILE,"VIA 25 APRILE, Caltrano, Veneto, Italia",POINT
Calvene,PIAZZA RESISTENZA,"PIAZZA RESISTENZA, Calvene, Veneto, Italia",POINT
Calvene,VIA 25 APRILE,"VIA 25 APRILE, Calvene, Veneto, Italia",POINT
Calvene,VIA ASTICO,"VIA ASTICO, Calvene, Veneto, Italia",POINT
Calvene,VIA BISOZZO,"VIA BISOZZO, Calvene, Veneto, Italia",POINT
Camisano Vicentino,PIAZZA 29 APRILE,"PIAZZA 29 APRILE, Camisano Vicentino, Veneto, Italia",POINT
Camisano Vicentino,PIAZZA DELLA COSTITUZIONE,"PIAZZA DELLA COSTITUZIONE, Camisano Vicentino, Veneto, Italia",POINT
Camisano Vicentino,PIAZZA PIEVE,"PIAZZA PIEVE, Camisano Vicentino, Veneto, Italia",POINT
Camisano Vicentino,PIAZZA UMBERTO I,"PIAZZA UMBERTO I, Camisano Vicentino, Veneto, Italia",POINT
Carre',LOCALITA' PRA' SECCO,"LOCALITA' PRA' SECCO, Carre', Veneto, Italia",POINT
Carre',PIAZZA 11 FEBBRAIO,"PIAZZA 11 FEBBRAIO, Carre', Veneto, Italia",POINT
Carre',PIAZZA 4 NOVEMBRE,"PIAZZA 4 NOVEMBRE, Carre', Veneto, Italia",POINT
Carre',VIA ALBANIGO,"VIA ALBANIGO, Carre', Veneto, Italia",POINT
Castegnero,PIAZZA G.B. CLEMENTI,"PIAZZA G.B. CLEMENTI, Castegnero, Veneto, Italia",POINT
Castegnero,PIAZZA ORTIGARA,"PIAZZA ORTIGARA, Castegnero, Veneto, Italia",POINT
Castegnero,PIAZZETTA S. GIORGIO,"PIAZZETTA S. GIORGIO, Castegnero, Veneto, Italia",POINT
Castegnero,VIA BAGNOLO,"VIA BAGNOLO, Castegnero, Veneto, Italia",POINT
Castelgomberto,BORGO S. PIO X,"BORGO S. PIO X, Castelgomberto, Veneto, Italia",POINT
Castelgomberto,CONTRADA CANOVA,"CONTRADA CANOVA, Castelgomberto, Veneto, Italia",POINT
Castelgomberto,CONTRADA CESTARI,"CONTRADA CESTARI, Castelgomberto, Veneto, Italia",POINT
Castelgomberto,CONTRADA ROCCHI,"CONTRADA ROCCHI, Castelgomberto, Veneto, Italia",POINT
Chiuppano,PIAZZA SERRAGLI,"PIAZZA SERRAGLI, Chiuppano, Veneto, Italia",POINT
Chiuppano,STRADA MARTIRI DELLE FOIBE,"STRADA MARTIRI DELLE FOIBE, Chiuppano, Veneto, Italia",POINT
Chiuppano,VIA 25 APRILE,"VIA 25 APRILE, Chiuppano, Veneto, Italia",POINT
Chiuppano,VIA 4 NOVEMBRE,"VIA 4 NOVEMBRE, Chiuppano, Veneto, Italia",POINT
Cogollo del Cengio,PIAZZA DELLA LIBERTA',"PIAZZA DELLA LIBERTA', Cogollo del Cengio, Veneto, Italia",POINT
Cogollo del Cengio,VIA ALIGHIERI,"VIA ALIGHIERI, Cogollo del Cengio, Veneto, Italia",POINT
Cogollo del Cengio,VIA AMPURI,"VIA AMPURI, Cogollo del Cengio, Veneto, Italia",POINT
Cogollo del Cengio,VIA ARTIGIANATO,"VIA ARTIGIANATO, Cogollo del Cengio, Veneto, Italia",POINT
Cornedo Vic.,CONTRADA CAECCHIONI,"CONTRADA CAECCHIONI, Cornedo Vic., Veneto, Italia",POINT
Cornedo Vic.,CONTRADA CANTON,"CONTRADA CANTON, Cornedo Vic., Veneto, Italia",POINT
Cornedo Vic.,CONTRADA FERMI,"CONTRADA FERMI, Cornedo Vic., Veneto, Italia",POINT
Cornedo Vic.,CONTRADA GOBBI ALTI,"CONTRADA GOBBI ALTI, Cornedo Vic., Veneto, Italia",POINT
Costabissara,PIAZZA VITTORIO VENETO,"PIAZZA VITTORIO VENETO, Costabissara, Veneto, Italia",POINT
Costabissara,PIAZZETTA S. STEFANO,"PIAZZETTA S. STEFANO, Costabissara, Veneto, Italia",POINT
Costabissara,STRADA DEL PASUBIO,"STRADA DEL PASUBIO, Costabissara, Veneto, Italia",POINT
Costabissara,STRADA DELLE PIGNARE,"STRADA DELLE PIGNARE, Costabissara, Veneto, Italia",POINT
Creazzo,LARGO TIEPOLO,"LARGO TIEPOLO, Creazzo, Veneto, Italia",POINT
Creazzo,PIAZZA DEL COMUNE,"PIAZZA DEL COMUNE, Creazzo, Veneto, Italia",POINT
Creazzo,PIAZZA ROMA,"PIAZZA ROMA, Creazzo, Veneto, Italia",POINT
Creazzo,PIAZZA SAN NICOLA,"PIAZZA SAN NICOLA, Creazzo, Veneto, Italia",POINT
Dueville,PIAZZA SAN PIO X,"PIAZZA SAN PIO X, Dueville, Veneto, Italia",POINT
Dueville,VIA BACCHIGLIONE,"VIA BACCHIGLIONE, Dueville, Veneto, Italia",POINT
Dueville,VIA DELLA RISARA,"VIA DELLA RISARA, Dueville, Veneto, Italia",POINT
Dueville,VIA DUE PONTI,"VIA DUE PONTI, Dueville, Veneto, Italia",POINT
Fara Vic.no,PIAZZA ARNALDI,"PIAZZA ARNALDI, Fara Vic.no, Veneto, Italia",POINT
Fara Vic.no,VIA 4 NOVEMBRE,"VIA 4 NOVEMBRE, Fara Vic.no, Veneto, Italia",POINT
Fara Vic.no,VIA ALIGHIERI,"VIA ALIGHIERI, Fara Vic.no, Veneto, Italia",POINT
Fara Vic.no,VIA ASTICO,"VIA ASTICO, Fara Vic.no, Veneto, Italia",POINT
Gambugliano,CONTRÀ CARLOTTI,"CONTRÀ CARLOTTI, Gambugliano, Veneto, Italia",POINT
Gambugliano,CONTRÀ ZANOTTI,"CONTRÀ ZANOTTI, Gambugliano, Veneto, Italia",POINT
Gambugliano,PIAZZA COROBBO,"PIAZZA COROBBO, Gambugliano, Veneto, Italia",POINT
Gambugliano,STRADA FALSE,"STRADA FALSE, Gambugliano, Veneto, Italia",POINT
Grisignano di Zocco,LARGO GALILEI,"LARGO GALILEI, Grisignano di Zocco, Veneto, Italia",POINT
Grisignano di Zocco,PARCO DEL DONATORE,"PARCO DEL DONATORE, Grisignano di Zocco, Veneto, Italia",POINT
Grisignano di Zocco,PIAZZA DON CORRADIN,"PIAZZA DON CORRADIN, Grisignano di Zocco, Veneto, Italia",POINT
Grisignano di Zocco,PIAZZA EUROPA UNITA,"PIAZZA EUROPA UNITA, Grisignano di Zocco, Veneto, Italia",POINT
Grumolo delle Abbadesse,PIAZZA GIOVANNI XXIII,"PIAZZA GIOVANNI XXIII, Grumolo delle Abbadesse, Veneto, Italia",POINT
Grumolo delle Abbadesse,VIA ALESSANDRO MANZONI,"VIA ALESSANDRO MANZONI, Grumolo delle Abbadesse, Veneto, Italia",POINT
Grumolo delle Abbadesse,VIA ALESSANDRO VOLTA,"VIA ALESSANDRO VOLTA, Grumolo delle Abbadesse, Veneto, Italia",POINT
Grumolo delle Abbadesse,VIA ANDREA MANTEGNA,"VIA ANDREA MANTEGNA, Grumolo delle Abbadesse, Veneto, Italia",POINT
Isola Vic.,PIAZZA ARASELLA,"PIAZZA ARASELLA, Isola Vic., Veneto, Italia",POINT
Isola Vic.,PIAZZA DONATORI DI SANGUE,"PIAZZA DONATORI DI SANGUE, Isola Vic., Veneto, Italia",POINT
Isola Vic.,PIAZZA IGNAGO,"PIAZZA IGNAGO, Isola Vic., Veneto, Italia",POINT
Isola Vic.,PIAZZA MARCONI,"PIAZZA MARCONI, Isola Vic., Veneto, Italia",POINT
Laghi,CONTRA' BERTA,"CONTRA' BERTA, Laghi, Veneto, Italia",POINT
Laghi,CONTRA' BRAGIOLI,"CONTRA' BRAGIOLI, Laghi, Veneto, Italia",POINT
