Ammoniaca (NH4+),Attività ioni idrogeno,Bicarbonati,Calcio,Cloro residuo,Cloruri,Conduc. elettrica specifica a 20 °C,Durezza totale in gradi francesi,Ferro totale,Fluoruri,Magnesio,Manganese,Nitrati,Nitriti,Potassio,Sodio,Solfati,alias_address,alias_city,data_report
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,PIAZZA UMBERTO I,Albettone,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,VIA ALCIDE DE GASPERI,Albettone,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,VIA ANTONIO PIGAFETTA,Albettone,06/12/2019
"< 0,05",7.8,315,67.1,0.1,13,486,29.2,5.2,"< 0,2",30.3,< 1,19,"< 0,1",0.5,3,38,VIA BOLDRIN,Albettone,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,MILANO VENEZIA AUTOSTARDA,Altavilla Vicentina,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA A. DE GASPERI,Altavilla Vicentina,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA DELLA LIBERTA',Altavilla Vicentina,06/12/2019
"< 0,05",7.8,238,65.6,,8,442,26.4,< 5,"< 0,2",24.3,< 1,18,"< 0,1",0.5,3,34,PIAZZA VENEZIA,Altavilla Vicentina,06/12/2019
"< 0,05",7.8,260,67,,12,482,29.3,< 5,"< 0,2",30.2,< 1,19,"< 0,1",1,4,38,PIAZZA MARIANO RUMOR,Arcugnano,06/12/2019
"< 0,05",7.8,260,67,,12,482,29.3,< 5,"< 0,2",30.2,< 1,19,"< 0,1",1,4,38,PIAZZETTA PADRE TULLIO MARUZZO,Arcugnano,06/12/2019
"< 0,05",7.8,260,67,,12,482,29.3,< 5,"< 0,2",30.2,< 1,19,"< 0,1",1,4,38,STRADA DEL TORMENO,Arcugnano,06/12/2019
"< 0,05",7.8,260,67,,12,482,29.3,< 5,"< 0,2",30.2,< 1,19,"< 0,1",1,4,38,STRADA SECONDINA,Arcugnano,06/12/2019
"< 0,05",8.2,182,37.3,,1,263,16.2,< 5,"< 0,2",17.1,< 1,2,"< 0,1",0.4,1,7,CONTRA' COSTABRONZARA,Arsiero,06/12/2019
"< 0,05",8.2,178,39.1,,1,256,15.7,< 5,"< 0,2",14.4,< 1,3,"< 0,1",0.3,0.4,4,CONTRA' FACCI A.,Arsiero,06/12/2019
"< 0,05",8.2,182,37.3,,1,263,16.2,< 5,"< 0,2",17.1,< 1,2,"< 0,1",0.4,1,7,CONTRA' GARIONI,Arsiero,06/12/2019
"< 0,05",8.2,182,37.3,,1,263,16.2,< 5,"< 0,2",17.1,< 1,2,"< 0,1",0.4,1,7,CONTRA' GROTTE,Arsiero,06/12/2019
