"","","","Isola 
Morosini","Gorizia","Farra","Cormons","Dolegna","Monfalcone","Ronchi dei 
Legionari","Grado","San Pier 
d'Isonzo"
"","Unità di Misura","Limite di legge","","","","","","","","",""
"Sodio","mg/L","200","4,0","2,6","2,2","5,0","7,0","9,0","2,0","11,4","10,2"
"Calcio","mg/L","","58,0","65,3","46,3","91,0","58,0","52,3","53,8","54,7","51,0"
"Ammonio","mg/L","0,5","0,02","0,02","0,02","0,02","0,02","0,03","0,02","0,04","0,02"
"Cloruri","mg/L","250","4,0","3,3","3,0","6,3","4,3","17,7","3,8","18,7","18,5"
"Solfati","mg/L","250","21,0","24,0","6,8","13,0","76,0","12,3","9,2","13,7","10,5"
"Arsenico","µg/L","10","1","1","1","1","1","1","1","1","1"
"Fluoruri","mg/L","1,5","0,10","0,10","0,10","0,11","0,10","0,10","0,10","0,10","0,10"
"Magnesio","mg/L","","25","13","8","12","16","13","11","14","12"
"Potassio","mg/L","200","1","1","1","2","2","1","1","1","1"
"Manganese","µg/L","50","5","5","5","5","5","8","6","5","5"
"Conducibilità","µS/cm a 20°C","","437","319","282","488","394","375","338","357","375"
"Durezza Totale","°F","","25","21","15","28","21","18","18","19","18"
"Nitrati","mg/L","50","13","5","4","13","4","8","6","9","7"
"Nitriti","mg/L","0,5","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02"
"Residuo Fisso","mg/L","","353","327","323","410","363","280","279","343","336"
"Bicarbonato","mg/L","","248","241","178","305","175","206","205","216","199"
"pH","unità pH a 20°C","","7,6","7,9","7,9","7,7","7,9","7,8","7,8","7,9","7,7"
"Cloro residuo","mg/l Cl2","<0,2","-","0,07","0,03","0,04","0,02","0,03","0,00","0,04","0,01"
