descrizione_gestore,url_qualita_acqua,tipo_fonte,modalita_interazione,etichetta_analisi,sito_internet,natura_giuridica,id_gestore,partita_iva,email,sede_legale,sede_operativa,telefono sede operativa,url_carta_servizi
COGEIDE SPA,https://www.cogeide.it/qualita-dellacqua/,PDF,DYNAMICWEB,PER_PUNTO_PRELIEVO,http://www.cogeide.it,Societa' per azioni (S.p.a.),10468,02200370167,info@cogeide.it,Via Crema snc - 24050 Mozzanica (Bergamo),Via Crema snc - 24050 Mozzanica (Bergamo),00390363828007,https://www.cogeide.it/carta-dei-servizi/
ACQUEVENETE SPA,http://www.acquevenete.it/it_IT/consulta-le-analisi,HTML,DYNAMICWEB,PER_COMUNE,http://www.acquevenete.it,Societa' per azioni (S.p.a.),10612,00064780281,info@acquevenete.it,Via C. COLOMBO 29/A - 35043 Monselice (Padova),Via C. COLOMBO 29/A - 35043 Monselice (Padova),00390429787611,
LARIO RETI HOLDING,http://box.larioreti.it/Box7/#analisi,HTML,DYNAMICWEB,PER_VIA,http://www.larioreti.it,Societa' per azioni (S.p.a.),1218,03119540130,info@larioreti.it,Via FIANDRA 13 - 23900 Lecco (Lecco),Via FIANDRA 13 - 23900 Lecco (Lecco),00390341359111,
AZIENDA SERVIZI VALTROMPIA SPA,https://qualitaacqua.asvt-spa.it/QualitaH2oWeb/,MAPPA,DYNAMICWEB,PER_COMUNE,http://www.asvt-spa.it,Societa' per azioni (S.p.a.),1261,02013000985,,Via Matteotti 325 - 25063 Gardone Val Trompia (Brescia),Via Matteotti 325 - 25063 Gardone Val Trompia (Brescia),00390308336163,
AZIENDA SERVIZI MUNICIPALIZZATI DI MERANO SPA,http://www.swmeran.it/it_IT/servizi/fornitura-acqua/la-qualita-dell-acqua,HTML,STATICWEB,PER_COMUNE,http://www.asmmerano.it,Societa' per azioni (S.p.a.),12619,01526780216,info@asmmerano.it,Viale Europa 4 - 39012 Merano/Meran (Bolzano/Bozen),Viale Europa 4 - 39012 Merano/Meran (Bolzano/Bozen),00390473283000,http://www.swmeran.it/it_IT/servizi/fornitura-acqua/carta-del-servizio
ACQUE VERONESI S.C. A R.L.,http://www.acqueveronesi.it/qualita-acqua.asp?IdPagina=16,HTML,FREESTREET,PER_VIA,http://www.acqueveronesi.it,Societa' consortile a responsabilita' limitata (S.c.r.l.),12732,03567090232,protocollo@pec.acqueveronesi.it,Via Lungadige Galtarossa 8 - 37133 Verona (Verona),Via Lungadige Galtarossa 8 - 37133 Verona (Verona),00390458677253,http://www.acqueveronesi.it/pagina.asp?IdPagina=68
CAFC S.P.A.,https://www.cafcspa.com/solud/it-_qualita_acqua.cfm,PDF,DYNAMICWEB,PER_VIA,http://www.cafcspa.com,Societa' per azioni (S.p.a.),12816,00158530303,paola.rigo@cafcspa.com,Viale Palmanova 192 - 33100 Udine (Udine),Viale Palmanova 192 - 33100 Udine (Udine),00390432517311,http://www.atocentralefriuli.it/servizio-idrico/la-carta-dei-servizi.html-0
HYDROGEA SPA,https://www.hydrogea-pn.it/#/menu/informazioni/acqua,PDF,DYNAMICWEB,PER_FONTE,http://www.hydrogea-pn.it,Societa' per azioni (S.p.a.),13146,01683140931,info@hydrogea-pn.it,Piazzetta del Portello 5 - 33170 Pordenone (Pordenone),Piazzetta del Portello 5 - 33170 Pordenone (Pordenone),00390434506411,https://www.hydrogea-pn.it/download/pdf/16-11-09_CartaServ_2_4.pdf
HIDROGEST SPA,http://www.hidrogest.it/index.php?pagina=ANALISI&menu=5&open=77,PDF,DYNAMICWEB,PER_PUNTO_PRELIEVO,http://www.hidrogest.it,Societa' per azioni (S.p.a.),13644,03071180164,info@hidrogest.it,Via Privata Bernasconi 13 - 24039 Sotto il Monte Giovanni XXIII (Bergamo),Via Privata Bernasconi 13 - 24039 Sotto il Monte Giovanni XXIII (Bergamo),00390354388711,
AMAP SPA,https://www.amapspa.it/it/carta-didentita-dellacqua/,HTML,STATICWEB,MEDIA_COMUNI,http://www.amapspa.it,Societa' per azioni (S.p.a.),13649,04797200823,info@amapspa.it,Via Volturno 2 - 90138 Palermo (Palermo),Via Volturno 2 - 90138 Palermo (Palermo),0039091279111,
