,index,0,1,2,3
0,index,Arba,unità di misura,valori ammissibili,serbatoio
1,0,,,DLgs 31/2001,“Colle di Arba”
2,1,Data del prelievo,,,15 maggio 2019
3,2,ph,,6.5- 9.5,"7,8"
4,3,Residuo fisso a 180°,mg/l,1500,242
5,4,Durezza,°F,15-50,16
6,5,Conducibilità,μS/cm,2500,213
7,6,Calcio,mg/l,nessun limite,"33,6"
8,7,Magnesio,mg/l,nessun limite,"18,8"
9,8,Ammonio,mg/l,0.5,"<0,05"
10,9,Cloruri,mg/l,250,"2,19"
11,10,Solfati,mg/l,250,"1,83"
12,11,Potassio,mg/l,nessun limite,<1
13,12,Sodio,mg/l,200,<1
14,13,Arsenico,μg/l,10,<1
15,14,Bicarbonato,mg/l,nessun limite,"162,0"
16,15,Cloro residuo,mg/l,"0,2","<0,05"
17,16,Fluoruri,mg/l,1.5,"<0,10"
18,17,Nitrati,mg/l,50,3
19,18,Nitriti,mg/l (NO2),0.5,"<0,05"
20,19,Manganese,μg/l,50,<5
