0,zona,residuo_fisso,durezza,ph,calcio,sodio,magnesio,potassio,solfato,nitrato,nitrito,cloruro,conducibilita,fluoruri,ammoniaca,manganese,arsenico,bicarbonato,cloro_residuo
0,Abbadia Cerreto,350,32,78,95,7,20,2,337,87,"< 0,01",8,499,008,"< 0,05",< 5,< 2,262,"< 0,05"
1,Bertonico,277,26,81,74,9,19,2,< 5,< 5,"< 0,01",< 5,396,007,"< 0,05",< 5,5,251,"< 0,05"
2,Boffalora d'Adda,318,30,80,86,5,21,2,28,< 5,"< 0,01",4,455,008,"< 0,05",11,< 2,254,"<0,05"
3,Borghetto Lodigiano,221,20,81,58,11,13,1,< 5,< 5,"< 0,01",5,315,005,"< 0,05",8,6,186,"< 0,05"
4,Borgo San Giovanni,343,30,77,92,7,17,2,38,< 5,"< 0,01",17,490,009,"< 0,05",< 5,2,230,"< 0,05"
5,Brembio,280,25,84,70,10,18,1,< 5,< 5,001,< 5,400,006,"< 0,05",< 5,6,256,"< 0,05"
6,Castelgerundo (Fraz. Camairago),310,25,83,65,9,21,1,127,< 5,"< 0,01",< 5,443,002,"< 0,05",< 5,7,274,"< 0,05"
7,Casaletto Lodigiano,266,26,83,78,6,17,2,122,< 5,"< 0,01",< 5,381,006,"< 0,05",< 5,2,226,"< 0,05"
8,Casalmaiocco,348,30,80,92,10,17,2,378,12,001,17,497,009,"< 0,05",< 5,< 2,232,"< 0,05"
9,Casalpusterlengo,303,26,82,73,16,19,2,165,< 5,"< 0,01",5,433,008,"< 0,05",< 5,5,248,"< 0,05"
10,Caselle Landi,314,27,82,67,15,26,2,< 5,< 5,"< 0,01",10,449,006,"< 0,05",< 5,3,278,"< 0,05"
11,Caselle Lurani,179,17,83,50,8,10,1,< 5,< 5,"< 0,01",< 5,249,006,"< 0,05",< 5,3,149,"< 0,05"
12,Castelnuovo Bocca d'Adda,303,26,80,75,15,17,2,21,< 5,003,18,433,008,"< 0,05",< 5,< 2,216,"< 0,05"
13,Castiglione d'Adda,302,28,81,79,9,21,1,98,< 5,"< 0,01",< 5,431,005,"< 0,05",< 5,6,263,"< 0,05"
14,Castiraga Vidardo,177,16,81,48,8,9,1,< 5,< 5,"< 0,01",< 5,253,006,"< 0,05",7,3,146,"< 0,05"
15,Castelgerundo (Fraz. Cavacurta),301,25,82,66,17,21,1,23,< 5,004,20,430,006,"< 0,05",6,6,208,"< 0,05"
16,Cavenago d'Adda,276,25,82,70,9,18,2,< 5,< 5,"< 0,01",< 5,395,006,"< 0,05",< 5,5,254,"< 0,05"
17,Cervignano d'Adda,253,23,79,72,6,13,1,28,73,"< 0,01",8,362,009,"< 0,05",< 5,< 2,170,"< 0,05"
18,Codogno,422,32,8,87,27,25,3,396,< 5,001,41,603,012,"< 0,05",< 5,< 2,260,"< 0,05"
19,Comazzo,271,26,79,71,6,19,1,< 5,6,"< 0,01",<5,387,007,"< 0,05",< 5,2,239,"< 0,05"
20,Cornegliano Laudense,265,24,83,68,9,17,2,53,< 5,002,2,378,007,"< 0,05",< 5,3,231,"< 0,05"
21,Corno Giovine,296,25,81,65,16,20,1,23,< 5,003,20,422,008,"< 0,05",7,8,200,"< 0,05"
22,Cornovecchio,318,28,81,67,17,27,2,< 5,< 5,"< 0,01",11,455,006,"< 0,05",< 5,4,270,"< 0,05"
23,Corte Palasio,349,31,78,94,7,20,2,303,88,"< 0,01",7,498,007,"< 0,05",< 5,< 2,261,"< 0,05"
24,Crespiatica,341,30,78,92,8,18,2,323,16,"< 0,01",9,486,007,"< 0,05",< 5,2,243,"< 0,05"
25,Fombio,376,27,8,71,29,22,2,366,< 5,"< 0,01",29,537,012,"< 0,05",< 5,3,245,"< 0,05"
26,Galgagnano,337,31,79,93,6,19,2,302,12,"< 0,01",9,481,008,"< 0,05",< 5,< 2,246,"< 0,05"
27,Graffignana,219,18,79,53,12,12,1,< 5,< 5,"< 0,01",4,313,006,"< 0,05",9,8,124,"< 0,05"
28,Guardamiglio,333,29,79,86,9,19,2,212,< 5,"< 0,01",6,476,010,"< 0,05",< 5,< 2,272,"< 0,05"
29,Livraga,220,20,82,59,12,13,1,< 5,< 5,"< 0,01",6,314,004,"< 0,05",10,6,182,"< 0,05"
30,Lodi,310,28,81,82,7,18,2,244,< 5,"< 0,01",7,444,009,"< 0,05",< 5,< 2,239,"< 0,05"
31,Lodi Vecchio,365,32,79,96,8,18,2,41,< 5,"< 0,01",12,522,008,"< 0,05",< 5,< 2,269,"< 0,05"
32,Maccastorna,307,22,82,60,20,17,2,17,< 5,008,32,439,009,"< 0,05",< 5,5,204,"< 0,05"
33,Mairago,341,30,82,87,6,21,3,32,< 5,"< 0,01",8,487,008,"< 0,05",< 5,3,265,"< 0,05"
34,Maleo,298,25,82,66,16,21,1,233,< 5,003,20,426,007,"< 0,05",17,8,206,"< 0,05"
35,Marudo,177,16,81,50,8,9,2,< 5,< 5,"< 0,01",< 5,252,006,"< 0,05",13,3,145,"< 0,05"
36,Massalengo,279,25,79,76,6,14,2,30,< 5,002,7,399,010,"< 0,05",< 5,4,199,"< 0,05"
37,Meleti,303,21,82,56,20,18,1,17,< 5,"< 0,01",24,433,008,"< 0,05",< 5,7,203,"< 0,05"
